week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,2,0,0,0,0,1
10,0,0,0,0,3,0,0,1,0
11,0,0,0,1,2,0,1,2,0
12,0,1,0,0,1,2,9,5,13
13,0,0,0,1,6,9,18,25,17
14,0,1,0,1,5,3,10,12,14
15,0,0,0,0,1,2,5,5,12
16,0,0,2,0,0,2,2,8,11
17,0,0,0,0,0,2,1,2,5
18,0,0,0,1,0,0,1,2,3
19,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,1,1,2
21,0,0,0,0,0,0,0,1,1
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,0
25,0,0,1,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,1,0,0,0,0
32,0,0,0,0,0,0,1,1,0
33,0,0,0,0,0,0,0,0,0
34,1,0,0,1,0,0,0,0,0
35,0,0,0,0,1,0,0,0,0
36,0,0,2,1,0,0,0,1,2
37,0,0,0,0,0,2,2,0,7
38,0,0,0,0,0,2,0,0,7
39,0,0,0,0,1,3,0,2,0
40,0,0,0,0,0,0,2,3,3
41,0,0,0,2,1,4,2,3,1
42,0,0,0,1,1,7,6,9,11
43,0,0,1,1,2,10,15,26,23
44,0,0,1,0,4,11,21,30,32
45,0,0,0,1,1,12,17,30,35
46,0,0,1,1,2,7,16,35,29
47,0,0,0,0,2,6,15,20,32
48,1,0,0,0,1,5,6,7,16
49,0,0,0,2,1,0,3,10,11
50,0,0,0,2,2,4,4,6,7
51,0,0,0,0,0,3,6,11,7
52,0,0,0,0,0,3,4,2,5
53,1,0,0,0,1,1,4,7,5
