week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0
11,0,0,1,0,1,1,0,1,2
12,0,0,0,0,2,1,2,2,0
13,0,0,0,0,1,4,1,5,4
14,0,1,0,0,0,1,3,7,2
15,0,0,0,1,2,0,1,3,0
16,0,0,0,1,1,3,0,2,0
17,0,1,0,0,0,1,1,2,1
18,0,0,0,0,0,1,0,0,1
19,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,1,0,2,0,0
29,0,0,0,0,0,0,1,1,0
30,0,0,0,0,1,0,1,1,0
31,1,0,0,0,0,2,0,0,0
32,1,0,0,0,1,1,0,1,0
33,0,0,0,0,0,0,2,0,0
34,0,0,0,0,0,0,1,1,0
35,0,1,0,0,0,0,0,0,2
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,2,0,0
38,0,0,0,0,1,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,1,1,1,0
42,0,0,0,1,0,4,1,1,3
43,1,0,0,0,3,1,3,10,4
44,1,0,0,1,4,5,16,14,9
45,1,0,0,2,3,6,11,15,12
46,0,0,0,1,1,3,6,8,7
47,0,0,0,1,4,6,10,13,14
48,0,0,2,0,2,9,10,9,13
49,0,0,0,0,0,1,8,11,9
50,0,0,0,2,2,7,5,9,14
51,1,1,0,0,3,5,4,5,15
52,0,0,0,0,1,3,13,8,11
53,0,0,0,1,2,6,5,14,13
