week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,2
12,0,0,0,0,3,3,2,3,2
13,0,1,1,3,0,7,6,2,9
14,1,0,1,0,0,3,6,3,6
15,0,0,3,0,0,0,3,1,2
16,0,0,0,0,1,2,2,1,1
17,0,0,0,0,0,1,2,3,3
18,0,0,0,0,0,0,1,2,1
19,0,0,0,0,0,0,1,0,1
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1,0,0
23,0,0,0,0,0,0,1,0,0
24,0,0,0,0,1,1,0,0,1
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,1,1,0
27,0,0,1,0,0,0,1,0,0
28,0,0,0,0,0,1,4,0,0
29,0,0,0,0,1,0,0,0,0
30,0,0,0,0,1,1,6,2,1
31,0,0,0,1,0,1,1,2,0
32,0,0,0,0,0,3,1,1,0
33,0,0,0,0,1,0,1,0,0
34,0,0,0,0,1,1,1,0,0
35,0,0,0,0,0,2,0,1,0
36,0,0,0,0,0,1,1,5,1
37,0,0,0,0,0,1,0,0,2
38,0,0,0,0,1,0,1,0,0
39,0,0,0,0,2,0,1,0,1
40,0,0,0,0,0,0,0,1,1
41,0,0,2,1,2,5,3,2,5
42,0,0,1,1,3,3,5,11,10
43,0,1,0,0,1,8,23,17,15
44,2,1,1,1,3,17,13,18,20
45,0,0,0,3,4,6,20,29,40
46,3,0,1,2,2,17,16,25,21
47,2,1,2,0,4,6,11,38,20
48,2,0,1,1,5,7,20,17,17
49,1,0,1,2,3,7,24,21,35
50,2,0,0,0,4,12,17,27,34
51,1,0,0,2,2,8,9,24,32
52,0,0,0,1,2,8,12,31,38
53,2,0,0,2,3,13,13,24,31
