week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,7
10,0,0,0,1,2,1,3,5,8
11,0,2,3,2,3,6,9,17,31
12,3,0,4,6,9,22,20,26,52
13,0,3,8,2,5,16,22,32,58
14,0,0,1,3,7,12,25,17,31
15,0,1,3,3,6,4,3,12,20
16,0,1,0,0,1,0,1,7,11
17,0,0,0,0,1,0,1,0,4
18,1,0,2,0,0,1,1,1,2
19,0,0,0,0,0,1,1,0,1
20,0,0,0,0,0,0,1,0,1
21,0,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,4
26,0,0,0,0,0,0,0,1,0
27,0,0,0,0,0,2,1,0,0
28,0,1,0,0,0,0,1,0,1
29,0,0,0,1,0,0,0,1,2
30,0,0,0,0,2,0,4,0,1
31,0,0,2,0,0,1,1,2,1
32,0,0,0,0,0,1,1,0,1
33,0,0,1,0,1,0,0,0,1
34,0,1,1,1,3,0,1,0,2
35,0,0,1,0,0,0,1,0,2
36,0,0,1,0,1,3,4,5,2
37,0,0,0,1,2,2,6,8,5
38,1,0,0,1,0,2,5,7,9
39,1,0,1,0,0,1,7,4,2
40,0,0,1,0,0,3,4,5,17
41,0,1,1,0,3,2,5,9,16
42,0,0,0,0,4,13,11,21,53
43,0,1,3,4,8,11,24,33,56
44,3,1,1,1,4,18,28,60,95
45,7,1,2,1,4,22,30,59,83
46,1,1,3,3,8,24,28,48,88
47,0,0,3,1,5,15,19,41,61
48,0,0,0,2,4,9,15,27,62
49,1,0,0,2,4,10,14,22,39
50,2,2,0,1,1,7,16,15,26
51,0,0,1,1,2,7,5,10,30
52,0,0,3,1,0,1,7,13,30
53,1,1,4,2,3,8,10,12,29
