week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,1,0,0,0
10,0,0,1,0,0,2,0,1,4
11,0,0,1,0,1,4,2,6,7
12,0,1,0,1,2,5,4,13,21
13,0,0,1,1,1,8,5,24,27
14,1,0,0,2,1,7,7,11,14
15,0,0,0,1,2,1,4,3,9
16,0,0,0,1,1,0,2,3,0
17,0,0,0,0,0,1,1,2,6
18,0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,1,0,0
22,0,0,0,0,1,0,1,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,1,0,0,0
25,0,0,0,0,1,0,2,0,0
26,0,0,0,0,0,1,0,0,0
27,0,0,1,0,0,0,1,1,0
28,0,0,0,0,1,0,3,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,1,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,1,1,2,0
34,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,1,0,1
37,0,0,1,0,0,1,2,1,3
38,0,0,0,1,0,1,2,0,5
39,0,0,0,0,0,0,1,3,4
40,0,0,0,0,0,1,0,7,4
41,0,0,0,0,1,3,0,3,7
42,0,0,1,0,1,6,9,16,26
43,0,0,1,1,3,7,12,41,37
44,0,1,2,3,3,9,25,45,42
45,0,0,1,1,4,9,14,41,65
46,0,0,0,2,0,1,3,17,35
47,0,0,0,1,0,2,8,14,26
48,0,0,0,0,0,1,3,17,16
49,0,0,2,0,0,3,8,10,17
50,0,0,0,1,1,2,2,12,17
51,0,0,0,0,0,2,6,9,15
52,0,0,0,0,1,1,1,11,12
53,0,0,0,0,0,0,3,10,24
