week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,1,1,2,6,12
2,0,0,0,0,1,3,2,5,6
3,0,0,0,0,1,1,3,2,8
4,0,0,0,0,0,3,0,1,8
5,0,0,0,0,0,1,2,1,3
6,0,0,0,0,1,1,0,1,0
7,0,0,0,0,0,1,0,0,2
8,0,0,0,0,0,1,2,2,3
9,0,0,0,0,2,1,2,0,5
10,0,0,0,1,2,1,3,4,1
11,1,1,0,0,0,0,1,1,2
12,0,0,2,0,0,0,1,2,3
13,0,0,1,0,0,3,4,2,0
14,0,0,0,1,0,1,0,3,1
15,1,1,0,0,0,3,1,4,5
16,0,0,0,0,1,0,1,2,1
17,1,0,0,0,0,0,2,1,2
18,0,0,0,0,1,1,1,0,7
19,0,0,0,1,0,0,1,1,2
20,0,0,0,1,1,2,2,1,0
21,0,0,0,0,1,0,0,0,2
22,0,0,0,2,1,0,0,0,0
23,0,0,0,1,1,1,1,1,0
24,0,0,0,0,0,0,0,1,0
25,0,0,0,0,2,0,1,0,0
26,0,0,0,0,0,0,1,0,0
27,1,0,0,0,0,1,0,1,0
28,0,0,0,0,0,0,1,0,1
29,0,0,0,0,2,0,0,1,0
30,0,0,1,0,1,1,1,0,2
31,0,0,0,1,1,0,1,1,1
32,0,0,3,2,2,4,2,3,1
33,0,1,2,4,5,3,5,2,4
34,1,1,0,0,7,3,0,1,2
35,0,0,0,0,5,2,2,1,2
36,0,0,1,0,2,0,0,4,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
