week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,1,1,0
9,0,0,0,0,0,0,1,0,0
10,0,0,0,0,0,0,0,1,2
11,0,0,0,0,0,1,0,0,1
12,0,0,0,0,0,0,0,1,3
13,0,0,0,0,0,0,0,3,4
14,0,0,0,0,0,0,0,2,3
15,0,0,0,0,0,1,0,1,6
16,0,0,0,0,0,0,0,0,5
17,0,0,0,0,0,1,0,0,6
18,0,0,0,0,1,0,0,3,1
19,0,0,0,0,0,2,0,0,2
20,0,0,0,0,0,0,1,0,1
21,0,0,0,0,0,0,1,3,3
22,0,0,0,0,1,0,1,0,2
23,0,0,0,1,1,0,0,1,1
24,0,0,0,0,0,2,1,0,1
25,0,0,0,0,0,0,2,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,1,1,1,0
29,0,0,0,0,0,2,0,6,3
30,0,0,0,0,1,0,3,1,4
31,0,0,0,0,0,0,1,1,4
32,0,0,0,2,0,2,3,3,7
33,0,0,1,1,2,5,5,2,6
34,0,0,0,0,0,3,4,3,3
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
