week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,1,3,1,2,0,1,7,17
2,1,0,2,0,0,0,2,4,19
3,0,0,0,3,1,1,5,6,17
4,1,0,1,1,2,0,1,0,12
5,0,0,0,0,0,0,1,4,14
6,1,0,1,0,0,2,3,4,8
7,0,1,2,3,1,1,2,3,12
8,0,0,0,0,0,1,0,0,6
9,0,0,1,1,0,1,0,5,10
10,1,0,1,4,3,6,5,3,12
11,1,0,0,3,4,14,5,1,8
12,0,1,1,5,4,8,11,7,10
13,0,1,2,4,10,9,13,12,13
14,2,0,0,5,13,12,9,6,5
15,0,0,0,2,5,16,9,6,10
16,0,0,1,2,11,15,9,5,8
17,0,0,2,3,5,9,9,4,10
18,0,0,3,2,3,5,8,4,4
19,1,1,1,2,6,6,5,1,2
20,0,0,0,2,3,10,9,0,2
21,0,1,1,1,1,3,2,2,2
22,0,0,0,0,0,5,3,1,1
23,0,0,2,1,1,1,3,0,0
24,0,0,1,1,0,1,0,0,0
25,0,0,1,1,0,0,1,0,1
26,0,0,0,0,1,0,0,0,0
27,0,0,0,0,0,0,1,0,0
28,0,0,0,0,0,0,0,0,1
29,0,0,0,2,1,3,1,3,2
30,0,0,2,2,6,3,3,1,1
31,0,0,1,2,3,2,2,3,3
32,0,1,2,2,5,6,0,2,3
33,0,1,5,3,6,9,7,7,3
34,0,1,3,7,5,4,6,9,5
35,0,0,3,5,6,11,5,6,6
36,0,0,1,6,3,5,3,2,8
37,0,0,0,0,1,4,3,0,6
38,0,0,0,2,4,2,2,0,6
39,1,1,2,1,2,3,2,3,3
40,0,1,0,0,2,0,2,2,2
41,0,0,0,3,1,2,3,4,0
42,0,0,0,0,2,2,1,3,2
43,0,0,2,0,4,2,1,3,8
44,0,1,0,1,2,2,1,3,10
45,0,1,1,1,7,5,2,4,10
46,0,1,1,0,5,3,2,10,20
47,2,1,2,5,3,11,5,10,23
48,0,0,1,3,8,7,19,17,33
49,1,1,0,9,11,17,13,15,26
50,0,1,2,12,7,16,14,18,23
51,3,0,4,11,13,13,19,27,41
52,5,4,10,15,14,17,19,22,52
