week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,2,0,0,2,0,1,9,7,5
2,1,0,0,1,1,6,2,5,4
3,0,0,0,0,0,6,2,1,2
4,0,0,1,0,0,3,1,5,5
5,0,0,0,0,0,1,2,4,2
6,1,0,0,0,0,3,0,1,2
7,0,0,0,0,0,0,1,2,2
8,0,0,0,0,0,0,4,1,1
9,0,0,0,0,1,1,2,2,3
10,0,0,0,1,0,1,1,0,1
11,0,0,0,0,0,2,2,0,0
12,0,0,0,0,0,2,2,1,2
13,0,0,0,0,0,1,0,1,0
14,0,0,0,0,1,3,0,5,5
15,0,0,0,1,0,4,3,1,0
16,0,0,0,1,1,2,2,3,1
17,0,0,0,1,1,3,3,0,0
18,0,0,0,1,1,1,1,1,2
19,0,0,0,0,0,2,1,1,0
20,0,0,0,0,0,1,0,1,0
21,0,0,1,0,0,0,0,1,0
22,0,0,0,0,0,1,0,0,1
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,1,0,0,1
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,1,0,1,0,0,0
28,0,0,0,1,0,0,1,0,0
29,0,0,0,0,0,1,0,1,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,1,1,0,1
32,1,0,0,1,0,0,0,0,1
33,0,1,0,2,2,1,0,1,1
34,0,0,0,0,1,0,1,1,2
35,0,0,1,0,2,1,0,0,3
36,0,0,0,0,1,3,3,0,1
37,0,0,0,1,0,1,0,0,1
38,0,0,0,1,0,0,1,2,0
39,0,0,1,0,1,0,0,0,0
40,0,0,2,0,0,0,0,2,1
41,0,0,0,0,0,1,0,0,3
42,0,0,0,1,0,0,0,0,1
43,0,0,0,0,0,0,1,0,2
44,0,0,0,1,2,1,2,4,4
45,0,0,0,2,1,1,3,2,3
46,0,0,0,0,1,2,2,7,1
47,0,0,0,0,2,3,4,4,2
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
