week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,6,2,8,6
2,0,0,0,0,3,3,3,6,3
3,0,0,0,1,0,2,2,2,7
4,0,1,0,0,2,0,2,8,11
5,0,0,0,0,0,3,6,9,8
6,0,0,1,1,0,2,6,1,11
7,0,0,0,0,0,4,4,3,12
8,0,0,0,0,1,1,2,7,6
9,0,0,0,1,0,1,4,9,2
10,0,0,0,0,1,3,1,5,0
11,0,0,0,0,1,3,1,5,3
12,0,0,0,0,1,1,0,1,5
13,0,0,0,0,1,3,2,3,0
14,0,0,1,0,0,1,0,2,2
15,0,1,1,0,0,0,1,0,0
16,0,0,0,1,0,0,1,0,0
17,0,0,1,1,0,2,1,1,1
18,0,0,0,0,0,0,0,0,3
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1,1,1
21,0,0,0,0,0,2,0,1,3
22,0,0,1,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,1,0,0,1,0
29,0,0,1,1,0,0,0,0,1
30,0,0,0,0,1,1,0,1,1
31,0,0,0,1,1,0,0,0,1
32,0,0,1,0,0,0,0,0,0
33,0,0,0,1,4,2,1,1,0
34,0,0,0,0,0,3,2,0,1
35,0,0,0,0,1,4,1,2,2
36,0,0,0,0,2,1,2,1,2
37,0,0,0,3,0,0,1,3,1
38,0,1,1,0,0,1,0,1,2
39,2,1,0,0,0,2,1,4,2
40,0,0,0,1,0,1,0,5,0
41,0,0,1,0,2,2,0,0,1
42,0,0,0,1,0,1,1,0,3
43,0,0,1,0,1,0,0,3,2
44,0,0,0,0,0,0,2,2,5
45,0,0,0,0,0,1,2,3,6
46,0,0,0,0,1,2,0,2,4
47,0,0,0,0,0,2,3,7,4
48,0,1,0,1,1,2,3,7,10
49,2,0,1,1,1,4,4,5,12
50,1,0,0,1,1,4,5,10,6
51,2,0,2,1,1,5,3,6,8
52,0,0,3,0,1,2,4,11,16
