week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,1,3,4,9,6,13,15
2,2,0,1,1,2,5,4,4,9
3,1,0,1,0,1,1,5,4,7
4,1,0,0,0,1,1,6,7,5
5,0,0,0,0,2,1,2,0,4
6,0,0,1,2,1,0,2,5,7
7,0,1,0,1,2,1,0,2,1
8,0,1,0,1,0,0,1,3,10
9,0,0,1,0,2,2,4,2,3
10,2,0,2,1,1,3,1,1,2
11,0,0,1,0,1,5,4,4,3
12,0,0,0,1,3,4,2,3,2
13,0,0,0,3,3,6,1,6,2
14,0,0,0,1,1,3,10,6,2
15,0,0,0,1,1,1,2,1,8
16,1,0,1,1,5,4,3,2,0
17,0,0,0,1,2,3,7,4,3
18,1,0,0,2,2,3,3,0,4
19,0,0,0,0,2,1,2,2,1
20,1,0,0,2,3,3,4,3,2
21,0,0,0,1,2,2,0,0,0
22,0,0,0,0,0,0,0,1,1
23,0,0,0,1,1,0,1,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,1,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0
28,0,0,0,1,0,0,0,0,0
29,0,0,0,1,0,2,0,0,0
30,0,0,0,0,2,1,1,0,0
31,0,1,0,1,1,1,0,0,1
32,0,1,2,5,1,5,2,0,1
33,1,0,2,1,3,12,5,5,2
34,1,0,4,7,3,9,8,1,2
35,2,0,1,1,5,2,5,3,1
36,0,0,0,1,3,3,4,2,0
37,0,0,1,3,8,2,1,2,1
38,1,1,0,1,1,2,0,1,3
39,0,0,1,0,1,0,0,0,1
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
