week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,2,0,1,0,3,0,5,7,6
2,0,1,1,1,1,1,4,2,7
3,0,0,0,0,0,0,0,5,4
4,0,0,0,0,0,0,1,1,4
5,0,1,1,2,1,1,1,0,4
6,1,0,0,0,0,1,2,4,0
7,0,0,0,0,0,2,1,4,1
8,0,0,0,0,0,1,1,1,1
9,0,0,1,1,0,0,0,0,0
10,0,0,0,0,3,0,1,0,1
11,0,0,0,0,1,0,0,3,0
12,0,0,0,0,2,2,1,0,1
13,0,0,0,0,0,0,2,1,0
14,0,0,0,0,0,0,2,2,1
15,0,0,0,0,1,1,0,0,1
16,0,0,0,0,0,1,0,0,3
17,0,0,0,0,0,1,2,2,3
18,0,0,0,0,0,1,1,2,0
19,0,0,0,1,2,1,0,1,0
20,0,0,1,1,3,2,1,0,1
21,0,0,0,0,3,2,1,1,1
22,1,0,0,0,0,4,2,1,1
23,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,1,0,0,1
25,0,0,0,0,0,0,0,0,0
26,0,0,0,1,0,1,1,0,0
27,0,0,1,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,1,0,1,0,1
31,0,0,0,0,1,0,0,0,1
32,0,0,0,2,0,1,1,0,1
33,1,0,0,2,3,3,1,1,0
34,0,0,0,0,1,3,0,0,1
35,0,0,0,1,1,4,4,2,2
36,1,1,0,1,2,3,0,1,3
37,0,0,1,0,1,2,4,0,1
38,0,1,1,0,0,1,0,0,0
39,0,0,0,0,0,0,0,2,1
40,0,0,0,0,1,0,1,2,0
41,0,0,0,0,0,4,0,1,0
42,0,0,0,0,0,0,1,1,1
43,0,0,0,1,2,2,4,1,2
44,0,0,0,1,1,0,0,1,8
45,0,1,0,0,2,5,5,7,8
46,0,0,0,1,1,4,6,4,11
47,0,0,0,0,3,2,5,4,6
48,1,0,2,0,1,5,2,3,2
49,0,0,2,0,1,4,5,4,9
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
