week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,1,2,6,12,24,33,47
2,0,1,0,0,4,11,7,11,22
3,0,0,0,0,3,6,8,17,20
4,0,0,0,0,2,4,6,7,13
5,1,0,1,1,1,6,5,2,7
6,0,0,0,0,2,3,2,4,9
7,0,0,1,0,1,2,3,6,4
8,0,0,0,1,1,1,3,9,5
9,0,0,1,2,1,1,4,16,5
10,0,0,0,1,4,2,6,13,5
11,0,0,1,0,3,5,8,8,8
12,0,0,0,2,2,6,12,12,3
13,0,1,3,1,8,14,12,20,8
14,0,0,1,2,4,3,10,8,9
15,0,0,0,2,5,10,13,6,8
16,0,0,0,4,3,13,15,4,3
17,0,0,0,2,3,4,5,6,5
18,0,0,0,1,4,1,2,3,3
19,0,0,0,0,1,2,3,0,0
20,0,0,0,0,1,4,2,2,2
21,0,0,0,0,3,0,0,0,2
22,0,0,0,0,0,0,2,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1,1
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,1,0,0
28,0,0,0,1,1,1,1,1,0
29,0,0,0,2,1,2,1,0,1
30,0,1,0,0,0,0,0,0,1
31,0,0,0,0,0,1,1,1,3
32,0,0,1,1,1,0,1,2,1
33,0,0,1,7,4,4,2,0,1
34,0,0,0,1,1,2,7,1,3
35,0,0,1,1,5,3,0,0,1
36,0,0,0,0,0,3,1,0,0
37,0,0,0,0,0,1,2,2,0
38,0,0,0,0,1,1,0,3,1
39,0,0,0,0,1,0,0,0,0
40,0,0,0,0,0,0,0,1,0
41,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
