week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,3,0,1,3,12,24,28,43,51
2,3,2,1,4,8,21,16,27,42
3,2,2,3,4,5,19,15,23,35
4,5,1,2,0,7,13,15,21,26
5,1,2,0,4,3,7,18,21,24
6,1,1,1,0,4,11,12,13,29
7,2,0,0,1,5,3,11,15,17
8,0,0,1,2,2,4,9,9,16
9,2,0,1,3,12,8,9,14,12
10,2,0,1,5,5,15,9,12,16
11,1,1,3,7,11,10,25,17,12
12,2,1,2,2,15,19,27,21,7
13,3,0,3,7,16,21,22,17,14
14,2,1,2,3,14,33,21,17,15
15,3,0,4,7,12,28,25,24,11
16,3,2,2,10,21,19,30,16,17
17,2,0,2,13,11,34,25,5,15
18,0,0,2,5,8,18,10,19,7
19,0,0,2,5,7,19,4,7,8
20,0,0,0,5,8,16,12,4,6
21,0,0,1,1,2,7,3,7,2
22,0,0,1,3,2,10,6,1,3
23,0,0,1,1,3,2,2,2,0
24,0,0,0,1,4,2,6,2,1
25,1,0,0,0,1,0,4,1,0
26,0,0,1,0,0,0,1,1,1
27,0,0,0,0,0,1,2,1,0
28,0,0,1,1,5,5,1,1,2
29,0,0,2,4,2,1,3,2,4
30,2,1,2,4,1,3,2,3,3
31,5,1,2,2,4,8,6,1,3
32,3,0,6,7,8,10,11,3,4
33,3,2,5,10,22,28,16,10,5
34,1,0,4,9,10,20,19,13,3
35,5,2,1,10,14,14,14,14,8
36,4,2,6,10,12,20,16,7,4
37,1,1,5,8,12,10,6,13,10
38,2,0,1,7,6,5,7,13,7
39,0,1,2,0,0,7,10,4,3
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
