day,covid19,noncovid19,free
2020-03-30,21,17,34
2020-03-31,26,9,32
2020-04-01,25,13,27
2020-04-02,28,8,31
2020-04-03,27,10,35
2020-04-04,27,12,35
2020-04-05,27,11,36
2020-04-06,25,16,30
2020-04-07,23,16,32
2020-04-08,22,23,28
2020-04-09,21,18,34
2020-04-10,23,15,35
2020-04-11,23,15,35
2020-04-12,21,16,36
2020-04-13,21,16,36
2020-04-14,18,27,30
2020-04-15,21,29,24
2020-04-16,20,23,29
2020-04-17,19,21,32
2020-04-18,18,15,36
2020-04-19,17,10,40
2020-04-20,17,19,23
2020-04-21,17,22,20
2020-04-22,15,18,23
2020-04-23,14,20,22
2020-04-24,14,24,21
2020-04-25,13,22,24
2020-04-26,15,19,25
2020-04-27,14,20,25
2020-04-28,11,20,28
2020-04-29,14,19,28
2020-04-30,12,29,19
2020-05-01,9,27,21
2020-05-02,8,23,26
2020-05-03,8,20,29
2020-05-04,5,21,30
2020-05-05,5,26,23
2020-05-06,5,27,22
2020-05-07,4,30,17
2020-05-08,4,30,20
2020-05-09,4,32,18
2020-05-10,3,32,19
2020-05-11,3,24,27
2020-05-12,1,28,25
2020-05-13,1,30,23
2020-05-14,1,31,22
2020-05-15,1,27,26
2020-05-16,1,23,30
2020-05-17,1,24,29
2020-05-18,2,30,20
2020-05-19,3,32,17
2020-05-20,3,28,21
2020-05-21,3,34,15
2020-05-22,3,38,11
2020-05-23,3,38,11
2020-05-24,3,38,11
2020-05-25,2,32,18
2020-05-26,2,33,17
2020-05-27,2,31,19
2020-05-28,1,34,17
2020-05-29,1,37,14
2020-05-30,1,37,14
2020-05-31,1,37,14
2020-06-01,2,31,15
2020-06-02,2,33,13
2020-06-03,2,35,11
2020-06-04,1,26,21
2020-06-05,1,27,20
2020-06-06,1,27,20
2020-06-07,1,27,20
2020-06-08,1,33,18
2020-06-09,1,33,18
2020-06-10,1,34,17
2020-06-11,1,31,20
2020-06-12,1,31,20
2020-06-13,1,31,20
2020-06-14,1,31,20
2020-06-15,1,36,15
2020-06-16,1,36,15
2020-06-17,1,36,15
2020-06-18,1,37,14
2020-06-19,1,37,14
2020-06-20,1,37,14
2020-06-21,1,37,14
2020-06-22,1,30,21
2020-06-23,1,30,21
2020-06-24,1,30,21
2020-06-25,0,28,24
2020-06-26,0,28,24
2020-06-27,0,28,24
2020-06-28,0,28,24
2020-06-29,1,31,20
2020-06-30,1,31,20
2020-07-01,1,31,20
2020-07-02,1,38,13
2020-07-03,0,39,13
2020-07-04,0,39,13
2020-07-05,0,39,13
2020-07-06,1,31,20
2020-07-07,1,31,20
2020-07-08,1,31,18
2020-07-09,1,30,21
2020-07-10,1,36,13
2020-07-11,1,35,16
2020-07-12,1,35,16
2020-07-13,1,28,23
2020-07-14,1,29,20
2020-07-15,1,26,23
2020-07-16,2,36,12
2020-07-17,1,27,22
2020-07-18,1,32,17
2020-07-19,1,32,17
2020-07-20,1,35,14
2020-07-21,1,38,11
2020-07-22,1,32,17
2020-07-23,1,42,7
2020-07-24,1,42,7
2020-07-25,1,42,7
2020-07-26,1,42,7
2020-07-27,1,43,6
2020-07-28,2,39,9
2020-07-29,3,32,15
2020-07-30,3,37,10
2020-07-31,3,40,7
2020-08-01,3,40,7
2020-08-02,3,40,7
2020-08-03,5,31,14
2020-08-04,5,35,10
2020-08-05,5,36,9
2020-08-06,5,25,20
2020-08-07,4,26,20
2020-08-08,4,26,20
2020-08-09,4,23,23
2020-08-10,4,28,18
2020-08-11,5,28,17
2020-08-12,4,26,20
2020-08-13,4,25,21
2020-08-14,4,33,13
2020-08-15,4,34,11
2020-08-16,4,33,12
2020-08-17,2,31,17
2020-08-18,2,36,12
2020-08-19,2,33,15
2020-08-20,1,41,8
2020-08-21,2,41,7
2020-08-22,2,41,7
2020-08-23,2,41,7
2020-08-24,3,38,9
2020-08-25,3,36,11
2020-08-26,3,35,12
2020-08-27,4,40,6
2020-08-28,4,43,3
2020-08-29,4,43,3
2020-08-30,4,43,3
2020-08-31,5,32,13
2020-09-01,5,39,6
2020-09-02,5,41,4
2020-09-03,5,40,5
2020-09-04,4,38,8
2020-09-05,4,38,8
2020-09-06,4,38,8
2020-09-07,3,36,11
2020-09-08,3,37,10
2020-09-09,3,35,12
2020-09-10,3,38,9
2020-09-11,3,33,14
2020-09-12,3,33,14
2020-09-13,3,33,14
2020-09-14,2,32,16
2020-09-15,2,38,10
2020-09-16,2,35,13
2020-09-17,2,41,6
2020-09-18,2,42,6
2020-09-19,2,42,6
2020-09-20,2,42,6
2020-09-21,2,40,8
2020-09-22,2,39,9
2020-09-23,2,43,5
2020-09-24,1,40,9
2020-09-25,2,39,9
2020-09-26,2,39,9
2020-09-27,2,39,9
2020-09-28,2,41,7
2020-09-29,1,43,6
2020-09-30,1,39,10
2020-10-01,7,27,16
2020-10-02,2,38,10
2020-10-03,2,38,10
2020-10-04,2,38,10
2020-10-05,2,39,9
2020-10-06,2,40,8
2020-10-07,2,33,15
2020-10-08,2,35,13
2020-10-09,2,38,10
2020-10-10,2,38,10
2020-10-11,2,38,10
2020-10-12,1,39,10
2020-10-13,1,40,9
2020-10-14,1,36,13
2020-10-15,2,36,12
2020-10-16,2,34,14
2020-10-17,2,34,14
