day,covid19,noncovid19,free
2020-03-30,35,330,532
2020-03-31,55,352,638
2020-04-01,57,345,645
2020-04-02,43,426,670
2020-04-03,45,402,687
2020-04-04,43,430,652
2020-04-05,43,442,641
2020-04-06,41,418,669
2020-04-07,40,425,668
2020-04-08,38,482,589
2020-04-09,41,475,588
2020-04-10,37,437,635
2020-04-11,40,406,663
2020-04-12,36,418,655
2020-04-13,30,421,776
2020-04-14,37,460,753
2020-04-15,22,482,747
2020-04-16,24,492,737
2020-04-17,22,510,711
2020-04-18,21,476,749
2020-04-19,21,493,734
2020-04-20,19,510,727
2020-04-21,18,513,712
2020-04-22,17,525,715
2020-04-23,15,515,727
2020-04-24,19,519,741
2020-04-25,24,502,753
2020-04-26,26,501,752
2020-04-27,25,528,750
2020-04-28,25,593,689
2020-04-29,27,638,640
2020-04-30,24,655,627
2020-05-01,20,589,675
2020-05-02,20,598,666
2020-05-03,23,565,696
2020-05-04,22,618,645
2020-05-05,14,635,676
2020-05-06,18,655,652
2020-05-07,13,683,632
2020-05-08,9,683,633
2020-05-09,9,664,652
2020-05-10,9,656,660
2020-05-11,10,628,643
2020-05-12,10,640,631
2020-05-13,6,695,580
2020-05-14,5,707,569
2020-05-15,4,693,584
2020-05-16,4,693,584
2020-05-17,4,693,584
2020-05-18,3,693,587
2020-05-19,2,703,578
2020-05-20,5,695,583
2020-05-21,5,670,608
2020-05-22,5,608,670
2020-05-23,5,608,670
2020-05-24,5,608,670
2020-05-25,3,592,688
2020-05-26,3,614,666
2020-05-27,3,710,570
2020-05-28,3,709,571
2020-05-29,2,650,631
2020-05-30,2,650,631
2020-05-31,2,650,631
2020-06-01,2,591,682
2020-06-02,2,605,668
2020-06-03,2,621,662
2020-06-04,2,732,551
2020-06-05,2,730,553
2020-06-06,2,730,553
2020-06-07,2,730,553
2020-06-08,2,687,592
2020-06-09,2,681,598
2020-06-10,2,693,586
2020-06-11,2,693,580
2020-06-12,2,688,585
2020-06-13,2,688,585
2020-06-14,2,688,585
2020-06-15,2,602,592
2020-06-16,2,602,592
2020-06-17,2,602,592
2020-06-18,0,664,615
2020-06-19,0,664,615
2020-06-20,0,664,615
2020-06-21,0,664,615
2020-06-22,1,644,654
2020-06-23,1,644,654
2020-06-24,1,644,654
2020-06-25,0,742,557
2020-06-26,0,742,557
2020-06-27,0,742,557
2020-06-28,0,742,557
2020-06-29,1,712,586
2020-06-30,1,712,586
2020-07-01,1,712,586
2020-07-02,1,765,537
2020-07-03,1,764,538
2020-07-04,1,764,538
2020-07-05,1,764,538
2020-07-06,0,767,566
2020-07-07,0,767,566
2020-07-08,0,767,568
2020-07-09,0,717,537
2020-07-10,0,715,541
2020-07-11,0,715,539
2020-07-12,0,715,539
2020-07-13,3,619,636
2020-07-14,3,614,643
2020-07-15,3,623,634
2020-07-16,4,623,633
2020-07-17,4,641,615
2020-07-18,4,641,615
2020-07-19,4,641,615
2020-07-20,1,615,624
2020-07-21,1,599,637
2020-07-22,1,585,651
2020-07-23,5,626,663
2020-07-24,5,630,659
2020-07-25,5,630,659
2020-07-26,5,630,659
2020-07-27,9,571,657
2020-07-28,8,580,649
2020-07-29,7,577,653
2020-07-30,10,618,654
2020-07-31,11,604,667
2020-08-01,11,604,667
2020-08-02,11,604,667
2020-08-03,7,600,732
2020-08-04,7,599,733
2020-08-05,7,606,726
2020-08-06,7,653,704
2020-08-07,6,650,708
2020-08-08,6,650,708
2020-08-09,6,650,708
2020-08-10,6,622,736
2020-08-11,5,633,726
2020-08-12,6,644,714
2020-08-13,6,773,612
2020-08-14,6,769,616
2020-08-15,6,769,617
2020-08-16,6,769,617
2020-08-17,6,661,676
2020-08-18,6,668,669
2020-08-19,6,662,675
2020-08-20,5,750,587
2020-08-21,4,759,579
2020-08-22,4,759,579
2020-08-23,4,759,579
2020-08-24,7,777,580
2020-08-25,7,793,564
2020-08-26,7,788,569
2020-08-27,4,806,554
2020-08-28,4,808,552
2020-08-29,4,808,552
2020-08-30,4,808,552
2020-08-31,1,802,561
2020-09-01,1,807,556
2020-09-02,1,808,555
2020-09-03,1,813,550
2020-09-04,2,820,542
2020-09-05,2,820,542
2020-09-06,2,820,542
2020-09-07,4,632,646
2020-09-08,4,635,643
2020-09-09,4,641,637
2020-09-10,4,692,586
2020-09-11,4,701,600
2020-09-12,4,701,600
2020-09-13,4,701,600
2020-09-14,9,659,637
2020-09-15,9,654,642
2020-09-16,9,660,636
2020-09-17,4,715,587
2020-09-18,4,712,566
2020-09-19,4,712,566
2020-09-20,4,712,566
2020-09-21,4,656,625
2020-09-22,4,663,618
2020-09-23,5,664,616
2020-09-24,4,705,574
2020-09-25,2,705,576
2020-09-26,2,705,576
2020-09-27,2,705,576
2020-09-28,7,634,644
2020-09-29,8,635,642
2020-09-30,8,637,640
2020-10-01,7,719,604
2020-10-02,12,713,605
2020-10-03,12,713,605
2020-10-04,12,713,605
2020-10-05,6,635,646
2020-10-06,6,630,651
2020-10-07,6,636,645
2020-10-08,5,652,632
2020-10-09,5,650,634
2020-10-10,5,650,634
2020-10-11,5,650,634
2020-10-12,6,602,684
2020-10-13,6,609,677
2020-10-14,6,607,679
2020-10-15,11,704,578
2020-10-16,11,699,582
2020-10-17,11,699,582
2020-10-18,11,699,582
2020-10-19,15,652,625
2020-10-20,17,667,608
2020-10-21,15,659,618
2020-10-22,10,688,594
2020-10-23,10,690,592
2020-10-24,10,690,592
2020-10-25,10,690,592
2020-10-26,31,609,650
2020-10-27,35,678,577
2020-10-28,34,651,605
2020-10-29,40,615,635
2020-10-30,45,636,605
2020-10-31,72,606,608
2020-11-01,74,590,622
2020-11-02,56,574,631
2020-11-03,60,636,632
2020-11-04,63,613,652
2020-11-05,63,637,628
2020-11-06,65,673,686
2020-11-07,75,585,768
2020-11-08,77,600,751
2020-11-09,67,565,700
2020-11-10,74,615,629
2020-11-11,76,731,513
2020-11-12,76,749,476
2020-11-13,85,734,536
2020-11-14,87,694,559
2020-11-15,93,701,542
2020-11-16,97,700,533
2020-11-17,98,745,480
2020-11-18,97,748,477
2020-11-19,98,760,478
2020-11-20,91,759,524
2020-11-21,84,696,564
2020-11-22,96,651,614
2020-11-23,107,699,550
2020-11-24,104,730,529
2020-11-25,101,833,436
2020-11-26,100,734,531
2020-11-27,101,674,569
2020-11-28,99,633,569
2020-11-29,108,632,568
2020-11-30,106,646,555
2020-12-01,92,716,523
2020-12-02,90,732,480
2020-12-03,81,714,496
2020-12-04,80,719,503
2020-12-05,89,633,578
2020-12-06,99,635,555
2020-12-07,106,662,551
2020-12-08,107,704,461
2020-12-09,102,736,474
