day,covid19,noncovid19,free
2020-03-30,0,122,152
2020-03-31,0,128,146
2020-04-01,0,144,256
2020-04-02,0,150,250
2020-04-03,0,143,500
2020-04-04,5,141,497
2020-04-05,5,133,505
2020-04-06,5,115,523
2020-04-07,9,136,498
2020-04-08,8,149,486
2020-04-09,6,151,486
2020-04-10,5,152,422
2020-04-11,4,153,422
2020-04-12,3,153,423
2020-04-13,3,144,432
2020-04-14,2,142,435
2020-04-15,1,147,431
2020-04-16,3,164,412
2020-04-17,1,160,418
2020-04-18,1,167,411
2020-04-19,2,164,413
2020-04-20,4,161,414
2020-04-21,4,172,331
2020-04-22,5,168,334
2020-04-23,3,173,331
2020-04-24,2,175,330
2020-04-25,2,175,330
2020-04-26,2,172,333
2020-04-27,0,189,318
2020-04-28,2,189,316
2020-04-29,0,193,314
2020-04-30,0,212,295
2020-05-01,4,250,325
2020-05-02,1,253,325
2020-05-03,1,234,283
2020-05-04,4,225,289
2020-05-05,3,230,285
2020-05-06,5,230,283
2020-05-07,3,231,284
2020-05-08,3,218,225
2020-05-09,3,218,225
2020-05-10,3,218,225
2020-05-11,5,233,208
2020-05-12,3,242,201
2020-05-13,3,251,192
2020-05-14,3,261,182
2020-05-15,3,253,190
2020-05-16,3,253,190
2020-05-17,3,253,190
2020-05-18,0,231,215
2020-05-19,0,249,197
2020-05-20,0,259,187
2020-05-21,0,249,197
2020-05-22,0,233,213
2020-05-23,0,233,213
2020-05-24,0,233,213
2020-05-25,0,219,227
2020-05-26,0,243,203
2020-05-27,0,251,195
2020-05-28,0,264,182
2020-05-29,1,245,200
2020-05-30,1,245,200
2020-05-31,1,245,200
2020-06-01,1,245,200
2020-06-02,1,226,219
2020-06-03,1,226,219
2020-06-04,1,247,198
2020-06-05,1,242,203
2020-06-06,1,242,203
2020-06-07,1,242,203
2020-06-08,0,252,194
2020-06-09,0,249,197
2020-06-10,0,249,197
2020-06-11,0,252,194
2020-06-12,0,301,206
2020-06-13,0,301,206
2020-06-14,0,301,206
2020-06-15,1,194,186
2020-06-16,1,194,186
2020-06-17,1,197,183
2020-06-18,1,206,174
2020-06-19,0,154,166
2020-06-20,0,154,166
2020-06-21,0,154,166
2020-06-22,0,150,170
2020-06-23,0,156,164
2020-06-24,0,156,164
2020-06-25,0,161,159
2020-06-26,1,155,164
2020-06-27,1,155,164
2020-06-28,1,155,164
2020-06-29,3,185,193
2020-06-30,3,185,193
2020-07-01,3,198,180
2020-07-02,3,204,174
2020-07-03,2,205,174
2020-07-04,2,205,174
2020-07-05,2,205,174
2020-07-06,1,174,145
2020-07-07,1,211,169
2020-07-08,1,211,169
2020-07-09,1,58,72
2020-07-10,0,59,72
2020-07-11,0,59,72
2020-07-12,0,59,72
2020-07-13,0,217,164
2020-07-14,0,180,140
2020-07-15,0,184,136
2020-07-16,0,185,135
2020-07-17,0,185,135
2020-07-18,0,185,135
2020-07-19,0,185,135
2020-07-20,0,171,149
2020-07-21,0,173,147
2020-07-22,0,173,147
2020-07-23,0,175,145
2020-07-24,1,176,143
2020-07-25,1,176,143
2020-07-26,1,176,143
2020-07-27,1,169,150
2020-07-28,1,169,150
2020-07-29,1,169,150
2020-07-30,1,172,147
2020-07-31,0,170,150
2020-08-01,0,170,150
2020-08-02,0,170,150
2020-08-03,1,169,150
2020-08-04,1,169,150
2020-08-05,1,169,150
2020-08-06,1,169,150
2020-08-07,1,23,46
2020-08-08,1,23,46
2020-08-09,1,23,46
2020-08-10,3,39,89
2020-08-11,3,39,89
2020-08-12,3,39,89
2020-08-13,3,183,195
2020-08-14,2,183,196
2020-08-15,2,183,196
2020-08-16,2,183,196
2020-08-17,1,165,154
2020-08-18,1,165,154
2020-08-19,1,165,154
2020-08-20,1,181,138
2020-08-21,2,181,137
2020-08-22,2,181,137
2020-08-23,2,181,137
2020-08-24,0,178,142
2020-08-25,0,178,142
2020-08-26,0,178,142
2020-08-27,0,178,142
2020-08-28,1,177,142
2020-08-29,1,177,142
2020-08-30,1,177,142
2020-08-31,1,173,146
2020-09-01,1,173,146
2020-09-02,1,173,146
2020-09-03,1,215,165
2020-09-04,0,216,165
2020-09-05,0,216,165
2020-09-06,0,216,165
2020-09-07,0,66,65
2020-09-08,0,66,65
2020-09-09,0,66,65
2020-09-10,0,210,171
2020-09-11,0,210,171
2020-09-12,0,210,171
2020-09-13,0,210,171
2020-09-14,1,197,183
2020-09-15,1,197,183
2020-09-16,1,201,179
2020-09-17,1,162,157
2020-09-18,1,162,157
2020-09-19,1,162,157
2020-09-20,1,162,157
2020-09-21,0,139,111
2020-09-22,0,139,111
2020-09-23,0,0,0
2020-09-24,0,204,107
2020-09-25,0,204,107
2020-09-26,0,204,107
2020-09-27,0,204,107
2020-09-28,0,196,115
2020-09-29,0,196,115
2020-09-30,0,198,113
2020-10-01,0,156,94
