day,covid19,noncovid19,free
2020-03-30,21,54,54
2020-03-31,25,46,57
2020-04-01,24,46,56
2020-04-02,26,65,53
2020-04-03,29,57,56
2020-04-04,28,47,64
2020-04-05,31,44,64
2020-04-06,31,46,64
2020-04-07,28,44,74
2020-04-08,28,54,64
2020-04-09,28,50,60
2020-04-10,27,41,70
2020-04-11,24,42,72
2020-04-12,25,42,67
2020-04-13,26,41,67
2020-04-14,22,44,68
2020-04-15,19,38,77
2020-04-16,18,45,77
2020-04-17,18,46,62
2020-04-18,18,46,62
2020-04-19,17,40,69
2020-04-20,16,38,68
2020-04-21,14,36,72
2020-04-22,11,45,66
2020-04-23,11,45,66
2020-04-24,11,46,61
2020-04-25,9,52,57
2020-04-26,11,48,59
2020-04-27,10,47,61
2020-04-28,9,54,55
2020-04-29,8,62,48
2020-04-30,8,58,52
2020-05-01,8,54,56
2020-05-02,8,53,57
2020-05-03,5,46,67
2020-05-04,8,50,60
2020-05-05,7,54,57
2020-05-06,8,51,59
2020-05-07,8,53,55
2020-05-08,8,57,51
2020-05-09,10,58,48
2020-05-10,8,58,50
2020-05-11,8,46,62
2020-05-12,6,52,58
2020-05-13,7,52,57
2020-05-14,7,64,45
2020-05-15,6,55,55
2020-05-16,4,53,59
2020-05-17,3,55,58
2020-05-18,2,57,57
2020-05-19,2,59,55
2020-05-20,4,52,48
2020-05-21,4,52,48
2020-05-22,2,40,60
2020-05-23,2,44,56
2020-05-24,2,44,56
2020-05-25,1,50,51
2020-05-26,1,54,47
2020-05-27,1,49,54
2020-05-28,1,59,56
2020-05-29,0,65,51
2020-05-30,0,62,54
2020-05-31,0,62,52
2020-06-01,0,65,49
2020-06-02,0,65,51
2020-06-03,0,63,53
2020-06-04,0,67,49
2020-06-05,0,75,41
2020-06-06,0,83,33
2020-06-07,0,75,41
2020-06-08,0,78,38
2020-06-09,0,82,34
2020-06-10,0,72,44
2020-06-11,0,60,56
2020-06-12,0,60,56
2020-06-13,0,62,54
2020-06-14,0,62,54
2020-06-15,0,74,42
2020-06-16,0,74,42
2020-06-17,0,72,44
2020-06-18,0,71,33
2020-06-19,0,71,33
2020-06-20,0,74,30
2020-06-21,0,73,31
2020-06-22,0,59,45
2020-06-23,0,65,39
2020-06-24,0,70,46
2020-06-25,0,81,35
2020-06-26,0,81,35
2020-06-27,0,77,39
2020-06-28,0,78,38
2020-06-29,0,68,48
2020-06-30,0,70,46
2020-07-01,0,68,48
2020-07-02,1,60,55
2020-07-03,1,64,42
2020-07-04,1,60,46
2020-07-05,1,60,46
2020-07-06,1,57,44
2020-07-07,1,50,51
2020-07-08,1,54,47
2020-07-09,2,70,30
2020-07-10,2,55,45
2020-07-11,2,55,45
2020-07-12,2,54,46
2020-07-13,1,54,47
2020-07-14,2,49,51
2020-07-15,3,52,47
2020-07-16,4,57,41
2020-07-17,3,73,38
2020-07-18,3,69,42
2020-07-19,3,69,42
2020-07-20,4,73,37
2020-07-21,3,68,43
2020-07-22,2,65,47
2020-07-23,2,77,35
2020-07-24,2,63,28
2020-07-25,2,66,25
2020-07-26,2,60,31
2020-07-27,2,67,31
2020-07-28,2,73,25
2020-07-29,2,75,37
2020-07-30,2,81,31
2020-07-31,2,77,35
2020-08-01,2,77,35
2020-08-02,2,75,37
2020-08-03,3,62,49
2020-08-04,4,62,48
2020-08-05,3,53,46
2020-08-06,3,54,45
2020-08-07,3,56,43
2020-08-08,2,52,48
2020-08-09,2,51,49
2020-08-10,2,52,48
2020-08-11,2,61,39
2020-08-12,2,64,36
2020-08-13,1,64,37
2020-08-14,1,64,37
2020-08-15,1,64,37
2020-08-16,1,64,37
2020-08-17,1,49,52
2020-08-18,1,69,32
2020-08-19,1,77,35
2020-08-20,2,77,35
2020-08-21,3,73,38
2020-08-22,3,73,38
2020-08-23,2,78,34
2020-08-24,2,66,46
2020-08-25,2,62,50
2020-08-26,2,69,43
2020-08-27,2,71,41
2020-08-28,2,67,45
