day,covid19,noncovid19,free
2020-03-30,62,279,383
2020-03-31,56,322,464
2020-04-01,57,489,593
2020-04-02,54,681,842
2020-04-03,48,643,892
2020-04-04,50,623,926
2020-04-05,44,664,749
2020-04-06,50,813,731
2020-04-07,53,878,812
2020-04-08,43,873,2002
2020-04-09,46,1340,1535
2020-04-10,45,1262,1612
2020-04-11,48,1252,1587
2020-04-12,49,1193,1643
2020-04-13,48,1229,1604
2020-04-14,54,1367,1632
2020-04-15,50,1449,1560
2020-04-16,46,1519,1538
2020-04-17,46,1530,1581
2020-04-18,53,1433,1667
2020-04-19,45,1413,1653
2020-04-20,52,1562,1550
2020-04-21,47,1619,1497
2020-04-22,41,1660,1462
2020-04-23,37,1738,1403
2020-04-24,40,1668,1464
2020-04-25,39,1599,1534
2020-04-26,29,1652,1491
2020-04-27,25,1819,1328
2020-04-28,25,1987,1225
2020-04-29,23,2059,1154
2020-04-30,20,2211,1049
2020-05-01,21,2100,1143
2020-05-02,20,1849,1391
2020-05-03,19,1779,1462
2020-05-04,19,1892,1353
2020-05-05,18,2070,1202
2020-05-06,19,2152,1119
2020-05-07,16,2152,1124
2020-05-08,17,2079,1192
2020-05-09,19,1979,1300
2020-05-10,16,1928,1354
2020-05-11,20,2051,1225
2020-05-12,19,2213,1064
2020-05-13,14,2335,947
2020-05-14,12,2302,982
2020-05-15,16,2333,972
2020-05-16,18,2093,1119
2020-05-17,19,1970,1241
2020-05-18,22,2140,1037
2020-05-19,20,2258,921
2020-05-20,14,2150,937
2020-05-21,13,1994,1094
2020-05-22,13,2006,1033
2020-05-23,11,1921,1120
2020-05-24,11,1817,1224
2020-05-25,12,1893,1158
2020-05-26,10,1974,1079
2020-05-27,8,2130,923
2020-05-28,7,2276,978
2020-05-29,7,2330,919
2020-05-30,7,2185,1064
2020-05-31,7,2100,1151
2020-06-01,7,2026,1225
2020-06-02,7,2064,1214
2020-06-03,7,2060,1231
2020-06-04,7,2338,857
2020-06-05,7,2257,939
2020-06-06,7,2049,1147
2020-06-07,7,2051,1145
