day,covid19,noncovid19,free
2020-03-30,47,288,251
2020-03-31,42,307,223
2020-04-01,42,321,191
2020-04-02,36,318,195
2020-04-03,35,298,206
2020-04-04,44,256,239
2020-04-05,41,261,237
2020-04-06,36,261,242
2020-04-07,33,289,217
2020-04-08,34,308,197
2020-04-09,31,289,219
2020-04-10,25,269,219
2020-04-11,22,257,234
2020-04-12,20,266,227
2020-04-13,19,288,206
2020-04-14,22,288,203
2020-04-15,31,300,171
2020-04-16,31,309,162
2020-04-17,25,313,153
2020-04-18,24,293,166
2020-04-19,24,288,171
2020-04-20,23,302,159
2020-04-21,23,318,143
2020-04-22,23,313,148
2020-04-23,22,319,143
2020-04-24,16,290,177
2020-04-25,16,289,191
2020-04-26,16,292,188
2020-04-27,15,305,181
2020-04-28,12,336,155
2020-04-29,11,360,167
2020-04-30,8,355,157
2020-05-01,7,359,160
2020-05-02,6,331,189
2020-05-03,9,320,197
2020-05-04,8,339,179
2020-05-05,7,395,130
2020-05-06,5,418,109
2020-05-07,5,420,117
2020-05-08,4,426,128
2020-05-09,2,388,168
2020-05-10,1,350,207
2020-05-11,2,393,165
2020-05-12,2,421,135
2020-05-13,1,446,111
2020-05-14,2,452,104
2020-05-15,1,446,117
2020-05-16,0,416,130
2020-05-17,2,371,173
2020-05-18,3,374,165
2020-05-19,3,394,145
2020-05-20,3,419,129
2020-05-21,3,412,131
2020-05-22,2,403,141
2020-05-23,2,395,149
2020-05-24,2,389,155
2020-05-25,2,375,169
2020-05-26,0,415,153
2020-05-27,0,453,148
2020-05-28,0,508,93
2020-05-29,0,495,97
2020-05-30,0,475,105
2020-05-31,0,438,142
2020-06-01,0,422,158
2020-06-02,0,475,131
2020-06-03,0,487,116
2020-06-04,0,519,91
2020-06-05,0,532,81
2020-06-06,0,500,110
2020-06-07,0,437,173
2020-06-08,0,467,143
2020-06-09,0,508,102
2020-06-10,0,542,68
2020-06-11,0,524,88
2020-06-12,0,525,89
2020-06-13,0,456,154
