day,covid19,noncovid19,free
2020-03-30,15,15,21
2020-03-31,15,25,14
2020-04-01,17,24,13
2020-04-02,17,21,20
2020-04-03,16,22,20
2020-04-04,13,14,31
2020-04-05,12,12,34
2020-04-06,13,12,33
2020-04-07,13,25,20
2020-04-08,13,23,22
2020-04-09,13,28,17
2020-04-10,11,23,24
2020-04-11,9,22,27
2020-04-12,9,18,31
2020-04-13,8,17,33
2020-04-14,6,16,36
2020-04-15,7,19,32
2020-04-16,8,18,32
2020-04-17,8,23,27
2020-04-18,7,21,30
2020-04-19,7,20,31
2020-04-20,7,24,27
2020-04-21,7,27,24
2020-04-22,7,30,21
2020-04-23,7,23,24
2020-04-24,6,31,17
2020-04-25,6,31,17
2020-04-26,7,21,24
2020-04-27,6,19,29
2020-04-28,6,25,23
2020-04-29,6,26,22
2020-04-30,5,27,22
2020-05-01,5,33,14
2020-05-02,5,31,16
2020-05-03,5,29,18
2020-05-04,4,26,24
2020-05-05,4,38,12
2020-05-06,4,30,20
2020-05-07,4,25,25
2020-05-08,3,28,23
2020-05-09,3,26,23
2020-05-10,3,27,22
2020-05-11,3,26,25
2020-05-12,3,32,19
2020-05-13,3,34,17
2020-05-14,3,34,17
2020-05-15,4,33,17
2020-05-16,3,28,21
2020-05-17,3,28,21
2020-05-18,3,26,25
2020-05-19,3,28,19
2020-05-20,2,35,13
2020-05-21,2,27,21
2020-05-22,2,27,21
2020-05-23,2,18,30
2020-05-24,2,18,28
2020-05-25,2,27,21
2020-05-26,2,34,14
2020-05-27,2,30,18
2020-05-28,2,24,24
2020-05-29,2,34,14
2020-05-30,2,34,14
2020-05-31,2,34,14
2020-06-01,3,27,18
2020-06-02,3,27,18
2020-06-03,3,27,18
2020-06-04,1,41,6
2020-06-05,1,41,6
2020-06-06,1,41,6
2020-06-07,1,41,6
2020-06-08,3,36,11
2020-06-09,3,36,11
2020-06-10,3,36,11
2020-06-11,2,34,6
2020-06-12,2,34,6
2020-06-13,2,34,6
2020-06-14,2,34,6
2020-06-15,2,29,11
2020-06-16,2,29,11
2020-06-17,2,29,11
2020-06-18,2,42,6
2020-06-19,2,42,6
2020-06-20,2,42,6
2020-06-21,2,42,6
2020-06-22,1,32,17
2020-06-23,1,32,17
2020-06-24,1,32,17
2020-06-25,1,37,12
2020-06-26,1,37,12
2020-06-27,1,37,12
2020-06-28,1,37,12
2020-06-29,1,27,20
2020-06-30,1,27,20
2020-07-01,1,27,20
2020-07-02,0,31,19
2020-07-03,0,31,19
2020-07-04,0,31,19
2020-07-05,0,31,19
2020-07-06,1,28,21
2020-07-07,1,28,21
2020-07-08,1,25,24
2020-07-09,1,26,23
2020-07-10,1,27,22
2020-07-11,1,27,22
2020-07-12,1,27,22
2020-07-13,1,28,21
2020-07-14,2,34,14
2020-07-15,2,39,9
2020-07-16,2,38,10
2020-07-17,2,41,7
2020-07-18,2,41,7
2020-07-19,2,41,7
2020-07-20,3,34,13
2020-07-21,3,37,10
2020-07-22,3,36,11
2020-07-23,2,37,11
2020-07-24,2,35,13
2020-07-25,2,35,13
2020-07-26,2,35,13
2020-07-27,2,30,18
2020-07-28,1,35,14
2020-07-29,0,40,10
2020-07-30,0,44,6
2020-07-31,0,49,1
2020-08-01,0,49,1
2020-08-02,0,49,1
2020-08-03,1,35,14
2020-08-04,1,45,4
2020-08-05,1,44,5
2020-08-06,0,44,6
2020-08-07,0,40,10
2020-08-08,0,40,10
2020-08-09,0,40,10
2020-08-10,0,35,15
2020-08-11,0,40,10
2020-08-12,0,37,5
2020-08-13,0,41,9
2020-08-14,0,43,7
2020-08-15,0,43,7
2020-08-16,0,43,7
2020-08-17,0,33,17
2020-08-18,0,34,16
2020-08-19,0,38,12
2020-08-20,0,38,12
2020-08-21,1,39,10
2020-08-22,1,39,10
2020-08-23,1,39,10
2020-08-24,0,32,18
2020-08-25,0,41,9
2020-08-26,0,40,10
2020-08-27,0,45,5
2020-08-28,1,41,8
2020-08-29,1,41,8
2020-08-30,1,41,8
2020-08-31,0,34,16
2020-09-01,1,44,5
2020-09-02,0,45,5
2020-09-03,2,39,9
2020-09-04,2,41,7
2020-09-05,2,41,7
2020-09-06,2,41,7
2020-09-07,1,33,16
2020-09-08,1,36,13
2020-09-09,1,42,7
2020-09-10,1,38,11
2020-09-11,1,43,6
2020-09-12,1,43,6
2020-09-13,1,43,6
2020-09-14,1,35,14
2020-09-15,1,40,9
2020-09-16,1,38,11
2020-09-17,1,40,9
2020-09-18,1,41,8
2020-09-19,1,41,8
2020-09-20,1,41,8
2020-09-21,1,41,8
2020-09-22,0,43,7
2020-09-23,0,43,7
2020-09-24,0,39,11
2020-09-25,0,35,15
2020-09-26,0,35,15
2020-09-27,0,35,15
2020-09-28,0,36,14
2020-09-29,0,35,15
2020-09-30,0,38,12
2020-10-01,1,39,10
2020-10-02,1,33,16
2020-10-03,1,33,16
2020-10-04,1,33,16
2020-10-05,1,39,10
2020-10-06,1,39,10
2020-10-07,1,39,10
2020-10-08,1,38,11
2020-10-09,1,29,12
2020-10-10,1,29,12
2020-10-11,1,29,12
2020-10-12,2,34,14
2020-10-13,3,42,5
2020-10-14,3,41,6
2020-10-15,3,36,11
2020-10-16,3,37,10
2020-10-17,3,37,10
2020-10-18,3,37,10
2020-10-19,3,31,16
2020-10-20,2,33,15
2020-10-21,3,40,7
2020-10-22,2,41,7
2020-10-23,4,44,2
2020-10-24,4,44,2
2020-10-25,4,44,2
2020-10-26,4,28,16
2020-10-27,5,32,11
2020-10-28,6,32,12
2020-10-29,11,26,13
2020-10-30,12,26,12
2020-10-31,14,23,13
2020-11-01,13,23,14
2020-11-02,12,23,15
2020-11-03,12,21,17
2020-11-04,14,22,14
2020-11-05,13,24,14
2020-11-06,15,25,11
2020-11-07,17,16,17
2020-11-08,17,18,15
2020-11-09,18,21,11
2020-11-10,21,19,10
2020-11-11,20,22,8
2020-11-12,20,20,10
2020-11-13,23,22,9
2020-11-14,23,14,17
2020-11-15,23,15,16
2020-11-16,23,17,10
2020-11-17,21,17,12
2020-11-18,27,14,9
2020-11-19,23,24,5
2020-11-20,26,21,5
2020-11-21,22,18,12
2020-11-22,22,20,10
2020-11-23,22,20,10
2020-11-24,22,19,11
2020-11-25,24,23,3
2020-11-26,21,17,13
2020-11-27,20,15,15
2020-11-28,20,17,13
2020-11-29,21,10,19
2020-11-30,21,21,8
2020-12-01,21,25,4
2020-12-02,21,19,10
2020-12-03,18,24,8
2020-12-04,17,21,12
2020-12-05,19,21,10
2020-12-06,17,19,14
2020-12-07,16,22,12
2020-12-08,15,17,18
2020-12-09,14,19,17
2020-12-10,18,19,13
2020-12-11,19,21,10
2020-12-12,16,21,13
2020-12-13,16,22,12
2020-12-14,16,24,11
2020-12-15,17,24,10
2020-12-16,17,21,13
2020-12-17,18,19,14
2020-12-18,18,20,12
2020-12-19,17,21,12
2020-12-20,17,18,15
2020-12-21,17,21,12
2020-12-22,15,19,16
2020-12-23,17,18,15
2020-12-24,16,18,16
2020-12-25,22,20,8
2020-12-26,20,21,9
2020-12-27,22,15,13
2020-12-28,22,16,12
2020-12-29,22,17,11
2020-12-30,20,21,9
2020-12-31,22,17,11
2021-01-01,18,14,18
