day,covid19,noncovid19,free
2020-03-30,41,344,392
2020-03-31,42,420,442
2020-04-01,40,404,473
2020-04-02,34,411,472
2020-04-03,33,398,486
2020-04-04,30,384,503
2020-04-05,31,405,481
2020-04-06,33,434,655
2020-04-07,33,414,675
2020-04-08,30,414,678
2020-04-09,27,380,715
2020-04-10,29,359,844
2020-04-11,32,361,839
2020-04-12,31,371,830
2020-04-13,32,376,824
2020-04-14,29,416,787
2020-04-15,24,447,761
2020-04-16,23,440,769
2020-04-17,20,401,811
2020-04-18,18,379,835
2020-04-19,23,399,810
2020-04-20,20,431,781
2020-04-21,16,435,781
2020-04-22,11,436,675
2020-04-23,5,450,671
2020-04-24,4,421,701
2020-04-25,4,414,708
2020-04-26,8,367,753
2020-04-27,6,486,634
2020-04-28,5,490,631
2020-04-29,4,542,580
2020-04-30,4,508,614
2020-05-01,3,447,678
2020-05-02,4,407,717
2020-05-03,5,428,695
2020-05-04,6,484,636
2020-05-05,6,534,586
2020-05-06,5,574,547
2020-05-07,6,575,545
2020-05-08,6,578,542
2020-05-09,6,531,591
2020-05-10,6,501,621
2020-05-11,7,533,586
2020-05-12,3,577,546
2020-05-13,3,578,545
2020-05-14,3,591,532
2020-05-15,4,558,564
2020-05-16,3,482,643
2020-05-17,3,508,617
2020-05-18,4,524,598
2020-05-19,3,563,564
2020-05-20,1,563,566
2020-05-21,1,546,583
2020-05-22,1,523,606
2020-05-23,1,461,668
2020-05-24,1,475,656
2020-05-25,1,521,608
2020-05-26,1,573,556
2020-05-27,1,591,538
2020-05-28,1,610,519
2020-05-29,1,581,548
2020-05-30,1,581,548
2020-05-31,1,581,548
2020-06-01,1,522,609
2020-06-02,1,480,651
2020-06-03,1,480,651
2020-06-04,1,611,520
2020-06-05,1,611,520
2020-06-06,1,611,520
2020-06-07,1,611,520
2020-06-08,1,550,579
2020-06-09,1,550,579
2020-06-10,1,550,579
2020-06-11,1,633,283
2020-06-12,1,633,283
2020-06-13,1,633,283
2020-06-14,1,633,283
2020-06-15,1,609,307
2020-06-16,1,609,307
2020-06-17,1,609,307
2020-06-18,1,626,503
2020-06-19,1,626,503
2020-06-20,1,626,503
2020-06-21,1,626,503
2020-06-22,1,587,542
2020-06-23,1,583,546
2020-06-24,1,583,546
2020-06-25,0,631,499
2020-06-26,0,631,499
2020-06-27,0,631,499
2020-06-28,0,631,499
2020-06-29,0,588,544
2020-06-30,0,588,544
2020-07-01,0,593,539
2020-07-02,0,631,499
2020-07-03,0,631,499
2020-07-04,0,631,499
2020-07-05,0,631,499
2020-07-06,2,587,541
2020-07-07,2,587,541
2020-07-08,2,588,540
2020-07-09,4,627,499
2020-07-10,4,620,506
2020-07-11,4,620,506
2020-07-12,4,620,506
2020-07-13,3,566,561
2020-07-14,3,582,545
2020-07-15,2,597,531
2020-07-16,2,610,518
2020-07-17,2,584,544
2020-07-18,2,584,544
2020-07-19,2,584,544
2020-07-20,3,554,573
2020-07-21,2,563,565
2020-07-22,0,561,569
2020-07-23,0,562,568
2020-07-24,0,580,550
2020-07-25,0,580,550
2020-07-26,0,580,550
2020-07-27,0,565,565
2020-07-28,1,586,543
2020-07-29,3,569,558
2020-07-30,3,557,570
2020-07-31,3,580,547
2020-08-01,3,580,547
2020-08-02,3,580,547
2020-08-03,0,577,553
2020-08-04,1,581,548
2020-08-05,1,618,511
2020-08-06,2,611,517
2020-08-07,3,596,531
2020-08-08,3,596,531
2020-08-09,3,596,531
2020-08-10,4,593,533
2020-08-11,4,605,521
2020-08-12,3,605,309
2020-08-13,2,637,491
2020-08-14,2,646,482
2020-08-15,2,646,482
2020-08-16,2,646,482
2020-08-17,5,612,513
2020-08-18,6,644,480
2020-08-19,7,638,485
2020-08-20,7,603,520
2020-08-21,7,596,527
2020-08-22,7,596,527
2020-08-23,7,596,527
2020-08-24,5,588,537
2020-08-25,5,599,526
2020-08-26,5,596,514
2020-08-27,3,615,497
2020-08-28,1,595,519
2020-08-29,1,595,519
2020-08-30,1,595,519
