day,covid19,noncovid19,free
2020-03-30,399,232,498
2020-03-31,429,245,502
2020-04-01,461,254,542
2020-04-02,479,289,532
2020-04-03,482,281,544
2020-04-04,458,279,570
2020-04-05,466,262,577
2020-04-06,471,324,690
2020-04-07,473,368,684
2020-04-08,456,372,707
2020-04-09,454,406,696
2020-04-10,440,360,755
2020-04-11,429,348,781
2020-04-12,425,334,792
2020-04-13,425,387,719
2020-04-14,399,372,771
2020-04-15,381,376,762
2020-04-16,369,366,770
2020-04-17,337,432,748
2020-04-18,319,428,740
2020-04-19,315,380,786
2020-04-20,305,409,761
2020-04-21,273,431,756
2020-04-22,260,437,762
2020-04-23,248,432,757
2020-04-24,250,444,731
2020-04-25,241,454,695
2020-04-26,236,455,693
2020-04-27,225,457,679
2020-04-28,203,500,607
2020-04-29,194,531,556
2020-04-30,189,518,553
2020-05-01,152,494,552
2020-05-02,143,483,564
2020-05-03,137,463,590
2020-05-04,134,490,535
2020-05-05,127,538,471
2020-05-06,122,527,477
2020-05-07,114,534,476
2020-05-08,100,562,457
2020-05-09,96,530,490
2020-05-10,92,528,496
2020-05-11,96,515,502
2020-05-12,86,537,498
2020-05-13,85,565,462
2020-05-14,83,552,475
2020-05-15,80,525,501
2020-05-16,76,514,508
2020-05-17,70,507,522
2020-05-18,68,521,510
2020-05-19,67,569,459
2020-05-20,60,560,459
2020-05-21,58,548,469
2020-05-22,55,523,492
2020-05-23,50,530,489
2020-05-24,49,542,480
2020-05-25,48,508,527
2020-05-26,38,575,450
2020-05-27,44,560,475
2020-05-28,37,581,463
2020-05-29,31,598,457
2020-05-30,32,595,456
2020-05-31,35,580,468
2020-06-01,32,539,491
2020-06-02,32,530,497
2020-06-03,33,558,476
2020-06-04,32,569,437
2020-06-05,28,588,413
2020-06-06,28,588,415
2020-06-07,28,552,451
2020-06-08,31,563,443
2020-06-09,31,585,423
2020-06-10,30,575,440
2020-06-11,19,537,456
2020-06-12,24,542,447
2020-06-13,25,549,439
2020-06-14,25,545,443
2020-06-15,14,545,449
2020-06-16,12,591,401
2020-06-17,15,591,398
2020-06-18,12,623,354
2020-06-19,11,551,418
2020-06-20,11,558,411
2020-06-21,11,558,411
2020-06-22,14,501,478
2020-06-23,14,557,423
2020-06-24,15,578,413
2020-06-25,14,627,365
2020-06-26,18,620,368
2020-06-27,18,614,374
2020-06-28,18,620,368
2020-06-29,18,591,393
2020-06-30,23,592,387
2020-07-01,23,597,382
2020-07-02,27,604,371
2020-07-03,25,600,368
2020-07-04,25,597,371
2020-07-05,25,597,371
2020-07-06,22,547,418
2020-07-07,20,549,418
2020-07-08,17,543,407
2020-07-09,22,570,380
2020-07-10,24,577,381
2020-07-11,24,571,389
2020-07-12,26,562,396
2020-07-13,26,541,427
2020-07-14,26,559,407
2020-07-15,29,559,413
2020-07-16,28,595,363
2020-07-17,26,613,363
2020-07-18,26,618,353
2020-07-19,26,617,353
2020-07-20,32,569,412
2020-07-21,27,563,427
2020-07-22,25,594,392
2020-07-23,22,633,353
2020-07-24,24,627,347
2020-07-25,24,628,346
2020-07-26,24,620,354
2020-07-27,24,587,385
2020-07-28,27,618,351
2020-07-29,25,631,352
2020-07-30,36,616,370
2020-07-31,39,634,349
2020-08-01,39,630,353
2020-08-02,39,629,355
2020-08-03,41,550,434
2020-08-04,44,563,399
2020-08-05,39,550,406
2020-08-06,37,569,389
2020-08-07,34,580,380
2020-08-08,28,564,386
2020-08-09,28,555,383
2020-08-10,33,519,411
2020-08-11,33,542,387
2020-08-12,30,542,383
2020-08-13,33,600,331
2020-08-14,34,570,359
2020-08-15,34,573,354
2020-08-16,33,572,356
2020-08-17,28,514,418
2020-08-18,31,562,370
2020-08-19,33,592,350
2020-08-20,28,627,321
2020-08-21,31,630,316
2020-08-22,31,627,319
2020-08-23,30,631,316
2020-08-24,28,578,383
2020-08-25,28,604,357
2020-08-26,29,648,332
2020-08-27,31,636,340
2020-08-28,30,643,338
2020-08-29,30,635,348
2020-08-30,30,641,342
2020-08-31,33,544,415
2020-09-01,34,597,367
2020-09-02,32,599,355
2020-09-03,35,617,354
2020-09-04,28,617,345
2020-09-05,28,630,344
2020-09-06,28,630,344
2020-09-07,31,582,389
2020-09-08,27,607,368
2020-09-09,28,608,367
2020-09-10,26,626,357
2020-09-11,26,619,364
2020-09-12,26,608,363
2020-09-13,26,605,366
2020-09-14,16,587,386
2020-09-15,17,641,342
2020-09-16,30,621,340
2020-09-17,27,630,345
2020-09-18,28,635,336
2020-09-19,27,633,330
2020-09-20,28,648,314
2020-09-21,33,618,343
2020-09-22,38,613,340
2020-09-23,35,643,319
2020-09-24,32,654,301
2020-09-25,39,630,316
2020-09-26,36,635,314
2020-09-27,35,618,316
2020-09-28,34,599,336
2020-09-29,33,613,329
2020-09-30,31,620,319
2020-10-01,34,617,330
2020-10-02,29,624,328
2020-10-03,29,629,323
2020-10-04,29,631,321
2020-10-05,35,597,347
2020-10-06,36,620,323
2020-10-07,35,624,321
2020-10-08,41,638,301
2020-10-09,42,618,310
2020-10-10,44,614,312
2020-10-11,44,611,321
2020-10-12,43,555,392
2020-10-13,50,588,354
2020-10-14,46,616,348
2020-10-15,56,620,331
2020-10-16,61,606,331
2020-10-17,66,594,339
2020-10-18,74,585,349
2020-10-19,92,567,347
2020-10-20,101,560,347
2020-10-21,118,550,339
2020-10-22,128,537,342
2020-10-23,147,558,314
2020-10-24,151,554,315
2020-10-25,156,538,327
2020-10-26,189,467,360
2020-10-27,220,476,320
2020-10-28,219,485,329
2020-10-29,239,453,345
2020-10-30,255,428,335
2020-10-31,283,415,329
2020-11-01,299,379,358
2020-11-02,331,376,347
2020-11-03,366,401,319
2020-11-04,391,364,250
2020-11-05,420,363,251
2020-11-06,443,350,258
2020-11-07,452,328,276
2020-11-08,458,307,293
2020-11-09,463,315,293
2020-11-10,492,324,274
2020-11-11,493,328,276
2020-11-12,502,330,271
2020-11-13,490,354,268
2020-11-14,505,335,285
2020-11-15,513,302,313
2020-11-16,523,319,297
2020-11-17,534,328,280
2020-11-18,530,328,284
2020-11-19,525,349,258
2020-11-20,534,336,262
2020-11-21,525,329,277
2020-11-22,531,311,294
2020-11-23,525,338,261
2020-11-24,508,338,280
2020-11-25,507,363,257
2020-11-26,496,364,265
2020-11-27,487,367,264
2020-11-28,487,363,265
2020-11-29,493,344,280
2020-11-30,481,380,253
2020-12-01,480,383,252
2020-12-02,489,388,236
2020-12-03,475,375,262
2020-12-04,464,392,254
2020-12-05,473,376,256
2020-12-06,463,380,259
2020-12-07,458,378,263
2020-12-08,461,387,249
2020-12-09,461,391,238
2020-12-10,471,377,239
2020-12-11,469,351,259
2020-12-12,464,352,266
2020-12-13,469,329,280
2020-12-14,477,333,260
2020-12-15,469,351,262
2020-12-16,477,361,246
2020-12-17,473,336,270
2020-12-18,453,335,283
2020-12-19,450,346,272
2020-12-20,448,308,310
2020-12-21,445,305,315
2020-12-22,445,318,285
2020-12-23,448,304,291
2020-12-24,447,318,276
2020-12-25,442,298,287
2020-12-26,449,288,288
2020-12-27,459,286,285
2020-12-28,445,285,311
2020-12-29,437,319,286
2020-12-30,424,314,297
2020-12-31,424,309,302
2021-01-01,421,303,308
2021-01-02,421,302,307
2021-01-03,428,308,296
2021-01-04,434,337,268
2021-01-05,443,334,265
2021-01-06,438,346,261
2021-01-07,420,367,248
2021-01-08,408,375,257
2021-01-09,396,335,307
2021-01-10,394,319,325
2021-01-11,400,337,300
2021-01-12,380,369,299
2021-01-13,374,409,262
2021-01-14,379,403,251
2021-01-15,372,423,231
2021-01-16,364,381,281
2021-01-17,359,381,286
2021-01-18,346,395,273
2021-01-19,340,406,269
2021-01-20,329,433,248
2021-01-21,320,425,263
2021-01-22,331,416,254
2021-01-23,315,409,275
2021-01-24,308,412,279
2021-01-25,298,430,270
2021-01-26,290,439,265
2021-01-27,283,454,259
2021-01-28,286,449,255
2021-01-29,294,431,263
2021-01-30,271,421,288
2021-01-31,280,404,292
2021-02-01,284,419,279
2021-02-02,268,432,285
2021-02-03,264,445,272
2021-02-04,260,454,268
2021-02-05,257,459,265
2021-02-06,249,458,276
2021-02-07,247,437,295
2021-02-08,253,442,285
2021-02-09,250,453,274
2021-02-10,248,467,262
2021-02-11,241,445,292
2021-02-12,233,457,291
2021-02-13,223,459,302
2021-02-14,220,452,313
2021-02-15,229,440,307
2021-02-16,216,473,284
2021-02-17,208,477,293
2021-02-18,209,464,301
2021-02-19,205,467,303
2021-02-20,196,445,330
2021-02-21,198,465,308
2021-02-22,195,438,334
2021-02-23,188,453,345
2021-02-24,191,463,331
2021-02-25,194,478,313
2021-02-26,184,485,310
2021-02-27,178,469,327
2021-02-28,179,451,342
2021-03-01,173,498,300
2021-03-02,184,484,295
2021-03-03,172,514,277
2021-03-04,174,525,255
2021-03-05,169,485,300
2021-03-06,169,467,316
2021-03-07,175,438,334
2021-03-08,178,474,305
2021-03-09,171,492,301
2021-03-10,174,489,304
2021-03-11,166,501,290
2021-03-12,155,514,286
2021-03-13,174,497,283
2021-03-14,167,467,318
2021-03-15,172,480,301
2021-03-16,167,476,304
2021-03-17,159,506,276
2021-03-18,158,508,276
2021-03-19,162,507,275
2021-03-20,167,482,285
2021-03-21,172,448,316
2021-03-22,162,468,298
2021-03-23,168,460,300
2021-03-24,167,500,262
2021-03-25,164,496,273
2021-03-26,160,494,276
2021-03-27,166,461,300
2021-03-28,165,438,325
2021-03-29,163,458,318
2021-03-30,171,495,271
2021-03-31,165,494,275
2021-04-01,162,473,300
2021-04-02,164,440,325
2021-04-03,177,426,326
2021-04-04,178,397,353
2021-04-05,185,417,315
2021-04-06,182,436,313
2021-04-07,194,442,287
2021-04-08,191,451,266
2021-04-09,196,426,286
2021-04-10,199,415,287
2021-04-11,201,391,312
2021-04-12,203,410,283
2021-04-13,216,418,268
2021-04-14,221,431,259
2021-04-15,233,425,254
2021-04-16,244,423,245
2021-04-17,252,399,256
2021-04-18,248,376,282
2021-04-19,247,424,241
2021-04-20,243,444,233
2021-04-21,241,455,213
2021-04-22,240,442,226
2021-04-23,246,432,229
2021-04-24,246,410,246
2021-04-25,246,390,264
2021-04-26,249,431,232
2021-04-27,250,432,226
2021-04-28,255,405,245
2021-04-29,253,430,222
2021-04-30,252,424,230
2021-05-01,246,418,234
2021-05-02,237,394,265
2021-05-03,237,394,265
2021-05-04,219,458,218
2021-05-05,227,457,215
2021-05-06,214,468,224
2021-05-07,213,440,243
2021-05-08,209,436,253
2021-05-09,203,436,256
2021-05-10,205,437,262
2021-05-11,191,451,260
2021-05-12,192,465,242
2021-05-13,186,413,285
2021-05-14,195,423,268
2021-05-15,203,424,252
2021-05-16,199,404,275
2021-05-17,186,422,284
2021-05-18,181,478,234
2021-05-19,178,488,229
2021-05-20,163,489,236
2021-05-21,165,477,243
2021-05-22,158,454,262
2021-05-23,159,434,280
2021-05-24,156,445,272
2021-05-25,146,481,258
2021-05-26,139,478,259
2021-05-27,143,500,234
2021-05-28,138,510,235
2021-05-29,137,482,255
2021-05-30,132,470,271
2021-05-31,134,459,282
2021-06-01,130,500,248
2021-06-02,127,505,252
2021-06-03,128,521,229
2021-06-04,124,503,259
2021-06-05,123,488,271
2021-06-06,123,468,290
2021-06-07,111,470,299
2021-06-08,105,506,274
2021-06-09,103,522,260
2021-06-10,100,533,253
