day,covid19,noncovid19,free
2020-03-30,929,4769,8126
2020-03-31,1011,4996,8531
2020-04-01,1170,5606,9572
2020-04-02,1201,6160,9943
2020-04-03,1173,6216,10578
2020-04-04,1188,6150,10617
2020-04-05,1150,6183,10396
2020-04-06,1153,6487,10994
2020-04-07,1149,7129,11289
2020-04-08,1109,7413,12377
2020-04-09,1080,8361,11549
2020-04-10,971,7349,12694
2020-04-11,943,7643,12409
2020-04-12,913,7615,12450
2020-04-13,913,7332,12799
2020-04-14,920,7682,12565
2020-04-15,896,7873,12345
2020-04-16,784,8144,12315
2020-04-17,750,8764,11682
2020-04-18,736,8532,11884
2020-04-19,734,8489,11890
2020-04-20,751,8860,11486
2020-04-21,704,9228,11026
2020-04-22,635,9223,10970
2020-04-23,612,9385,10863
2020-04-24,577,9174,11212
2020-04-25,564,9078,11365
2020-04-26,565,9071,11380
2020-04-27,569,9958,10595
2020-04-28,563,10752,10178
2020-04-29,523,11367,9659
2020-04-30,477,11463,9574
2020-05-01,396,11070,10007
2020-05-02,376,10446,10631
2020-05-03,372,10247,10745
2020-05-04,385,10735,10266
2020-05-05,375,11580,9599
2020-05-06,337,12008,9174
2020-05-07,305,12106,9102
2020-05-08,278,11891,9302
2020-05-09,273,11367,9839
2020-05-10,262,10901,10292
2020-05-11,272,11473,9691
2020-05-12,268,12337,8916
2020-05-13,251,12778,8524
2020-05-14,225,13032,8314
2020-05-15,190,12811,8557
2020-05-16,172,11950,9332
2020-05-17,175,11680,9573
2020-05-18,176,11766,9092
2020-05-19,163,12235,8493
2020-05-20,148,12258,8407
2020-05-21,129,11698,8896
2020-05-22,135,11446,9216
2020-05-23,122,11095,9582
2020-05-24,123,10828,9864
2020-05-25,122,11507,9436
2020-05-26,120,12147,8729
2020-05-27,118,12756,8355
2020-05-28,105,13066,8277
2020-05-29,107,12829,8460
2020-05-30,107,12567,8687
2020-05-31,103,12333,8911
2020-06-01,91,11575,9352
2020-06-02,87,11709,9285
2020-06-03,80,11950,9081
2020-06-04,77,13058,7594
2020-06-05,83,12709,7809
2020-06-06,83,12369,8144
2020-06-07,82,12264,8255
2020-06-08,72,12156,8330
2020-06-09,61,12190,8268
2020-06-10,59,12457,8005
2020-06-11,56,12722,7351
2020-06-12,49,12854,7226
2020-06-13,49,12770,7300
2020-06-14,48,12725,7345
2020-06-15,64,12320,7535
2020-06-16,63,12261,7602
2020-06-17,62,12345,7532
2020-06-18,51,12987,7173
2020-06-19,47,13094,7016
2020-06-20,47,12908,7190
2020-06-21,47,12876,7202
2020-06-22,58,12646,7664
2020-06-23,60,12621,7684
2020-06-24,52,12785,7630
2020-06-25,49,13378,7087
2020-06-26,53,13303,7001
2020-06-27,54,13162,7129
2020-06-28,54,13137,7134
2020-06-29,66,12811,7499
2020-06-30,63,12883,7594
2020-07-01,62,12942,7562
2020-07-02,48,13424,7169
2020-07-03,52,13188,7216
2020-07-04,52,13158,7233
2020-07-05,52,13136,7251
2020-07-06,54,12680,7859
2020-07-07,53,12888,7729
2020-07-08,53,12788,7648
2020-07-09,63,12861,7147
2020-07-10,53,13034,7142
2020-07-11,52,12975,7176
2020-07-12,52,12977,7185
2020-07-13,62,11598,8664
2020-07-14,68,11961,8358
2020-07-15,78,12936,7424
2020-07-16,73,12808,7477
2020-07-17,75,12750,7627
2020-07-18,75,12630,7637
2020-07-19,76,12593,7658
2020-07-20,80,12268,8201
2020-07-21,101,12774,7663
2020-07-22,76,12636,7703
2020-07-23,80,12650,7713
2020-07-24,80,12418,7801
2020-07-25,79,12226,7980
2020-07-26,80,12185,8007
2020-07-27,84,11838,8212
2020-07-28,78,12164,7908
2020-07-29,93,12344,7801
2020-07-30,102,12469,7810
2020-07-31,107,12102,8164
2020-08-01,106,12102,8197
2020-08-02,106,12104,8195
2020-08-03,100,11791,8573
2020-08-04,101,12108,8357
2020-08-05,95,12535,7934
2020-08-06,91,12831,7867
2020-08-07,87,12360,8084
2020-08-08,84,12195,8050
2020-08-09,84,11931,8022
2020-08-10,82,11834,8201
2020-08-11,91,12176,7890
2020-08-12,101,12637,7247
2020-08-13,100,12912,7453
2020-08-14,92,12803,7559
2020-08-15,90,12589,7752
2020-08-16,90,12524,7809
2020-08-17,99,11936,8312
2020-08-18,98,12531,7691
2020-08-19,90,13067,7254
2020-08-20,76,13093,7125
2020-08-21,83,12995,7267
2020-08-22,83,12961,7286
