day,covid19,noncovid19,free
2020-03-30,20,0,10
2020-03-31,20,4,14
2020-04-01,23,4,11
2020-04-02,23,3,12
2020-04-03,21,8,9
2020-04-04,21,12,5
2020-04-05,20,9,9
2020-04-06,19,8,11
2020-04-07,22,9,7
2020-04-08,22,7,9
2020-04-09,20,7,11
2020-04-10,19,8,11
2020-04-11,20,2,16
2020-04-12,19,2,17
2020-04-13,17,5,16
2020-04-14,14,3,21
2020-04-15,16,5,9
2020-04-16,15,7,8
2020-04-17,13,11,6
2020-04-18,11,11,8
2020-04-19,12,8,10
2020-04-20,11,9,10
2020-04-21,8,10,12
2020-04-22,5,10,15
2020-04-23,5,13,6
2020-04-24,8,11,5
2020-04-25,7,10,7
2020-04-26,5,11,8
2020-04-27,5,11,8
2020-04-28,5,15,4
2020-04-29,5,15,4
2020-04-30,6,13,5
2020-05-01,5,13,6
2020-05-02,5,13,6
2020-05-03,4,10,10
2020-05-04,4,10,10
2020-05-05,3,18,3
2020-05-06,3,18,3
2020-05-07,5,11,8
2020-05-08,5,11,8
2020-05-09,5,11,8
2020-05-10,4,15,5
2020-05-11,4,15,5
2020-05-12,6,13,5
2020-05-13,6,13,5
2020-05-14,5,13,6
2020-05-15,5,13,6
2020-05-16,5,13,6
2020-05-17,4,8,12
2020-05-18,4,8,12
2020-05-19,4,15,5
2020-05-20,4,15,5
2020-05-21,3,14,7
2020-05-22,3,14,7
2020-05-23,3,14,7
2020-05-24,3,13,8
2020-05-25,3,13,8
2020-05-26,3,13,8
2020-05-27,3,13,8
2020-05-28,3,21,0
2020-05-29,3,21,0
2020-05-30,3,21,0
2020-05-31,3,13,8
2020-06-01,3,13,8
2020-06-02,3,13,8
2020-06-03,3,14,7
2020-06-04,3,14,7
2020-06-05,2,13,9
2020-06-06,2,13,9
2020-06-07,2,18,4
2020-06-08,2,18,4
2020-06-09,1,16,7
2020-06-10,1,16,7
2020-06-11,1,14,9
2020-06-12,1,14,9
2020-06-13,1,14,9
2020-06-14,1,14,9
2020-06-15,1,12,11
2020-06-16,1,12,11
2020-06-17,1,14,9
2020-06-18,0,16,8
2020-06-19,0,16,8
2020-06-20,0,16,8
2020-06-21,0,16,8
2020-06-22,0,19,5
2020-06-23,0,19,5
2020-06-24,0,19,5
2020-06-25,0,13,11
2020-06-26,0,13,11
2020-06-27,0,13,11
2020-06-28,0,13,11
2020-06-29,0,19,5
2020-06-30,0,19,5
2020-07-01,0,19,5
2020-07-02,0,19,5
2020-07-03,1,19,4
2020-07-04,1,19,4
2020-07-05,1,19,4
2020-07-06,1,15,8
2020-07-07,1,15,8
2020-07-08,1,15,8
2020-07-09,1,20,3
2020-07-10,1,20,3
2020-07-11,1,20,3
2020-07-12,1,20,3
2020-07-13,1,10,13
2020-07-14,1,10,13
2020-07-15,1,10,13
2020-07-16,1,22,1
2020-07-17,1,22,1
2020-07-18,1,22,1
2020-07-19,1,22,1
2020-07-20,1,15,8
2020-07-21,1,15,8
2020-07-22,1,15,8
2020-07-23,1,17,6
2020-07-24,1,17,6
2020-07-25,1,17,6
2020-07-26,1,17,6
2020-07-27,1,18,5
2020-07-28,1,18,5
2020-07-29,1,18,5
2020-07-30,1,13,10
2020-07-31,1,13,10
2020-08-01,1,13,10
2020-08-02,1,13,10
2020-08-03,1,15,8
2020-08-04,1,15,8
2020-08-05,1,15,8
2020-08-06,1,11,12
2020-08-07,1,11,12
2020-08-08,1,11,12
2020-08-09,1,11,12
2020-08-10,1,9,14
2020-08-11,1,9,14
2020-08-12,1,9,14
2020-08-13,1,17,6
2020-08-14,1,17,6
2020-08-15,1,17,6
2020-08-16,1,17,6
2020-08-17,1,13,10
2020-08-18,1,13,10
2020-08-19,1,13,10
2020-08-20,1,18,5
2020-08-21,1,18,5
2020-08-22,1,18,5
2020-08-23,1,18,5
2020-08-24,1,15,8
2020-08-25,1,15,8
2020-08-26,1,15,8
2020-08-27,0,10,14
2020-08-28,0,9,15
2020-08-29,0,9,15
2020-08-30,0,9,15
2020-08-31,1,12,11
2020-09-01,0,11,13
2020-09-02,0,11,13
2020-09-03,1,17,4
2020-09-04,1,19,2
2020-09-05,1,15,6
2020-09-06,1,15,6
2020-09-07,1,15,6
2020-09-08,1,15,6
2020-09-09,1,15,6
2020-09-10,0,21,1
2020-09-11,2,15,5
2020-09-12,2,15,5
2020-09-13,2,15,5
2020-09-14,2,16,4
2020-09-15,2,16,4
2020-09-16,1,17,4
2020-09-17,1,19,2
2020-09-18,1,19,2
2020-09-19,1,19,2
2020-09-20,1,19,2
2020-09-21,1,19,2
2020-09-22,3,18,1
2020-09-23,3,18,1
2020-09-24,3,18,1
2020-09-25,3,17,4
2020-09-26,3,17,4
2020-09-27,3,17,4
2020-09-28,3,17,4
2020-09-29,3,17,4
2020-09-30,3,17,4
2020-10-01,2,10,12
2020-10-02,2,10,12
2020-10-03,2,10,12
2020-10-04,2,10,12
2020-10-05,1,12,11
2020-10-06,1,12,11
2020-10-07,1,16,7
2020-10-08,1,16,7
2020-10-09,1,16,7
2020-10-10,1,16,7
2020-10-11,1,16,7
2020-10-12,1,14,9
2020-10-13,1,14,9
2020-10-14,1,14,9
2020-10-15,3,18,3
2020-10-16,3,18,3
2020-10-17,5,17,2
2020-10-18,5,17,2
2020-10-19,5,13,6
2020-10-20,5,11,8
2020-10-21,4,11,9
2020-10-22,6,13,5
2020-10-23,8,13,3
2020-10-24,10,12,2
2020-10-25,10,8,6
2020-10-26,11,8,5
2020-10-27,13,6,5
2020-10-28,12,5,7
2020-10-29,16,4,4
2020-10-30,18,3,3
2020-10-31,19,4,1
2020-11-01,18,2,4
2020-11-02,19,1,4
2020-11-03,18,1,5
2020-11-04,20,1,3
2020-11-05,22,2,2
2020-11-06,23,1,3
2020-11-07,23,1,3
2020-11-08,23,0,4
2020-11-09,22,1,6
2020-11-10,24,2,3
2020-11-11,24,3,2
2020-11-12,20,3,6
2020-11-13,21,3,5
2020-11-14,21,6,2
2020-11-15,22,2,5
2020-11-16,20,4,5
2020-11-17,25,2,2
2020-11-18,26,2,1
2020-11-19,24,3,2
2020-11-20,23,3,3
2020-11-21,23,3,3
2020-11-22,23,3,3
2020-11-23,22,5,2
2020-11-24,21,6,2
2020-11-25,16,5,8
2020-11-26,20,6,3
2020-11-27,20,8,1
2020-11-28,20,7,2
2020-11-29,20,8,1
2020-11-30,17,8,4
2020-12-01,17,8,4
2020-12-02,17,7,5
2020-12-03,16,11,2
2020-12-04,15,11,3
2020-12-05,15,9,5
2020-12-06,15,12,2
2020-12-07,19,8,0
2020-12-08,15,8,4
2020-12-09,14,9,4
2020-12-10,15,11,1
2020-12-11,15,3,8
2020-12-12,16,6,4
2020-12-13,16,4,6
2020-12-14,15,8,3
2020-12-15,9,13,2
2020-12-16,16,8,0
2020-12-17,13,11,0
2020-12-18,9,10,5
2020-12-19,10,10,4
2020-12-20,12,12,0
2020-12-21,12,8,4
2020-12-22,12,11,1
2020-12-23,10,7,7
2020-12-24,12,5,7
2020-12-25,10,7,7
2020-12-26,11,9,4
2020-12-27,10,11,3
2020-12-28,9,5,10
2020-12-29,10,9,5
2020-12-30,9,8,7
2020-12-31,11,5,8
2021-01-01,11,6,7
2021-01-02,10,5,9
2021-01-03,10,8,6
2021-01-04,11,8,5
2021-01-05,11,6,7
2021-01-06,11,9,4
2021-01-07,10,8,3
2021-01-08,10,11,3
2021-01-09,10,9,5
2021-01-10,5,6,13
2021-01-11,8,5,11
2021-01-12,9,8,7
2021-01-13,7,7,10
2021-01-14,4,12,8
2021-01-15,9,11,4
2021-01-16,9,5,10
2021-01-17,7,5,12
2021-01-18,8,5,11
2021-01-19,6,10,8
2021-01-20,6,7,11
2021-01-21,6,13,5
2021-01-22,6,13,5
