day,covid19,noncovid19,free
2020-03-30,57,246,267
2020-03-31,53,250,267
2020-04-01,58,242,270
2020-04-02,57,294,219
2020-04-03,56,238,276
2020-04-04,68,236,273
2020-04-05,67,260,250
2020-04-06,68,252,257
2020-04-07,56,302,219
2020-04-08,58,284,235
2020-04-09,57,297,223
2020-04-10,48,276,253
2020-04-11,45,275,257
2020-04-12,46,265,246
2020-04-13,51,276,230
2020-04-14,54,286,217
2020-04-15,45,292,228
2020-04-16,45,276,244
2020-04-17,53,301,146
2020-04-18,53,281,166
2020-04-19,49,286,165
2020-04-20,51,311,138
2020-04-21,52,311,137
2020-04-22,52,301,147
2020-04-23,52,307,141
2020-04-24,47,311,142
2020-04-25,47,281,172
2020-04-26,49,274,177
2020-04-27,50,307,143
2020-04-28,44,325,131
2020-04-29,44,325,131
2020-04-30,40,336,124
2020-05-01,38,339,123
2020-05-02,38,339,123
2020-05-03,31,431,22
2020-05-04,31,431,22
2020-05-05,32,332,120
2020-05-06,32,332,120
2020-05-07,25,368,91
2020-05-08,25,368,91
2020-05-09,25,368,91
2020-05-10,22,358,102
2020-05-11,22,358,102
2020-05-12,20,365,97
2020-05-13,20,365,97
2020-05-14,15,346,121
2020-05-15,15,346,121
2020-05-16,15,346,121
2020-05-17,12,350,120
2020-05-18,12,350,120
2020-05-19,11,360,111
2020-05-20,11,360,111
2020-05-21,8,377,97
2020-05-22,8,377,97
2020-05-23,8,377,97
2020-05-24,6,382,94
2020-05-25,6,382,94
2020-05-26,6,382,94
2020-05-27,6,382,94
2020-05-28,4,416,62
2020-05-29,4,416,62
2020-05-30,4,416,62
2020-05-31,2,380,100
2020-06-01,2,380,100
2020-06-02,2,380,100
2020-06-03,2,406,74
2020-06-04,2,406,74
2020-06-05,3,405,74
2020-06-06,3,405,74
2020-06-07,3,393,86
2020-06-08,3,393,86
2020-06-09,3,417,57
2020-06-10,3,417,57
2020-06-11,2,390,85
2020-06-12,2,390,85
2020-06-13,2,390,85
2020-06-14,2,390,85
2020-06-15,2,404,71
2020-06-16,2,404,71
2020-06-17,2,439,44
2020-06-18,2,468,15
2020-06-19,2,468,15
2020-06-20,2,468,15
2020-06-21,2,468,15
2020-06-22,3,471,11
2020-06-23,3,471,11
2020-06-24,3,471,11
2020-06-25,2,433,50
2020-06-26,2,433,50
2020-06-27,2,433,50
2020-06-28,2,433,50
2020-06-29,4,414,67
2020-06-30,4,414,67
2020-07-01,4,414,67
2020-07-02,4,414,67
2020-07-03,3,413,59
2020-07-04,3,413,59
2020-07-05,3,413,59
2020-07-06,3,400,72
2020-07-07,3,400,72
2020-07-08,3,400,72
2020-07-09,3,422,50
2020-07-10,3,422,50
2020-07-11,3,422,50
2020-07-12,3,422,50
2020-07-13,0,400,75
2020-07-14,0,400,75
2020-07-15,0,400,75
2020-07-16,1,390,84
2020-07-17,1,390,84
2020-07-18,1,390,84
2020-07-19,1,390,84
2020-07-20,2,410,63
2020-07-21,2,410,63
2020-07-22,2,410,63
2020-07-23,1,403,72
2020-07-24,1,403,72
2020-07-25,1,403,72
2020-07-26,1,403,72
2020-07-27,0,409,67
2020-07-28,0,409,67
2020-07-29,0,409,67
2020-07-30,1,395,80
2020-07-31,1,395,80
2020-08-01,1,395,80
2020-08-02,1,395,80
2020-08-03,0,420,56
2020-08-04,0,420,56
2020-08-05,0,420,56
2020-08-06,0,426,50
2020-08-07,0,426,50
2020-08-08,0,426,50
2020-08-09,0,426,50
2020-08-10,1,434,41
2020-08-11,1,434,41
2020-08-12,1,434,41
2020-08-13,1,411,64
2020-08-14,1,411,64
2020-08-15,1,411,64
2020-08-16,1,411,64
2020-08-17,2,422,52
2020-08-18,2,422,52
2020-08-19,2,422,52
2020-08-20,1,441,34
2020-08-21,1,441,34
2020-08-22,1,441,34
2020-08-23,1,441,34
2020-08-24,1,418,57
2020-08-25,1,418,57
2020-08-26,1,418,57
2020-08-27,2,424,50
2020-08-28,2,425,49
2020-08-29,2,425,49
2020-08-30,2,425,49
2020-08-31,0,405,71
2020-09-01,1,406,69
2020-09-02,1,406,69
2020-09-03,4,423,51
2020-09-04,4,421,53
2020-09-05,4,425,49
2020-09-06,4,425,49
2020-09-07,4,438,36
2020-09-08,4,438,36
2020-09-09,4,438,36
2020-09-10,5,432,41
2020-09-11,16,418,44
2020-09-12,16,418,44
2020-09-13,16,418,44
2020-09-14,16,417,45
2020-09-15,16,417,45
2020-09-16,17,441,20
2020-09-17,17,436,25
2020-09-18,17,436,25
2020-09-19,17,436,25
2020-09-20,17,436,25
2020-09-21,17,436,25
2020-09-22,6,458,14
2020-09-23,6,458,14
2020-09-24,6,458,14
2020-09-25,6,440,30
2020-09-26,6,440,30
2020-09-27,6,440,30
2020-09-28,8,446,22
2020-09-29,8,446,22
2020-09-30,8,446,22
2020-10-01,7,457,12
2020-10-02,7,457,12
2020-10-03,7,457,12
2020-10-04,7,457,12
2020-10-05,9,432,35
2020-10-06,9,432,35
2020-10-07,10,444,43
2020-10-08,10,444,43
2020-10-09,10,444,43
2020-10-10,10,444,43
2020-10-11,10,444,43
2020-10-12,12,446,39
2020-10-13,12,446,39
2020-10-14,12,446,39
2020-10-15,21,444,32
2020-10-16,21,444,32
2020-10-17,19,445,33
2020-10-18,19,445,33
2020-10-19,19,430,48
2020-10-20,38,420,43
2020-10-21,39,420,42
2020-10-22,37,418,46
2020-10-23,53,400,48
2020-10-24,51,401,49
2020-10-25,51,405,45
2020-10-26,50,405,46
2020-10-27,48,407,46
2020-10-28,49,408,44
2020-10-29,45,409,47
