day,covid19,noncovid19,free
2020-03-30,61,8,41
2020-03-31,66,6,35
2020-04-01,62,16,43
2020-04-02,64,14,46
2020-04-03,65,13,46
2020-04-04,58,15,51
2020-04-05,57,13,54
2020-04-06,53,17,54
2020-04-07,50,13,61
2020-04-08,50,17,57
2020-04-09,50,18,56
2020-04-10,49,17,58
2020-04-11,48,16,60
2020-04-12,46,15,63
2020-04-13,48,17,59
2020-04-14,45,19,60
2020-04-15,41,15,68
2020-04-16,41,15,68
2020-04-17,36,13,75
2020-04-18,34,15,75
2020-04-19,33,13,78
2020-04-20,32,14,78
2020-04-21,30,15,79
2020-04-22,31,18,75
2020-04-23,27,15,82
2020-04-24,26,14,84
2020-04-25,27,17,58
2020-04-26,24,20,58
2020-04-27,24,23,55
2020-04-28,23,22,27
2020-04-29,20,26,26
2020-04-30,18,26,28
2020-05-01,17,27,28
2020-05-02,17,25,30
2020-05-03,16,23,33
2020-05-04,16,27,29
2020-05-05,15,26,21
2020-05-06,14,25,23
2020-05-07,13,23,26
2020-05-08,9,26,21
2020-05-09,8,27,21
2020-05-10,7,22,27
2020-05-11,6,22,26
2020-05-12,5,22,27
2020-05-13,5,26,23
2020-05-14,5,23,26
2020-05-15,5,20,25
2020-05-16,5,19,20
2020-05-17,3,21,20
2020-05-18,3,18,23
2020-05-19,3,22,19
2020-05-20,0,21,23
2020-05-21,0,18,26
2020-05-22,0,20,24
2020-05-23,0,17,27
2020-05-24,0,19,25
2020-05-25,0,17,27
2020-05-26,0,22,22
2020-05-27,0,31,11
2020-05-28,0,31,11
2020-05-29,0,27,15
2020-05-30,1,27,14
2020-05-31,1,27,14
2020-06-01,1,26,15
2020-06-02,1,26,15
2020-06-03,1,26,15
2020-06-04,1,30,11
2020-06-05,1,30,11
2020-06-06,1,30,11
2020-06-07,1,30,11
2020-06-08,1,32,9
2020-06-09,1,32,9
2020-06-10,1,32,9
2020-06-11,1,27,14
2020-06-12,1,27,14
2020-06-13,1,27,14
2020-06-14,1,27,14
2020-06-15,0,19,23
2020-06-16,0,19,23
2020-06-17,0,19,23
2020-06-18,0,15,27
2020-06-19,0,15,27
2020-06-20,0,15,27
2020-06-21,0,15,27
2020-06-22,1,13,26
2020-06-23,1,13,26
2020-06-24,1,13,26
2020-06-25,2,29,9
2020-06-26,2,29,9
2020-06-27,2,29,9
2020-06-28,2,29,9
2020-06-29,1,26,13
2020-06-30,1,26,13
2020-07-01,1,26,13
2020-07-02,1,32,7
2020-07-03,1,32,7
2020-07-04,1,32,7
2020-07-05,1,32,7
2020-07-06,2,26,12
2020-07-07,2,26,12
2020-07-08,2,26,12
2020-07-09,2,23,15
2020-07-10,2,24,14
2020-07-11,2,24,14
2020-07-12,2,24,14
2020-07-13,2,18,20
2020-07-14,1,21,18
2020-07-15,1,23,16
2020-07-16,1,26,13
2020-07-17,1,26,13
2020-07-18,1,26,13
2020-07-19,1,26,13
2020-07-20,1,21,18
2020-07-21,0,25,15
2020-07-22,0,29,11
2020-07-23,1,34,5
2020-07-24,1,33,6
2020-07-25,1,33,6
2020-07-26,1,33,6
2020-07-27,1,27,12
2020-07-28,1,28,11
2020-07-29,2,27,11
2020-07-30,1,26,13
2020-07-31,1,27,12
2020-08-01,1,27,12
2020-08-02,1,27,12
2020-08-03,1,30,9
2020-08-04,1,31,8
2020-08-05,2,27,11
2020-08-06,2,23,15
2020-08-07,2,21,17
2020-08-08,2,21,17
2020-08-09,2,21,17
2020-08-10,2,16,22
2020-08-11,2,15,23
2020-08-12,2,18,20
2020-08-13,2,22,16
2020-08-14,2,21,17
2020-08-15,2,21,17
