day,covid19,noncovid19,free
2020-03-30,20,1,2354
2020-03-31,21,0,2357
2020-04-01,19,15,2501
2020-04-02,29,16,2487
2020-04-03,24,16,2492
2020-04-04,22,19,2491
2020-04-05,24,22,2486
2020-04-06,24,23,2485
2020-04-07,21,23,2488
2020-04-08,26,22,2484
2020-04-09,24,19,2489
2020-04-10,25,18,2489
2020-04-11,22,84,2612
2020-04-12,19,93,2606
2020-04-13,18,93,2607
2020-04-14,23,95,2600
2020-04-15,25,117,2576
2020-04-16,24,123,2571
2020-04-17,18,112,2588
2020-04-18,18,99,2601
2020-04-19,18,98,2602
2020-04-20,21,96,2601
2020-04-21,18,98,2602
2020-04-22,19,133,2566
2020-04-23,19,143,2556
2020-04-24,16,105,2597
2020-04-25,16,109,2615
2020-04-26,7,119,2614
2020-04-27,7,146,2587
2020-04-28,13,124,2633
2020-04-29,17,118,2635
2020-04-30,18,118,2634
2020-05-01,14,181,2575
2020-05-02,14,194,2562
2020-05-03,15,197,2558
2020-05-04,4,210,2556
2020-05-05,2,197,2581
2020-05-06,3,202,2575
2020-05-07,3,206,2571
2020-05-08,4,206,2576
2020-05-09,3,157,2626
2020-05-10,4,127,2655
2020-05-11,3,159,2626
2020-05-12,3,155,2630
2020-05-13,4,149,2635
2020-05-14,5,155,2628
2020-05-15,5,153,2634
2020-05-16,1,155,2642
2020-05-17,1,158,2639
2020-05-18,6,39,2567
2020-05-19,2,40,2570
2020-05-20,3,37,2572
2020-05-21,2,27,2583
2020-05-22,4,36,2572
2020-05-23,4,33,2575
2020-05-24,4,33,2575
2020-05-25,4,35,2573
2020-05-26,3,30,2579
2020-05-27,3,37,2574
2020-05-28,1,35,2578
2020-05-29,3,28,2583
2020-05-30,4,27,2583
2020-05-31,4,27,2583
2020-06-01,4,29,2581
2020-06-02,4,29,2581
2020-06-03,4,29,2581
2020-06-04,2,39,2573
2020-06-05,2,39,2573
2020-06-06,2,39,2573
2020-06-07,2,39,2573
2020-06-08,2,39,2573
2020-06-09,2,39,2573
2020-06-10,2,39,2573
2020-06-11,3,35,2576
2020-06-12,3,35,2576
2020-06-13,3,35,2576
2020-06-14,3,35,2576
2020-06-15,1,30,2583
2020-06-16,1,30,2583
2020-06-17,1,30,2583
2020-06-18,0,20,2594
2020-06-19,0,20,2594
2020-06-20,0,20,2594
2020-06-21,0,20,2594
2020-06-22,1,16,2599
2020-06-23,1,16,2599
2020-06-24,1,16,2599
2020-06-25,1,47,2568
2020-06-26,1,47,2568
2020-06-27,1,47,2568
2020-06-28,1,47,2568
2020-06-29,1,39,2576
2020-06-30,1,39,2576
2020-07-01,1,39,2576
2020-07-02,1,38,2577
2020-07-03,1,38,2577
2020-07-04,1,38,2577
2020-07-05,1,38,2577
2020-07-06,0,39,2577
2020-07-07,0,39,2577
2020-07-08,0,39,2577
2020-07-09,0,33,2583
2020-07-10,0,32,2584
2020-07-11,0,32,2584
2020-07-12,0,32,2584
2020-07-13,0,37,2579
2020-07-14,1,40,2575
2020-07-15,1,40,2575
2020-07-16,1,30,2585
2020-07-17,1,25,2590
2020-07-18,1,25,2590
2020-07-19,1,25,2590
2020-07-20,1,32,2583
2020-07-21,1,38,2577
2020-07-22,1,35,2580
2020-07-23,1,40,2575
2020-07-24,1,44,2571
2020-07-25,1,44,2571
2020-07-26,1,44,2571
2020-07-27,2,35,2579
2020-07-28,2,31,2583
2020-07-29,2,35,2579
2020-07-30,2,35,2579
2020-07-31,3,42,2571
2020-08-01,3,42,2571
2020-08-02,3,42,2571
2020-08-03,3,32,2581
2020-08-04,3,31,2582
2020-08-05,3,35,2578
2020-08-06,2,41,2573
2020-08-07,2,40,2574
2020-08-08,2,40,2574
2020-08-09,2,40,2574
2020-08-10,2,36,2578
2020-08-11,1,41,2574
2020-08-12,2,36,2578
2020-08-13,1,41,2574
2020-08-14,1,38,2577
2020-08-15,1,38,2577
2020-08-16,1,38,2577
2020-08-17,2,44,2570
2020-08-18,1,45,2570
2020-08-19,1,42,2573
2020-08-20,0,48,2568
2020-08-21,0,35,2581
2020-08-22,0,35,2581
2020-08-23,0,35,2581
2020-08-24,1,32,2583
2020-08-25,1,40,2575
2020-08-26,1,44,2569
2020-08-27,1,36,2579
2020-08-28,0,32,2584
2020-08-29,0,32,2584
2020-08-30,0,32,2584
2020-08-31,0,46,2570
2020-09-01,0,27,2589
2020-09-02,0,32,2584
2020-09-03,0,36,2580
2020-09-04,0,42,2574
2020-09-05,0,42,2574
2020-09-06,0,42,2574
2020-09-07,0,26,2590
2020-09-08,1,47,2568
2020-09-09,1,42,2573
2020-09-10,1,42,2573
2020-09-11,4,30,2582
2020-09-12,4,30,2582
2020-09-13,4,30,2582
2020-09-14,2,40,2574
2020-09-15,4,41,2571
2020-09-16,3,41,2576
2020-09-17,6,37,2577
2020-09-18,4,36,2584
2020-09-19,4,36,2584
2020-09-20,4,36,2584
2020-09-21,2,38,2579
2020-09-22,5,40,2571
2020-09-23,3,40,2575
2020-09-24,4,32,2580
2020-09-25,3,44,2569
2020-09-26,3,44,2569
2020-09-27,3,44,2569
2020-09-28,5,34,2577
2020-09-29,4,38,2574
2020-09-30,4,39,2573
2020-10-01,3,38,2575
2020-10-02,2,44,2570
2020-10-03,2,44,2570
2020-10-04,2,44,2570
2020-10-05,3,38,2575
2020-10-06,3,38,2575
2020-10-07,3,47,2566
2020-10-08,4,39,2573
2020-10-09,4,37,2575
2020-10-10,4,37,2575
2020-10-11,4,37,2575
2020-10-12,4,42,2570
2020-10-13,6,37,2573
2020-10-14,7,37,2572
2020-10-15,9,38,2569
2020-10-16,9,1776,506
2020-10-17,9,1776,506
2020-10-18,9,1776,506
2020-10-19,12,1685,674
2020-10-20,14,1723,647
2020-10-21,14,1700,696
2020-10-22,18,1700,702
2020-10-23,14,1664,705
2020-10-24,22,1599,825
2020-10-25,24,1609,857
2020-10-26,22,1776,876
2020-10-27,24,1983,663
2020-10-28,387,1533,748
2020-10-29,403,1516,810
2020-10-30,430,1524,878
2020-10-31,440,1456,922
2020-11-01,457,1441,1025
2020-11-02,473,1486,999
2020-11-03,488,1459,1007
2020-11-04,513,1404,1047
2020-11-05,519,1373,1081
2020-11-06,516,1363,1135
2020-11-07,537,1338,1157
2020-11-08,689,1122,1224
2020-11-09,586,1300,1149
2020-11-10,579,1324,630
2020-11-11,560,1333,651
2020-11-12,565,1302,624
2020-11-13,560,1271,660
2020-11-14,561,1247,683
2020-11-15,571,1248,673
2020-11-16,548,1284,666
2020-11-17,531,1345,635
2020-11-18,476,1336,672
2020-11-19,445,1352,652
2020-11-20,424,1280,714
2020-11-21,413,1196,791
2020-11-22,409,1214,759
2020-11-23,419,1298,664
2020-11-24,373,1369,640
2020-11-25,349,1402,636
2020-11-26,316,1401,672
2020-11-27,302,1384,655
2020-11-28,299,1349,693
2020-11-29,303,1361,677
2020-11-30,294,1397,648
2020-12-01,279,1459,619
2020-12-02,261,1452,679
2020-12-03,252,1455,656
2020-12-04,218,1484,614
2020-12-05,217,1461,664
2020-12-06,209,1473,660
2020-12-07,195,1544,624
2020-12-08,184,1600,648
2020-12-09,179,1563,680
2020-12-10,169,1526,720
2020-12-11,210,1488,703
2020-12-12,225,1498,657
2020-12-13,232,1401,747
2020-12-14,232,1559,588
2020-12-15,224,1567,592
2020-12-16,201,1561,641
2020-12-17,187,1574,629
2020-12-18,184,1502,733
2020-12-19,188,1460,771
2020-12-20,188,1467,762
2020-12-21,184,1514,693
2020-12-22,185,1480,729
2020-12-23,180,1386,809
2020-12-24,156,1273,946
2020-12-25,162,1236,977
2020-12-26,172,1250,953
2020-12-27,172,1300,903
2020-12-28,163,1342,870
2020-12-29,164,1323,888
2020-12-30,155,1197,853
2020-12-31,156,1154,895
2021-01-01,156,1166,882
2021-01-02,162,1207,835
2021-01-03,173,1232,799
2021-01-04,177,1349,848
2021-01-05,169,1431,774
2021-01-06,169,1449,760
2021-01-07,164,1449,763
2021-01-08,156,1426,794
2021-01-09,153,1411,812
2021-01-10,157,1429,792
2021-01-11,158,1475,745
2021-01-12,150,1500,728
2021-01-13,153,1536,689
2021-01-14,147,1578,708
2021-01-15,148,1523,547
2021-01-16,145,1524,631
2021-01-17,148,1502,650
2021-01-18,144,1518,648
2021-01-19,139,1618,543
2021-01-20,133,1630,527
2021-01-21,136,1660,502
2021-01-22,138,1583,592
2021-01-23,140,1562,657
2021-01-24,149,1565,645
2021-01-25,150,1645,568
2021-01-26,146,1634,569
2021-01-27,145,1647,557
2021-01-28,138,1636,575
2021-01-29,223,1531,678
2021-01-30,126,1575,707
2021-01-31,135,1612,661
2021-02-01,132,1638,639
2021-02-02,124,1714,568
2021-02-03,127,1680,615
2021-02-04,127,1698,587
2021-02-05,120,1674,618
2021-02-06,122,1588,698
2021-02-07,127,1598,683
2021-02-08,127,1605,676
2021-02-09,124,1668,604
2021-02-10,115,1651,631
2021-02-11,112,1655,630
2021-02-12,103,1621,673
2021-02-13,107,1502,817
2021-02-14,116,1530,780
2021-02-15,117,1578,731
2021-02-16,114,1558,768
2021-02-17,115,1566,747
2021-02-18,108,1602,704
2021-02-19,117,1566,731
2021-02-20,100,1581,671
2021-02-21,118,1521,701
2021-02-22,124,1556,660
2021-02-23,113,1558,704
2021-02-24,103,1562,770
2021-02-25,108,1575,729
2021-02-26,93,1467,684
2021-02-27,94,1416,703
2021-02-28,67,1437,682
2021-03-01,66,1487,667
2021-03-02,62,1518,598
2021-03-03,65,1527,583
2021-03-04,65,1592,518
2021-03-05,65,1572,580
2021-03-06,66,1454,697
2021-03-07,66,1473,678
2021-03-08,66,1580,565
2021-03-09,66,1607,541
2021-03-10,66,1709,599
2021-03-11,67,1723,577
2021-03-12,65,1739,556
2021-03-13,73,1674,613
2021-03-14,78,1675,607
2021-03-15,76,1737,547
2021-03-16,82,1707,571
2021-03-17,90,1576,524
2021-03-18,81,1583,526
2021-03-19,81,1487,622
2021-03-20,73,1449,668
2021-03-21,79,1472,639
2021-03-22,74,1545,571
2021-03-23,83,1585,522
2021-03-24,77,1534,579
2021-03-25,85,1519,586
2021-03-26,73,1548,569
2021-03-27,82,1518,590
2021-03-28,85,1515,605
2021-03-29,89,1512,604
2021-03-30,88,1492,651
2021-03-31,81,1489,669
2021-04-01,82,1465,647
2021-04-02,84,1366,744
2021-04-03,96,1346,752
2021-04-04,108,1363,740
2021-04-05,115,1381,718
2021-04-06,115,1465,639
2021-04-07,110,1434,677
2021-04-08,108,1451,652
2021-04-09,103,1441,650
2021-04-10,105,1435,652
2021-04-11,106,1444,642
2021-04-12,100,1485,593
2021-04-13,97,1557,537
2021-04-14,87,1553,585
2021-04-15,79,1603,543
2021-04-16,76,1543,590
2021-04-17,79,1473,614
2021-04-18,86,1510,581
2021-04-19,78,1576,523
2021-04-20,77,1720,557
2021-04-21,75,1735,544
2021-04-22,81,1734,529
2021-04-23,83,1640,637
2021-04-24,88,1619,657
2021-04-25,96,1622,648
2021-04-26,95,1674,597
2021-04-27,92,1755,519
2021-04-28,94,1813,459
2021-04-29,93,1794,479
2021-04-30,93,1645,628
2021-05-01,94,1589,687
2021-05-02,96,1598,676
2021-05-03,96,1598,676
2021-05-04,89,1681,601
2021-05-05,81,1674,611
2021-05-06,86,1665,597
2021-05-07,86,1529,567
2021-05-08,84,1464,634
2021-05-09,82,1473,627
2021-05-10,77,1670,601
2021-05-11,79,1724,535
2021-05-12,72,1752,521
2021-05-13,69,1728,548
2021-05-14,70,1654,616
2021-05-15,52,1616,672
2021-05-16,59,1617,664
2021-05-17,62,1744,534
2021-05-18,66,1769,505
2021-05-19,68,1747,525
2021-05-20,64,1745,545
2021-05-21,62,1739,553
2021-05-22,62,1739,553
2021-05-23,62,1739,553
2021-05-24,63,1738,553
2021-05-25,66,1734,541
2021-05-26,58,1714,567
2021-05-27,48,1768,523
2021-05-28,44,1764,531
2021-05-29,42,1666,630
2021-05-30,44,1645,649
2021-05-31,43,1696,585
2021-06-01,38,1753,562
2021-06-02,34,1772,547
2021-06-03,35,1777,524
2021-06-04,35,1780,521
2021-06-05,35,1789,511
2021-06-06,32,1763,540
2021-06-07,35,1616,519
2021-06-08,37,1671,462
2021-06-09,33,1711,426
2021-06-10,32,1700,428
2021-06-11,24,1669,465
2021-06-12,27,1574,557
2021-06-13,26,1552,576
2021-06-14,26,1761,533
2021-06-15,17,1876,427
2021-06-16,18,1846,456
2021-06-17,18,1901,398
2021-06-18,16,1858,443
2021-06-19,5,1786,526
2021-06-20,4,1749,564
2021-06-21,5,1762,550
2021-06-22,9,1807,501
2021-06-23,11,1854,452
2021-06-24,10,1898,409
2021-06-25,8,1884,430
2021-06-26,10,1813,499
2021-06-27,8,1804,510
2021-06-28,7,1763,552
2021-06-29,5,1846,456
2021-06-30,4,1797,505
2021-07-01,3,1882,407
2021-07-02,4,1866,429
2021-07-03,4,1866,429
2021-07-04,4,1866,429
2021-07-05,3,1766,364
2021-07-06,2,1767,364
2021-07-07,2,1754,377
2021-07-08,3,1751,379
2021-07-09,2,1759,372
2021-07-10,2,1733,398
2021-07-11,2,1735,396
2021-07-12,4,1671,458
2021-07-13,3,1673,457
2021-07-14,4,1673,456
2021-07-15,4,102,2027
2021-07-16,4,105,2024
2021-07-17,4,105,2024
2021-07-18,4,105,2024
2021-07-19,4,106,1946
2021-07-20,5,115,1924
2021-07-21,3,105,1937
2021-07-22,3,111,1931
2021-07-23,3,112,1935
2021-07-24,3,112,1935
2021-07-25,3,112,1935
2021-07-26,4,101,1956
2021-07-27,5,1565,494
2021-07-28,5,1580,479
2021-07-29,5,1566,493
2021-07-30,4,1565,502
2021-07-31,4,1565,502
2021-08-01,4,1565,502
2021-08-02,4,1558,509
2021-08-03,5,1529,529
2021-08-04,4,1546,513
2021-08-05,5,1553,512
2021-08-06,5,1625,610
2021-08-07,5,1625,610
2021-08-08,5,1625,610
2021-08-09,7,1662,567
2021-08-10,7,1666,569
2021-08-11,10,1682,550
2021-08-12,7,1652,590
2021-08-13,6,1614,629
2021-08-14,6,1614,629
2021-08-15,6,1614,629
2021-08-16,7,1661,677
2021-08-17,9,1721,589
2021-08-18,11,1717,588
2021-08-19,10,1700,603
2021-08-20,12,1675,633
2021-08-21,12,1675,632
2021-08-22,12,1675,632
2021-08-23,13,1702,599
2021-08-24,12,1745,524
2021-08-25,9,1760,516
2021-08-26,5,1727,549
2021-08-27,5,1775,500
2021-08-28,6,1776,496
2021-08-29,5,1757,516
2021-08-30,10,1771,509
2021-08-31,11,1768,511
2021-09-01,14,2025,230
2021-09-02,14,2000,251
2021-09-03,14,2032,219
2021-09-04,13,2022,230
2021-09-05,12,1907,361
2021-09-06,16,1941,323
2021-09-07,16,1995,269
2021-09-08,11,1960,319
2021-09-09,13,1900,381
2021-09-10,10,1865,434
2021-09-11,8,1830,472
2021-09-12,8,1836,466
2021-09-13,11,1963,318
2021-09-14,11,1989,287
2021-09-15,9,2050,214
2021-09-16,8,2009,256
2021-09-17,7,1939,314
2021-09-18,6,1879,375
2021-09-19,8,1889,363
2021-09-20,9,1991,260
2021-09-21,10,2030,226
2021-09-22,10,2081,175
2021-09-23,9,2053,212
2021-09-24,10,1976,272
2021-09-25,12,1923,325
2021-09-26,11,1940,309
2021-09-27,10,1940,310
2021-09-28,9,2021,237
2021-09-29,8,2003,250
2021-09-30,9,2012,237
2021-10-01,10,1953,284
2021-10-02,10,1886,351
2021-10-03,12,1906,329
2021-10-04,10,1978,278
2021-10-05,8,2023,235
2021-10-06,9,2065,173
2021-10-07,9,2069,169
2021-10-08,7,2034,206
2021-10-09,7,1989,262
2021-10-10,7,2027,224
2021-10-11,9,2051,198
2021-10-12,5,2107,144
2021-10-13,6,2112,131
2021-10-14,6,2094,149
2021-10-15,4,2084,161
2021-10-16,5,2052,192
2021-10-17,6,2034,209
2021-10-18,8,2026,215
2021-10-19,9,2084,171
2021-10-20,7,2110,133
2021-10-21,9,2093,148
2021-10-22,8,2032,210
2021-10-23,9,1995,246
2021-10-24,11,2003,236
2021-10-25,6,1949,295
2021-10-26,5,1984,275
2021-10-27,7,1949,302
2021-10-28,9,1943,306
2021-10-29,8,1884,366
2021-10-30,11,1857,390
2021-10-31,10,1867,381
2021-11-01,9,1963,294
2021-11-02,8,2001,271
2021-11-03,10,2009,261
2021-11-04,10,2039,231
2021-11-05,12,1997,271
2021-11-06,11,1958,320
2021-11-07,9,1972,308
2021-11-08,7,2008,266
2021-11-09,6,2039,310
2021-11-10,8,2045,286
2021-11-11,8,2044,287
2021-11-12,8,1962,369
2021-11-13,8,1928,402
2021-11-14,12,1925,401
2021-11-15,10,1991,337
2021-11-16,8,2065,268
2021-11-17,9,2085,248
2021-11-18,12,2084,246
2021-11-19,10,2031,301
2021-11-20,11,1985,346
2021-11-21,10,1987,345
2021-11-22,11,2044,287
2021-11-23,45,2058,250
2021-11-24,46,2039,260
2021-11-25,42,2019,284
2021-11-26,44,1984,317
2021-11-27,58,1939,328
2021-11-28,63,1967,325
2021-11-29,66,2006,267
2021-11-30,72,2035,227
