day,covid19,noncovid19,free
2020-03-30,4,-4,87
2020-03-31,3,-3,56
2020-04-01,3,-3,56
2020-04-02,3,-3,56
2020-04-03,3,-3,56
2020-04-04,3,-3,56
2020-04-05,3,-3,56
2020-04-06,0,0,52
2020-04-07,0,0,66
2020-04-08,0,46,6
2020-04-09,0,44,22
2020-04-10,0,36,30
2020-04-11,0,42,24
2020-04-12,0,39,27
2020-04-13,0,38,28
2020-04-14,0,41,25
2020-04-15,0,43,23
2020-04-16,0,46,20
2020-04-17,0,49,17
2020-04-18,0,45,21
2020-04-19,2,47,17
2020-04-20,3,65,-2
2020-04-21,3,53,14
2020-04-22,3,56,15
2020-04-23,3,49,17
2020-04-24,3,42,29
2020-04-25,0,40,34
2020-04-26,3,36,35
2020-04-27,3,50,23
2020-04-28,3,50,23
2020-04-29,2,68,6
2020-04-30,0,56,20
2020-05-01,0,53,23
2020-05-02,0,57,19
2020-05-03,0,53,23
2020-05-04,0,52,24
2020-05-05,0,52,24
2020-05-06,0,71,5
2020-05-07,0,65,11
2020-05-08,0,70,6
2020-05-09,0,54,22
2020-05-10,0,52,24
2020-05-11,0,65,11
2020-05-12,0,73,3
2020-05-13,0,71,5
2020-05-14,0,76,0
2020-05-15,0,75,1
2020-05-16,0,75,1
2020-05-17,0,75,1
2020-05-18,0,73,4
2020-05-19,0,62,15
2020-05-20,0,65,12
2020-05-21,0,65,12
2020-05-22,0,63,18
2020-05-23,0,63,18
2020-05-24,0,63,18
2020-05-25,0,64,17
2020-05-26,0,70,11
2020-05-27,0,67,14
2020-05-28,0,74,7
2020-05-29,0,77,4
2020-05-30,0,77,4
2020-05-31,0,77,4
2020-06-01,0,77,4
2020-06-02,0,77,4
2020-06-03,0,77,4
2020-06-04,0,77,4
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,0,0,0
2020-06-10,0,0,0
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
2020-08-05,0,0,0
2020-08-06,0,0,0
2020-08-07,0,0,0
2020-08-08,0,0,0
2020-08-09,0,0,0
2020-08-10,0,0,0
2020-08-11,0,0,0
2020-08-12,0,0,0
2020-08-13,0,0,0
2020-08-14,0,0,0
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,0,0,0
2020-08-18,0,0,0
2020-08-19,0,0,0
2020-08-20,0,0,0
2020-08-21,0,0,0
2020-08-22,0,0,0
2020-08-23,0,0,0
2020-08-24,0,0,0
2020-08-25,0,0,0
2020-08-26,0,0,0
2020-08-27,0,0,0
2020-08-28,0,0,0
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,0,0,0
2020-09-01,0,0,0
2020-09-02,0,0,0
2020-09-03,0,0,0
2020-09-04,0,0,0
2020-09-05,0,0,0
2020-09-06,0,0,0
2020-09-07,0,0,0
2020-09-08,0,0,0
2020-09-09,0,0,0
2020-09-10,0,0,0
2020-09-11,0,0,0
2020-09-12,0,0,0
2020-09-13,0,0,0
2020-09-14,0,0,0
2020-09-15,0,0,0
2020-09-16,0,0,0
2020-09-17,0,0,0
2020-09-18,0,0,0
2020-09-19,0,0,0
2020-09-20,0,0,0
2020-09-21,0,0,0
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,0,0,0
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,0,0,0
2020-10-27,0,0,0
2020-10-28,0,0,0
2020-10-29,0,0,0
2020-10-30,0,0,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,15,55,10
2020-11-04,12,52,16
2020-11-05,12,46,25
2020-11-06,11,40,32
2020-11-07,14,43,26
2020-11-08,18,46,19
2020-11-09,15,52,18
2020-11-10,18,45,22
2020-11-11,12,48,25
2020-11-12,15,39,24
2020-11-13,12,31,35
2020-11-14,12,29,37
2020-11-15,10,33,35
2020-11-16,11,32,35
2020-11-17,7,43,28
2020-11-18,7,51,20
2020-11-19,5,54,19
2020-11-20,3,55,20
2020-11-21,4,55,21
2020-11-22,2,63,15
2020-11-23,5,66,7
2020-11-24,4,68,6
2020-11-25,3,71,7
2020-11-26,3,63,15
2020-11-27,4,61,16
2020-11-28,5,48,28
2020-11-29,5,46,30
2020-11-30,6,62,13
2020-12-01,7,65,9
2020-12-02,9,60,12
2020-12-03,8,62,11
2020-12-04,8,63,10
2020-12-05,8,65,8
2020-12-06,8,66,7
2020-12-07,7,62,14
2020-12-08,10,56,15
2020-12-09,8,57,16
2020-12-10,8,55,19
2020-12-11,9,62,14
2020-12-12,8,50,20
2020-12-13,8,49,21
2020-12-14,3,48,30
2020-12-15,1,55,25
2020-12-16,2,54,25
2020-12-17,3,54,27
2020-12-18,6,50,25
2020-12-19,6,51,24
2020-12-20,6,51,24
2020-12-21,12,51,18
2020-12-22,11,45,25
2020-12-23,11,46,18
2020-12-24,12,43,21
2020-12-25,8,47,21
2020-12-26,8,48,20
2020-12-27,11,43,23
2020-12-28,14,36,25
2020-12-29,13,40,26
2020-12-30,15,35,29
2020-12-31,16,36,28
2021-01-01,16,32,32
2021-01-02,16,32,32
2021-01-03,15,37,28
2021-01-04,15,39,26
2021-01-05,17,51,11
2021-01-06,17,45,6
2021-01-07,18,48,2
2021-01-08,18,39,11
2021-01-09,21,37,10
2021-01-10,23,35,12
2021-01-11,22,34,11
2021-01-12,15,45,10
2021-01-13,17,46,4
2021-01-14,20,42,11
2021-01-15,17,34,22
2021-01-16,17,34,27
2021-01-17,19,41,18
2021-01-18,20,44,5
2021-01-19,22,46,0
2021-01-20,22,41,4
2021-01-21,20,40,7
2021-01-22,20,43,4
2021-01-23,20,44,7
2021-01-24,21,42,7
2021-01-25,19,44,4
2021-01-26,12,41,14
2021-01-27,12,50,5
2021-01-28,11,51,5
2021-01-29,11,36,20
2021-01-30,10,31,26
2021-01-31,11,32,24
2021-02-01,10,35,22
2021-02-02,7,47,13
2021-02-03,9,47,11
2021-02-04,9,45,13
2021-02-05,9,26,35
2021-02-06,10,25,32
2021-02-07,9,22,36
2021-02-08,9,25,36
2021-02-09,7,31,32
2021-02-10,8,45,17
2021-02-11,7,44,19
2021-02-12,6,39,25
2021-02-13,6,45,19
2021-02-14,6,36,28
2021-02-15,6,37,27
2021-02-16,5,34,31
2021-02-17,3,46,21
2021-02-18,3,44,23
2021-02-19,3,43,24
2021-02-20,3,48,19
