day,covid19,noncovid19,free
2020-03-30,9,0,19
2020-03-31,10,3,15
2020-04-01,11,1,16
2020-04-02,11,1,17
2020-04-03,10,2,8
2020-04-04,10,1,9
2020-04-05,9,2,9
2020-04-06,8,2,20
2020-04-07,8,3,19
2020-04-08,7,4,19
2020-04-09,7,6,17
2020-04-10,6,7,17
2020-04-11,6,6,18
2020-04-12,7,8,15
2020-04-13,6,5,19
2020-04-14,6,6,18
2020-04-15,7,4,19
2020-04-16,8,7,15
2020-04-17,7,5,18
2020-04-18,8,9,13
2020-04-19,7,8,15
2020-04-20,7,10,13
2020-04-21,6,7,17
2020-04-22,7,7,16
2020-04-23,9,6,15
2020-04-24,9,8,13
2020-04-25,9,8,13
2020-04-26,8,8,14
2020-04-27,8,5,17
2020-04-28,7,7,16
2020-04-29,6,10,14
2020-04-30,6,9,15
2020-05-01,6,8,12
2020-05-02,6,7,13
2020-05-03,6,9,11
2020-05-04,5,9,12
2020-05-05,5,10,11
2020-05-06,6,10,10
2020-05-07,6,11,9
2020-05-08,6,13,7
2020-05-09,6,6,14
2020-05-10,5,9,12
2020-05-11,5,7,14
2020-05-12,5,4,17
2020-05-13,5,6,15
2020-05-14,5,6,15
2020-05-15,4,2,20
2020-05-16,4,5,17
2020-05-17,3,5,18
2020-05-18,2,11,13
2020-05-19,2,12,12
2020-05-20,2,9,15
2020-05-21,2,7,17
2020-05-22,2,7,17
2020-05-23,2,9,16
2020-05-24,2,8,17
2020-05-25,2,7,19
2020-05-26,2,9,16
2020-05-27,2,7,17
2020-05-28,1,9,16
2020-05-29,1,7,18
2020-05-30,1,10,15
2020-05-31,1,10,15
2020-06-01,1,8,17
2020-06-02,1,8,17
2020-06-03,1,8,17
2020-06-04,1,10,9
2020-06-05,1,10,9
2020-06-06,1,10,9
2020-06-07,1,10,9
2020-06-08,1,7,12
2020-06-09,1,7,12
2020-06-10,1,7,12
2020-06-11,0,11,9
2020-06-12,0,11,9
2020-06-13,0,11,9
2020-06-14,0,11,9
2020-06-15,0,13,7
2020-06-16,0,13,7
2020-06-17,0,13,7
2020-06-18,0,12,8
2020-06-19,0,12,8
2020-06-20,0,12,8
2020-06-21,0,12,8
2020-06-22,0,8,12
2020-06-23,0,8,12
2020-06-24,0,8,12
2020-06-25,0,14,6
2020-06-26,0,14,6
2020-06-27,0,14,6
2020-06-28,0,14,6
2020-06-29,0,13,7
2020-06-30,0,13,7
2020-07-01,0,13,7
2020-07-02,0,14,6
2020-07-03,0,14,6
2020-07-04,0,14,6
2020-07-05,0,14,6
2020-07-06,0,8,12
2020-07-07,0,8,12
2020-07-08,0,8,12
2020-07-09,0,12,8
2020-07-10,0,11,9
2020-07-11,0,11,9
2020-07-12,0,11,9
2020-07-13,0,11,9
2020-07-14,0,9,11
2020-07-15,0,14,6
2020-07-16,0,14,6
2020-07-17,0,14,6
2020-07-18,0,16,4
2020-07-19,0,16,4
2020-07-20,0,11,9
2020-07-21,0,9,11
2020-07-22,0,9,11
2020-07-23,0,8,12
2020-07-24,0,8,12
2020-07-25,0,8,12
2020-07-26,0,8,12
2020-07-27,0,13,7
2020-07-28,0,9,11
2020-07-29,0,16,4
2020-07-30,0,15,5
2020-07-31,0,15,5
2020-08-01,0,15,5
2020-08-02,0,15,5
2020-08-03,0,6,14
2020-08-04,0,13,7
2020-08-05,0,9,11
2020-08-06,0,11,9
2020-08-07,0,9,11
2020-08-08,0,9,11
2020-08-09,0,9,11
2020-08-10,0,10,10
2020-08-11,0,10,10
2020-08-12,0,15,5
2020-08-13,0,14,6
2020-08-14,0,14,6
2020-08-15,0,14,6
2020-08-16,0,14,6
2020-08-17,0,14,3
2020-08-18,0,15,5
2020-08-19,0,16,4
2020-08-20,0,17,3
2020-08-21,0,15,5
2020-08-22,0,15,5
2020-08-23,0,15,5
