day,covid19,noncovid19,free
2020-03-30,30,207,321
2020-03-31,26,221,267
2020-04-01,28,238,256
2020-04-02,28,244,401
2020-04-03,30,240,412
2020-04-04,31,226,394
2020-04-05,28,221,315
2020-04-06,28,217,329
2020-04-07,30,209,377
2020-04-08,22,222,413
2020-04-09,22,230,465
2020-04-10,20,223,474
2020-04-11,20,206,491
2020-04-12,19,199,500
2020-04-13,19,198,501
2020-04-14,19,198,507
2020-04-15,19,217,426
2020-04-16,18,230,458
2020-04-17,11,252,443
2020-04-18,7,255,444
2020-04-19,8,263,435
2020-04-20,9,251,404
2020-04-21,9,265,387
2020-04-22,6,254,433
2020-04-23,5,256,433
2020-04-24,5,259,418
2020-04-25,4,254,424
2020-04-26,9,260,424
2020-04-27,7,295,344
2020-04-28,7,301,362
2020-04-29,6,300,368
2020-04-30,4,326,353
2020-05-01,3,355,323
2020-05-02,2,330,356
2020-05-03,0,301,341
2020-05-04,0,316,335
2020-05-05,2,334,347
2020-05-06,2,340,341
2020-05-07,2,347,323
2020-05-08,1,345,307
2020-05-09,1,309,343
2020-05-10,2,291,360
2020-05-11,3,311,296
2020-05-12,2,316,324
2020-05-13,1,410,228
2020-05-14,1,422,236
2020-05-15,2,353,306
2020-05-16,2,335,324
2020-05-17,1,321,339
2020-05-18,0,311,304
2020-05-19,0,342,316
2020-05-20,0,359,276
2020-05-21,0,344,271
2020-05-22,0,318,297
2020-05-23,0,285,329
2020-05-24,0,286,328
2020-05-25,1,289,263
2020-05-26,0,314,301
2020-05-27,0,334,281
2020-05-28,0,335,283
2020-05-29,0,330,288
2020-05-30,0,334,284
2020-05-31,0,324,294
2020-06-01,1,291,326
2020-06-02,2,304,312
2020-06-03,2,305,311
2020-06-04,0,383,243
2020-06-05,0,380,246
2020-06-06,0,378,248
2020-06-07,0,379,247
2020-06-08,0,311,248
2020-06-09,0,311,248
2020-06-10,0,309,250
2020-06-11,0,342,174
2020-06-12,0,342,174
2020-06-13,0,342,174
2020-06-14,0,340,176
2020-06-15,1,324,230
2020-06-16,1,327,227
2020-06-17,1,327,227
2020-06-18,1,389,233
2020-06-19,0,396,224
2020-06-20,0,396,224
2020-06-21,0,400,220
2020-06-22,0,339,281
2020-06-23,0,341,279
2020-06-24,0,340,280
2020-06-25,0,376,240
2020-06-26,0,376,240
2020-06-27,0,377,239
