day,covid19,noncovid19,free
2020-03-30,18,213,81
2020-03-31,19,212,81
2020-04-01,25,206,81
2020-04-02,27,206,79
2020-04-03,24,207,81
2020-04-04,24,208,80
2020-04-05,24,212,76
2020-04-06,23,207,82
2020-04-07,24,210,78
2020-04-08,24,215,73
2020-04-09,26,207,79
2020-04-10,25,210,77
2020-04-11,25,210,75
2020-04-12,22,193,95
2020-04-13,20,196,94
2020-04-14,12,207,91
2020-04-15,12,220,78
2020-04-16,12,215,83
2020-04-17,11,215,84
2020-04-18,13,208,89
2020-04-19,11,217,82
2020-04-20,11,225,74
2020-04-21,9,224,77
2020-04-22,8,231,71
2020-04-23,8,231,71
2020-04-24,9,223,83
2020-04-25,10,228,77
2020-04-26,8,236,71
2020-04-27,9,238,68
2020-04-28,6,239,70
2020-04-29,4,254,57
2020-04-30,4,265,46
2020-05-01,3,250,62
2020-05-02,3,240,72
2020-05-03,3,232,80
2020-05-04,3,239,73
2020-05-05,3,247,65
2020-05-06,3,248,64
2020-05-07,4,228,83
2020-05-08,5,229,81
2020-05-09,5,229,81
2020-05-10,5,229,81
2020-05-11,0,258,57
2020-05-12,2,256,57
2020-05-13,0,260,56
2020-05-14,0,267,49
2020-05-15,0,256,60
2020-05-16,0,256,60
2020-05-17,0,256,60
2020-05-18,0,273,43
2020-05-19,0,274,42
2020-05-20,0,265,51
2020-05-21,0,265,51
2020-05-22,2,244,70
2020-05-23,2,244,70
2020-05-24,2,244,70
2020-05-25,1,255,60
2020-05-26,1,278,37
2020-05-27,1,249,66
2020-05-28,2,259,55
2020-05-29,2,242,72
2020-05-30,2,242,72
2020-05-31,2,242,72
2020-06-01,2,242,72
2020-06-02,2,242,72
2020-06-03,2,242,72
2020-06-04,1,254,61
2020-06-05,1,254,61
2020-06-06,1,254,61
2020-06-07,1,254,61
2020-06-08,0,258,58
2020-06-09,0,258,58
2020-06-10,0,258,58
2020-06-11,0,256,61
2020-06-12,1,272,44
2020-06-13,1,272,44
2020-06-14,1,272,44
2020-06-15,1,279,37
2020-06-16,1,279,37
2020-06-17,1,279,37
2020-06-18,1,295,21
2020-06-19,1,295,21
2020-06-20,1,295,21
2020-06-21,1,295,21
2020-06-22,0,286,31
2020-06-23,0,286,31
2020-06-24,0,286,31
2020-06-25,0,290,27
2020-06-26,0,290,27
2020-06-27,0,290,27
2020-06-28,0,290,27
2020-06-29,0,280,37
2020-06-30,0,280,37
2020-07-01,0,280,37
2020-07-02,0,303,14
2020-07-03,0,303,14
2020-07-04,0,303,14
2020-07-05,0,303,14
2020-07-06,0,282,35
2020-07-07,0,282,35
2020-07-08,0,282,35
2020-07-09,0,278,39
2020-07-10,0,297,20
2020-07-11,0,297,20
2020-07-12,0,297,20
2020-07-13,0,291,26
2020-07-14,1,277,39
2020-07-15,1,301,15
2020-07-16,2,307,8
2020-07-17,2,307,8
2020-07-18,2,307,8
2020-07-19,2,307,8
2020-07-20,1,309,7
2020-07-21,1,298,18
2020-07-22,1,289,27
2020-07-23,1,284,32
2020-07-24,1,288,28
2020-07-25,1,288,28
2020-07-26,1,288,28
2020-07-27,1,288,28
2020-07-28,1,279,37
2020-07-29,0,283,34
2020-07-30,0,298,19
2020-07-31,0,273,44
2020-08-01,0,273,44
2020-08-02,0,273,44
2020-08-03,0,254,63
2020-08-04,0,238,79
2020-08-05,0,268,49
2020-08-06,0,257,60
2020-08-07,0,254,63
2020-08-08,0,254,63
2020-08-09,0,254,63
2020-08-10,0,259,58
2020-08-11,0,265,52
2020-08-12,0,277,40
2020-08-13,0,283,34
2020-08-14,0,279,38
2020-08-15,0,279,38
2020-08-16,0,279,38
2020-08-17,0,252,65
2020-08-18,0,254,63
2020-08-19,0,241,76
2020-08-20,0,261,56
2020-08-21,0,253,64
2020-08-22,0,253,64
2020-08-23,0,253,64
2020-08-24,1,254,62
2020-08-25,1,261,55
2020-08-26,1,264,52
2020-08-27,1,264,52
2020-08-28,1,271,45
2020-08-29,1,271,45
2020-08-30,1,271,45
2020-08-31,1,266,50
2020-09-01,1,277,39
2020-09-02,1,293,23
2020-09-03,2,279,36
