day,covid19,noncovid19,free
2020-03-30,4,11,10
2020-03-31,8,22,9
2020-04-01,10,17,44
2020-04-02,8,20,43
2020-04-03,10,18,43
2020-04-04,8,17,46
2020-04-05,8,17,46
2020-04-06,9,19,54
2020-04-07,11,15,56
2020-04-08,10,17,55
2020-04-09,8,21,53
2020-04-10,8,22,50
2020-04-11,6,23,54
2020-04-12,7,23,53
2020-04-13,9,25,49
2020-04-14,6,29,45
2020-04-15,7,29,40
2020-04-16,6,30,40
2020-04-17,5,32,36
2020-04-18,5,33,36
2020-04-19,4,33,36
2020-04-20,5,30,40
2020-04-21,7,30,31
2020-04-22,6,24,50
2020-04-23,8,24,48
2020-04-24,8,28,44
2020-04-25,9,29,42
2020-04-26,10,26,44
2020-04-27,9,28,43
2020-04-28,8,34,38
2020-04-29,8,36,36
2020-04-30,9,34,37
2020-05-01,9,33,35
2020-05-02,8,34,27
2020-05-03,8,33,28
2020-05-04,9,27,30
2020-05-05,7,31,28
2020-05-06,7,33,26
2020-05-07,7,33,27
2020-05-08,7,35,25
2020-05-09,8,28,31
2020-05-10,9,30,28
2020-05-11,6,34,26
2020-05-12,6,32,31
2020-05-13,6,33,30
2020-05-14,5,34,28
2020-05-15,5,33,31
2020-05-16,5,35,29
2020-05-17,5,35,29
2020-05-18,5,34,30
2020-05-19,5,34,30
2020-05-20,4,39,26
2020-05-21,4,37,28
2020-05-22,4,37,28
2020-05-23,4,37,28
2020-05-24,4,37,28
2020-05-25,4,38,27
2020-05-26,0,30,23
2020-05-27,8,31,30
2020-05-28,8,34,27
2020-05-29,7,36,27
2020-05-30,7,36,27
2020-05-31,7,36,27
2020-06-01,7,32,30
2020-06-02,7,31,31
2020-06-03,7,32,30
2020-06-04,7,31,31
2020-06-05,7,27,35
2020-06-06,7,27,35
2020-06-07,7,27,35
2020-06-08,7,31,31
2020-06-09,7,28,34
2020-06-10,7,31,31
2020-06-11,0,20,29
2020-06-12,0,20,29
2020-06-13,0,22,27
2020-06-14,0,22,27
2020-06-15,0,19,30
2020-06-16,0,19,30
2020-06-17,0,19,30
2020-06-18,0,22,18
2020-06-19,0,22,18
2020-06-20,0,22,18
2020-06-21,0,22,18
2020-06-22,4,30,21
2020-06-23,4,30,21
2020-06-24,5,29,21
2020-06-25,5,32,18
2020-06-26,5,32,18
2020-06-27,5,31,19
2020-06-28,5,32,18
2020-06-29,5,38,13
2020-06-30,5,38,13
2020-07-01,5,38,13
2020-07-02,5,38,12
2020-07-03,5,34,16
2020-07-04,5,34,16
2020-07-05,5,34,16
2020-07-06,5,30,20
2020-07-07,5,30,20
2020-07-08,0,25,14
2020-07-09,4,29,22
2020-07-10,4,35,11
2020-07-11,4,36,10
2020-07-12,5,30,15
2020-07-13,5,28,19
2020-07-14,5,29,16
2020-07-15,5,35,10
2020-07-16,1,28,5
2020-07-17,1,27,8
2020-07-18,1,29,6
2020-07-19,1,30,5
2020-07-20,4,36,12
2020-07-21,4,32,16
2020-07-22,4,31,12
2020-07-23,4,34,14
2020-07-24,4,32,16
2020-07-25,4,32,16
2020-07-26,4,32,16
2020-07-27,1,23,12
2020-07-28,2,27,7
2020-07-29,1,29,6
2020-07-30,6,30,16
2020-07-31,7,32,13
2020-08-01,7,30,15
2020-08-02,7,30,15
2020-08-03,7,24,21
2020-08-04,9,24,19
2020-08-05,8,23,21
2020-08-06,8,31,13
2020-08-07,7,31,14
2020-08-08,2,24,10
2020-08-09,2,25,9
2020-08-10,3,26,7
2020-08-11,3,24,9
2020-08-12,2,24,10
2020-08-13,2,25,9
2020-08-14,2,25,9
2020-08-15,2,25,9
2020-08-16,2,25,9
2020-08-17,5,22,9
2020-08-18,5,22,9
2020-08-19,5,21,10
2020-08-20,3,27,6
2020-08-21,3,26,7
2020-08-22,3,23,10
2020-08-23,3,22,11
2020-08-24,3,25,8
2020-08-25,3,27,6
2020-08-26,4,35,13
2020-08-27,4,32,16
2020-08-28,4,32,16
2020-08-29,4,31,17
2020-08-30,4,28,20
2020-08-31,5,26,21
2020-09-01,6,28,18
2020-09-02,6,23,23
2020-09-03,6,25,21
2020-09-04,1,17,18
2020-09-05,1,17,18
2020-09-06,1,17,18
2020-09-07,2,20,14
2020-09-08,1,17,18
2020-09-09,2,18,16
2020-09-10,3,33,16
2020-09-11,1,32,19
2020-09-12,1,32,19
2020-09-13,1,32,19
2020-09-14,1,30,21
2020-09-15,2,35,15
2020-09-16,5,29,18
2020-09-17,1,29,22
2020-09-18,2,26,24
2020-09-19,2,26,24
2020-09-20,2,38,12
2020-09-21,1,38,13
2020-09-22,1,36,15
2020-09-23,1,40,11
2020-09-24,1,36,15
2020-09-25,1,35,16
2020-09-26,1,34,17
2020-09-27,0,25,11
2020-09-28,0,25,11
2020-09-29,0,25,11
2020-09-30,0,25,11
2020-10-01,1,34,17
2020-10-02,1,37,16
2020-10-03,1,33,18
2020-10-04,1,32,19
2020-10-05,1,33,18
2020-10-06,1,35,16
2020-10-07,1,38,13
2020-10-08,2,36,14
2020-10-09,2,30,22
2020-10-10,3,35,14
2020-10-11,3,28,21
2020-10-12,2,30,20
2020-10-13,2,35,15
2020-10-14,2,35,17
2020-10-15,2,32,20
2020-10-16,2,37,15
2020-10-17,2,36,16
2020-10-18,2,36,16
2020-10-19,2,29,23
2020-10-20,2,29,23
2020-10-21,5,19,30
2020-10-22,6,17,31
2020-10-23,9,22,23
2020-10-24,9,21,24
2020-10-25,9,21,24
2020-10-26,11,17,26
2020-10-27,12,15,20
2020-10-28,14,25,12
2020-10-29,14,28,12
2020-10-30,11,9,11
2020-10-31,14,10,7
2020-11-01,15,7,9
2020-11-02,15,7,11
2020-11-03,18,16,15
2020-11-04,16,17,16
2020-11-05,17,17,15
2020-11-06,17,21,24
2020-11-07,20,18,24
2020-11-08,21,20,21
2020-11-09,21,21,20
2020-11-10,25,15,16
2020-11-11,24,9,23
2020-11-12,24,7,25
2020-11-13,21,10,25
2020-11-14,23,10,21
2020-11-15,23,8,23
2020-11-16,27,8,21
2020-11-17,24,13,19
2020-11-18,25,19,12
2020-11-19,25,23,8
2020-11-20,26,18,12
2020-11-21,23,21,12
2020-11-22,22,26,8
2020-11-23,18,29,8
2020-11-24,20,26,10
2020-11-25,22,26,8
2020-11-26,21,25,10
2020-11-27,22,27,7
2020-11-28,22,26,8
2020-11-29,22,24,10
2020-11-30,19,25,12
2020-12-01,21,27,8
2020-12-02,21,26,9
2020-12-03,21,25,10
2020-12-04,23,28,5
2020-12-05,21,26,9
2020-12-06,19,27,10
2020-12-07,18,28,10
2020-12-08,16,28,12
2020-12-09,17,27,12
2020-12-10,21,23,12
2020-12-11,20,20,16
2020-12-12,22,19,15
2020-12-13,23,21,12
2020-12-14,26,21,9
2020-12-15,24,22,10
2020-12-16,24,19,13
2020-12-17,21,19,16
2020-12-18,20,20,16
2020-12-19,18,20,18
2020-12-20,17,19,20
2020-12-21,18,16,22
2020-12-22,20,23,13
2020-12-23,21,20,15
2020-12-24,20,19,17
2020-12-25,15,14,17
2020-12-26,18,13,15
2020-12-27,18,14,14
2020-12-28,22,20,14
2020-12-29,21,23,12
2020-12-30,23,15,18
2020-12-31,22,19,15
2021-01-01,23,15,18
2021-01-02,26,15,15
2021-01-03,25,18,13
2021-01-04,26,16,14
2021-01-05,24,21,9
2021-01-06,22,21,11
2021-01-07,22,23,9
2021-01-08,21,25,8
2021-01-09,22,24,8
2021-01-10,20,19,15
2021-01-11,19,19,16
2021-01-12,18,20,16
2021-01-13,23,25,6
2021-01-14,25,24,5
2021-01-15,22,25,7
2021-01-16,24,18,12
2021-01-17,24,21,9
2021-01-18,21,17,16
2021-01-19,21,22,11
2021-01-20,17,22,12
2021-01-21,21,24,6
2021-01-22,18,26,7
2021-01-23,18,23,10
2021-01-24,20,24,7
2021-01-25,19,19,13
2021-01-26,20,21,10
2021-01-27,20,20,11
2021-01-28,14,19,8
2021-01-29,13,22,6
2021-01-30,13,16,12
2021-01-31,15,15,11
2021-02-01,14,21,14
2021-02-02,14,26,9
2021-02-03,15,23,11
2021-02-04,14,25,10
2021-02-05,13,26,13
2021-02-06,12,30,10
2021-02-07,13,32,7
2021-02-08,14,28,10
2021-02-09,14,30,8
2021-02-10,13,26,13
2021-02-11,15,29,8
2021-02-12,18,23,11
2021-02-13,15,23,14
2021-02-14,16,25,11
2021-02-15,13,15,14
2021-02-16,14,14,14
2021-02-17,14,18,10
2021-02-18,17,21,14
2021-02-19,14,26,12
2021-02-20,12,25,15
2021-02-21,10,26,16
2021-02-22,9,33,10
2021-02-23,8,25,19
2021-02-24,8,28,16
2021-02-25,10,29,13
2021-02-26,10,29,13
2021-02-27,10,28,14
2021-02-28,11,26,13
2021-03-01,10,32,10
2021-03-02,13,30,9
2021-03-03,11,32,9
2021-03-04,11,32,9
2021-03-05,13,24,15
2021-03-06,12,21,19
2021-03-07,14,25,13
2021-03-08,12,28,10
2021-03-09,10,30,12
2021-03-10,11,27,14
2021-03-11,13,27,12
2021-03-12,10,30,12
2021-03-13,11,19,20
2021-03-14,13,24,13
2021-03-15,11,23,8
2021-03-16,10,23,9
2021-03-17,9,27,6
2021-03-18,9,25,8
2021-03-19,10,29,3
2021-03-20,9,24,5
2021-03-21,9,18,11
2021-03-22,9,21,10
2021-03-23,11,24,5
2021-03-24,8,23,9
2021-03-25,8,27,7
2021-03-26,7,27,8
2021-03-27,7,19,16
2021-03-28,8,15,19
2021-03-29,7,24,11
2021-03-30,10,29,3
2021-03-31,10,26,6
2021-04-01,9,23,10
2021-04-02,7,19,16
2021-04-03,9,13,20
2021-04-04,10,16,16
2021-04-05,11,18,13
2021-04-06,11,23,8
2021-04-07,13,19,10
2021-04-08,11,23,8
2021-04-09,11,22,9
2021-04-10,12,19,9
2021-04-11,9,17,14
2021-04-12,10,19,11
2021-04-13,11,18,11
2021-04-14,10,20,10
2021-04-15,11,24,7
2021-04-16,10,23,9
2021-04-17,15,24,10
2021-04-18,11,25,13
2021-04-19,11,30,10
2021-04-20,11,27,13
2021-04-21,11,30,10
2021-04-22,14,25,12
2021-04-23,14,25,12
2021-04-24,13,20,9
2021-04-25,14,13,13
2021-04-26,15,17,8
2021-04-27,12,18,12
2021-04-28,9,17,16
2021-04-29,12,17,13
2021-04-30,12,23,16
2021-05-01,10,24,15
2021-05-02,10,24,15
2021-05-03,10,24,15
2021-05-04,9,29,11
2021-05-05,12,34,13
2021-05-06,16,29,14
2021-05-07,16,26,8
2021-05-08,16,21,13
2021-05-09,15,19,16
2021-05-10,16,19,15
2021-05-11,15,21,14
2021-05-12,17,20,13
2021-05-13,17,18,15
2021-05-14,18,17,15
2021-05-15,18,14,18
2021-05-16,19,20,20
2021-05-17,16,22,21
2021-05-18,16,32,11
2021-05-19,15,29,17
2021-05-20,15,28,18
2021-05-21,15,29,17
2021-05-22,15,22,22
2021-05-23,15,20,15
2021-05-24,17,24,9
2021-05-25,12,26,14
2021-05-26,10,28,14
2021-05-27,9,32,11
2021-05-28,9,29,14
2021-05-29,9,29,14
2021-05-30,8,21,21
2021-05-31,9,26,15
2021-06-01,9,29,12
2021-06-02,10,30,10
2021-06-03,11,25,12
2021-06-04,11,23,14
2021-06-05,12,23,15
2021-06-06,11,23,16
2021-06-07,10,23,19
2021-06-08,9,30,13
2021-06-09,8,32,12
2021-06-10,9,30,13
2021-06-11,9,33,10
2021-06-12,9,35,17
2021-06-13,8,29,24
2021-06-14,7,36,16
2021-06-15,8,35,16
2021-06-16,6,39,16
2021-06-17,6,42,13
2021-06-18,5,37,19
2021-06-19,5,40,14
2021-06-20,7,38,14
2021-06-21,8,37,14
2021-06-22,5,45,11
2021-06-23,4,40,17
2021-06-24,3,41,8
2021-06-25,3,33,16
2021-06-26,3,26,21
2021-06-27,3,26,21
2021-06-28,2,29,19
2021-06-29,2,36,12
2021-06-30,2,30,20
2021-07-01,2,28,22
2021-07-02,2,31,19
2021-07-03,2,31,19
2021-07-04,2,31,19
2021-07-05,2,30,18
2021-07-06,2,28,20
2021-07-07,1,29,20
2021-07-08,0,34,16
2021-07-09,0,36,14
2021-07-10,0,40,12
2021-07-11,0,34,16
2021-07-12,0,42,8
2021-07-13,0,43,9
2021-07-14,0,38,12
2021-07-15,0,34,16
2021-07-16,0,36,14
2021-07-17,0,36,14
2021-07-18,0,36,14
2021-07-19,5,30,15
2021-07-20,4,32,14
2021-07-21,5,34,11
2021-07-22,5,29,16
2021-07-23,5,28,17
2021-07-24,4,29,15
2021-07-25,3,25,20
2021-07-26,4,26,18
2021-07-27,2,30,16
2021-07-28,1,29,18
2021-07-29,1,32,15
2021-07-30,1,37,12
2021-07-31,2,37,11
2021-08-01,2,34,12
2021-08-02,2,30,16
2021-08-03,2,34,12
2021-08-04,3,28,19
2021-08-05,4,36,10
2021-08-06,4,32,14
2021-08-07,4,32,14
2021-08-08,4,32,14
2021-08-09,5,35,10
2021-08-10,5,33,12
2021-08-11,5,31,14
2021-08-12,6,36,8
2021-08-13,6,37,7
2021-08-14,6,37,7
2021-08-15,6,37,7
2021-08-16,6,35,9
2021-08-17,9,30,11
2021-08-18,8,43,8
2021-08-19,6,41,12
2021-08-20,7,39,13
2021-08-21,8,42,9
2021-08-22,9,34,12
2021-08-23,10,31,14
2021-08-24,10,36,11
2021-08-25,10,31,7
2021-08-26,11,29,8
2021-08-27,12,32,6
2021-08-28,11,30,9
2021-08-29,13,24,13
2021-08-30,11,28,9
2021-08-31,11,27,10
2021-09-01,10,30,8
2021-09-02,14,34,8
2021-09-03,13,39,6
2021-09-04,10,40,7
2021-09-05,9,41,7
2021-09-06,16,42,9
2021-09-07,15,44,8
2021-09-08,14,36,9
2021-09-09,12,31,16
2021-09-10,14,33,12
2021-09-11,13,35,9
2021-09-12,12,35,9
2021-09-13,14,33,9
2021-09-14,15,31,10
2021-09-15,12,31,13
2021-09-16,12,29,6
2021-09-17,11,28,8
2021-09-18,11,22,12
2021-09-19,11,22,12
2021-09-20,12,26,9
2021-09-21,20,49,17
2021-09-22,19,48,15
2021-09-23,17,53,14
2021-09-24,19,48,15
2021-09-25,19,40,27
2021-09-26,17,23,24
2021-09-27,10,28,19
2021-09-28,11,27,20
2021-09-29,9,25,24
2021-09-30,13,32,13
2021-10-01,11,36,11
2021-10-02,13,32,11
2021-10-03,11,30,15
2021-10-04,9,28,20
2021-10-05,10,31,17
2021-10-06,11,35,12
2021-10-07,12,33,13
2021-10-08,13,45,8
2021-10-09,10,31,15
2021-10-10,10,33,13
2021-10-11,9,41,14
2021-10-12,10,44,11
2021-10-13,10,41,14
2021-10-14,8,37,11
2021-10-15,9,34,14
2021-10-16,10,38,10
2021-10-17,9,37,10
2021-10-18,9,38,11
2021-10-19,9,40,9
