day,covid19,noncovid19,free
2020-03-30,0,379,299
2020-03-31,10,369,422
2020-04-01,11,434,484
2020-04-02,11,440,478
2020-04-03,12,437,480
2020-04-04,11,445,473
2020-04-05,15,457,457
2020-04-06,11,445,459
2020-04-07,17,449,449
2020-04-08,22,446,454
2020-04-09,34,353,507
2020-04-10,34,374,488
2020-04-11,33,348,512
2020-04-12,38,362,493
2020-04-13,34,358,498
2020-04-14,43,351,496
2020-04-15,44,350,502
2020-04-16,15,409,472
2020-04-17,21,399,476
2020-04-18,26,395,477
2020-04-19,28,398,472
2020-04-20,35,391,444
2020-04-21,23,447,406
2020-04-22,19,425,415
2020-04-23,26,359,474
2020-04-24,32,395,469
2020-04-25,26,396,474
2020-04-26,20,418,451
2020-04-27,22,437,437
2020-04-28,22,467,407
2020-04-29,23,589,284
2020-04-30,26,567,307
2020-05-01,30,511,357
2020-05-02,30,443,431
2020-05-03,25,425,451
2020-05-04,27,454,422
2020-05-05,31,447,425
2020-05-06,27,475,383
2020-05-07,22,473,389
2020-05-08,21,567,318
2020-05-09,25,594,287
2020-05-10,19,529,336
2020-05-11,24,499,378
2020-05-12,22,546,330
2020-05-13,23,536,339
2020-05-14,21,573,306
2020-05-15,12,562,324
2020-05-16,13,559,330
2020-05-17,13,541,344
2020-05-18,18,528,273
2020-05-19,13,537,269
2020-05-20,14,527,278
2020-05-21,9,550,254
2020-05-22,11,641,267
2020-05-23,11,641,267
2020-05-24,11,641,267
2020-05-25,13,636,294
2020-05-26,11,554,204
2020-05-27,11,738,226
2020-05-28,11,736,223
2020-05-29,15,741,213
2020-05-30,15,741,213
2020-05-31,15,741,213
2020-06-01,3,664,243
2020-06-02,3,665,242
2020-06-03,3,653,254
2020-06-04,6,666,238
2020-06-05,6,670,234
2020-06-06,6,670,234
2020-06-07,6,670,234
2020-06-08,9,648,253
2020-06-09,9,651,250
2020-06-10,9,648,253
2020-06-11,7,603,157
2020-06-12,7,603,157
2020-06-13,7,601,159
2020-06-14,7,601,159
2020-06-15,11,541,185
2020-06-16,11,541,185
2020-06-17,11,541,185
2020-06-18,8,718,81
2020-06-19,8,718,81
2020-06-20,8,718,81
2020-06-21,8,718,81
2020-06-22,4,739,199
2020-06-23,4,739,199
2020-06-24,4,739,199
2020-06-25,1,752,212
2020-06-26,1,752,212
2020-06-27,1,753,211
2020-06-28,1,752,212
2020-06-29,5,704,241
2020-06-30,5,704,241
2020-07-01,5,704,241
2020-07-02,4,789,222
2020-07-03,4,793,218
2020-07-04,4,793,218
2020-07-05,4,793,218
2020-07-06,2,784,229
2020-07-07,2,784,229
2020-07-08,2,643,182
2020-07-09,1,800,192
2020-07-10,1,752,232
2020-07-11,1,751,233
2020-07-12,1,756,228
