day,covid19,noncovid19,free
2020-03-30,45,110,127
2020-03-31,47,110,124
2020-04-01,53,104,124
2020-04-02,54,87,140
2020-04-03,50,90,131
2020-04-04,49,91,131
2020-04-05,47,101,123
2020-04-06,49,106,116
2020-04-07,59,93,119
2020-04-08,53,103,115
2020-04-09,52,92,127
2020-04-10,52,79,140
2020-04-11,53,77,141
2020-04-12,57,79,135
2020-04-13,57,106,108
2020-04-14,49,103,119
2020-04-15,42,97,132
2020-04-16,41,107,123
2020-04-17,34,91,157
2020-04-18,34,102,146
2020-04-19,34,109,139
2020-04-20,36,126,120
2020-04-21,30,150,106
2020-04-22,25,141,120
2020-04-23,29,135,122
2020-04-24,30,115,141
2020-04-25,31,130,125
2020-04-26,29,100,157
2020-04-27,25,170,91
2020-04-28,23,264,125
2020-04-29,23,264,125
2020-04-30,20,220,175
2020-05-01,24,222,169
2020-05-02,24,225,166
2020-05-03,24,230,161
2020-05-04,22,260,133
2020-05-05,18,260,137
2020-05-06,19,243,153
2020-05-07,18,249,148
2020-05-08,15,231,169
2020-05-09,16,241,158
2020-05-10,12,270,133
2020-05-11,12,268,135
2020-05-12,12,279,124
2020-05-13,11,264,140
2020-05-14,11,268,136
2020-05-15,9,258,148
2020-05-16,9,258,148
2020-05-17,9,258,148
2020-05-18,9,268,138
2020-05-19,9,268,138
2020-05-20,6,258,151
2020-05-21,6,258,151
2020-05-22,3,241,171
2020-05-23,3,241,171
2020-05-24,3,241,171
2020-05-25,3,293,119
2020-05-26,3,293,119
2020-05-27,3,293,119
2020-05-28,3,293,119
2020-05-29,2,246,167
2020-05-30,2,246,167
2020-05-31,2,246,167
2020-06-01,2,246,167
2020-06-02,1,257,157
2020-06-03,1,257,157
2020-06-04,2,288,125
2020-06-05,2,288,125
2020-06-06,2,288,125
2020-06-07,2,288,125
2020-06-08,1,250,164
2020-06-09,1,250,164
2020-06-10,1,250,164
2020-06-11,1,288,126
2020-06-12,1,288,126
2020-06-13,1,288,126
2020-06-14,1,288,126
2020-06-15,1,288,126
2020-06-16,3,299,116
2020-06-17,3,299,116
2020-06-18,2,303,113
2020-06-19,2,303,113
2020-06-20,2,303,113
2020-06-21,2,303,113
2020-06-22,2,303,113
2020-06-23,2,303,113
2020-06-24,2,303,113
2020-06-25,1,309,108
2020-06-26,1,309,108
2020-06-27,1,309,108
2020-06-28,1,309,108
2020-06-29,2,273,143
2020-06-30,2,273,143
2020-07-01,2,273,143
2020-07-02,1,278,139
2020-07-03,1,278,139
2020-07-04,1,278,139
2020-07-05,1,278,139
2020-07-06,1,278,139
2020-07-07,2,325,91
2020-07-08,2,325,91
2020-07-09,2,325,91
2020-07-10,1,321,96
2020-07-11,1,321,96
2020-07-12,1,321,96
2020-07-13,1,308,109
2020-07-14,2,333,83
2020-07-15,2,324,92
2020-07-16,1,323,94
2020-07-17,1,297,120
2020-07-18,1,297,120
2020-07-19,1,297,120
2020-07-20,1,309,108
2020-07-21,2,339,77
2020-07-22,2,325,91
2020-07-23,2,325,91
2020-07-24,2,304,112
2020-07-25,2,304,112
2020-07-26,2,304,112
2020-07-27,2,302,114
2020-07-28,2,302,114
2020-07-29,1,298,119
2020-07-30,1,298,119
2020-07-31,2,277,139
2020-08-01,2,277,139
2020-08-02,2,277,139
2020-08-03,2,277,139
2020-08-04,2,312,104
2020-08-05,2,312,104
2020-08-06,1,330,87
2020-08-07,1,309,108
2020-08-08,1,309,108
2020-08-09,1,309,108
2020-08-10,1,309,108
2020-08-11,0,298,120
2020-08-12,0,316,102
2020-08-13,0,316,102
2020-08-14,0,276,142
2020-08-15,0,276,142
2020-08-16,0,276,142
2020-08-17,0,262,156
2020-08-18,0,296,122
2020-08-19,0,317,101
2020-08-20,0,307,111
2020-08-21,0,309,109
2020-08-22,0,309,109
2020-08-23,0,309,109
2020-08-24,0,315,103
2020-08-25,0,315,103
2020-08-26,0,298,120
2020-08-27,0,298,120
2020-08-28,0,309,109
2020-08-29,0,309,109
2020-08-30,0,309,109
2020-08-31,1,330,87
2020-09-01,1,330,87
2020-09-02,0,319,99
2020-09-03,0,319,99
2020-09-04,0,319,99
2020-09-05,0,319,99
2020-09-06,0,319,99
2020-09-07,0,319,99
2020-09-08,2,332,84
2020-09-09,2,326,90
2020-09-10,3,333,82
2020-09-11,1,323,94
2020-09-12,1,323,94
2020-09-13,1,323,94
2020-09-14,1,314,103
2020-09-15,1,338,79
2020-09-16,2,337,79
2020-09-17,2,337,79
2020-09-18,2,331,85
2020-09-19,2,331,85
2020-09-20,2,331,85
2020-09-21,2,331,85
2020-09-22,0,329,89
2020-09-23,0,329,89
2020-09-24,0,319,99
2020-09-25,0,312,106
2020-09-26,0,312,106
2020-09-27,0,312,106
2020-09-28,0,314,104
2020-09-29,0,314,104
2020-09-30,1,346,24
2020-10-01,2,307,62
2020-10-02,2,307,62
2020-10-03,2,307,62
2020-10-04,2,307,62
2020-10-05,1,317,53
2020-10-06,6,319,46
2020-10-07,8,308,55
2020-10-08,10,306,55
2020-10-09,11,283,77
2020-10-10,11,283,77
2020-10-11,11,283,77
2020-10-12,13,306,52
2020-10-13,15,321,35
2020-10-14,15,308,48
2020-10-15,16,313,42
2020-10-16,18,289,64
2020-10-17,18,289,64
2020-10-18,18,289,64
2020-10-19,23,326,22
2020-10-20,33,313,38
2020-10-21,33,317,34
2020-10-22,46,318,22
