day,covid19,noncovid19,free
2020-03-30,14,30,0
2020-03-31,14,30,0
2020-04-01,14,30,-4
2020-04-02,12,27,29
2020-04-03,10,36,34
2020-04-04,8,41,31
2020-04-05,8,36,36
2020-04-06,12,27,27
2020-04-07,7,36,20
2020-04-08,5,35,23
2020-04-09,6,55,19
2020-04-10,11,29,46
2020-04-11,7,29,50
2020-04-12,7,31,53
2020-04-13,10,37,43
2020-04-14,5,37,48
2020-04-15,3,35,52
2020-04-16,2,39,49
2020-04-17,2,29,55
2020-04-18,2,29,55
2020-04-19,3,32,51
2020-04-20,2,33,51
2020-04-21,3,31,52
2020-04-22,3,30,53
2020-04-23,3,33,54
2020-04-24,3,37,50
2020-04-25,4,35,46
2020-04-26,3,37,45
2020-04-27,3,36,46
2020-04-28,3,38,44
2020-04-29,2,42,41
2020-04-30,2,41,42
2020-05-01,1,42,42
2020-05-02,1,43,41
2020-05-03,1,33,51
2020-05-04,1,38,46
2020-05-05,1,44,40
2020-05-06,1,49,34
2020-05-07,1,56,27
2020-05-08,0,60,24
2020-05-09,0,58,26
2020-05-10,1,55,28
2020-05-11,0,45,38
2020-05-12,0,46,37
2020-05-13,0,47,36
2020-05-14,0,47,36
2020-05-15,0,47,36
2020-05-16,0,47,36
2020-05-17,0,47,36
2020-05-18,0,40,43
2020-05-19,0,48,35
2020-05-20,0,49,34
2020-05-21,0,62,21
2020-05-22,0,62,21
2020-05-23,0,62,21
2020-05-24,0,62,21
2020-05-25,0,62,21
2020-05-26,1,69,13
2020-05-27,0,70,13
2020-05-28,0,67,14
2020-05-29,0,67,14
2020-05-30,0,67,14
2020-05-31,0,67,14
2020-06-01,1,52,29
2020-06-02,1,52,29
2020-06-03,1,52,29
2020-06-04,0,63,17
2020-06-05,0,63,17
2020-06-06,0,63,17
2020-06-07,0,63,17
2020-06-08,0,47,33
2020-06-09,0,47,33
2020-06-10,0,47,33
2020-06-11,0,47,33
2020-06-12,0,47,33
2020-06-13,0,47,33
2020-06-14,0,47,33
2020-06-15,0,44,36
2020-06-16,0,44,36
2020-06-17,0,44,36
2020-06-18,0,55,25
2020-06-19,0,55,25
2020-06-20,0,55,25
2020-06-21,0,55,25
2020-06-22,0,50,30
2020-06-23,0,50,30
2020-06-24,0,50,30
2020-06-25,0,56,24
