day,covid19,noncovid19,free
2020-03-30,0,18,71
2020-03-31,0,18,71
2020-04-01,0,18,71
2020-04-02,3,15,71
2020-04-03,4,16,69
2020-04-04,3,13,73
2020-04-05,1,12,76
2020-04-06,2,12,75
2020-04-07,2,12,75
2020-04-08,1,16,72
2020-04-09,1,15,73
2020-04-10,1,15,73
2020-04-11,0,16,73
2020-04-12,0,16,73
2020-04-13,0,16,73
2020-04-14,0,19,70
2020-04-15,0,18,71
2020-04-16,0,18,71
2020-04-17,0,27,44
2020-04-18,0,27,44
2020-04-19,0,27,44
2020-04-20,0,20,51
2020-04-21,0,20,51
2020-04-22,0,34,36
2020-04-23,0,19,51
2020-04-24,0,24,46
2020-04-25,0,24,46
2020-04-26,0,24,46
2020-04-27,0,27,43
2020-04-28,1,34,35
2020-04-29,2,30,38
2020-04-30,0,28,42
2020-05-01,0,28,43
2020-05-02,0,28,43
2020-05-03,0,28,43
2020-05-04,0,29,41
2020-05-05,0,39,31
2020-05-06,0,43,27
2020-05-07,0,46,24
2020-05-08,0,44,26
2020-05-09,0,44,26
2020-05-10,0,44,26
2020-05-11,0,43,27
2020-05-12,0,40,30
2020-05-13,0,36,34
2020-05-14,0,35,35
2020-05-15,0,32,38
2020-05-16,0,32,38
2020-05-17,0,32,38
2020-05-18,0,33,37
2020-05-19,0,45,25
2020-05-20,0,43,27
2020-05-21,0,43,27
2020-05-22,0,30,40
2020-05-23,0,30,40
2020-05-24,0,30,40
2020-05-25,0,28,42
2020-05-26,0,37,33
2020-05-27,0,38,32
2020-05-28,0,39,28
2020-05-29,0,42,25
2020-05-30,0,42,25
2020-05-31,0,42,25
2020-06-01,0,42,25
2020-06-02,0,34,33
2020-06-03,0,36,31
2020-06-04,0,43,24
2020-06-05,0,43,24
2020-06-06,0,43,24
2020-06-07,0,43,24
2020-06-08,0,31,36
2020-06-09,0,33,34
2020-06-10,1,34,32
2020-06-11,1,34,32
2020-06-12,0,32,35
2020-06-13,0,32,35
2020-06-14,0,32,35
2020-06-15,0,34,33
2020-06-16,0,41,26
2020-06-17,0,45,22
2020-06-18,0,45,22
2020-06-19,0,42,25
2020-06-20,0,42,25
2020-06-21,0,42,25
2020-06-22,0,43,24
2020-06-23,0,41,26
2020-06-24,0,41,26
2020-06-25,0,31,36
2020-06-26,0,31,36
2020-06-27,0,31,36
2020-06-28,0,31,36
2020-06-29,0,33,34
2020-06-30,0,42,25
2020-07-01,0,43,24
2020-07-02,0,45,22
2020-07-03,0,43,24
2020-07-04,0,43,24
