day,covid19,noncovid19,free
2020-03-30,14,26,58
2020-03-31,14,21,64
2020-04-01,12,15,47
2020-04-02,12,22,40
2020-04-03,11,17,50
2020-04-04,12,17,49
2020-04-05,11,17,50
2020-04-06,10,19,49
2020-04-07,11,24,43
2020-04-08,10,22,46
2020-04-09,10,26,42
2020-04-10,9,19,50
2020-04-11,9,17,52
2020-04-12,9,16,53
2020-04-13,9,18,51
2020-04-14,7,25,46
2020-04-15,5,30,43
2020-04-16,6,24,48
2020-04-17,6,25,47
2020-04-18,5,21,52
2020-04-19,6,17,55
2020-04-20,5,22,51
2020-04-21,3,27,48
2020-04-22,2,30,46
2020-04-23,2,29,41
2020-04-24,2,23,44
2020-04-25,2,20,50
2020-04-26,2,22,48
2020-04-27,2,20,47
2020-04-28,2,28,25
2020-04-29,2,35,18
2020-04-30,2,28,25
2020-05-01,2,28,26
2020-05-02,2,27,27
2020-05-03,2,30,23
2020-05-04,2,29,24
2020-05-05,2,33,20
2020-05-06,2,32,21
2020-05-07,2,42,11
2020-05-08,1,39,15
2020-05-09,1,35,19
2020-05-10,1,34,20
2020-05-11,3,36,16
2020-05-12,2,43,11
2020-05-13,2,39,14
2020-05-14,2,39,14
2020-05-15,2,40,13
2020-05-16,1,35,19
2020-05-17,1,34,20
2020-05-18,1,37,17
2020-05-19,1,44,10
2020-05-20,1,46,8
2020-05-21,1,42,12
2020-05-22,1,36,18
2020-05-23,1,34,20
2020-05-24,1,38,16
2020-05-25,1,37,17
2020-05-26,1,42,12
2020-05-27,1,33,21
2020-05-28,1,30,24
2020-05-29,1,36,18
2020-05-30,1,35,19
2020-05-31,1,33,21
2020-06-01,1,31,23
2020-06-02,1,31,23
2020-06-03,1,32,22
2020-06-04,1,32,22
2020-06-05,1,33,21
2020-06-06,1,31,23
2020-06-07,1,31,23
2020-06-08,2,29,24
2020-06-09,2,29,24
2020-06-10,2,30,23
2020-06-11,1,36,18
2020-06-12,1,36,18
2020-06-13,1,39,15
2020-06-14,1,39,15
2020-06-15,1,28,20
2020-06-16,1,25,23
2020-06-17,1,29,19
2020-06-18,1,33,15
2020-06-19,1,31,17
2020-06-20,1,32,16
2020-06-21,1,32,16
2020-06-22,1,23,25
2020-06-23,1,23,25
2020-06-24,1,25,23
2020-06-25,2,30,17
2020-06-26,2,31,16
2020-06-27,2,30,17
2020-06-28,2,30,17
2020-06-29,2,23,24
2020-06-30,2,22,25
2020-07-01,2,22,25
2020-07-02,2,28,19
2020-07-03,2,26,21
2020-07-04,2,27,20
2020-07-05,2,27,20
2020-07-06,1,30,18
2020-07-07,1,30,18
2020-07-08,1,31,17
2020-07-09,1,31,17
2020-07-10,1,35,19
2020-07-11,1,34,20
2020-07-12,1,31,23
2020-07-13,1,37,17
2020-07-14,1,37,17
2020-07-15,1,40,14
2020-07-16,1,41,13
2020-07-17,1,34,20
2020-07-18,1,36,18
2020-07-19,1,32,22
2020-07-20,2,34,19
2020-07-21,3,30,22
2020-07-22,4,33,18
2020-07-23,2,28,25
2020-07-24,2,33,20
2020-07-25,2,32,21
2020-07-26,2,32,21
2020-07-27,2,31,22
2020-07-28,3,35,17
2020-07-29,3,34,18
2020-07-30,5,32,18
2020-07-31,8,30,17
2020-08-01,8,28,19
2020-08-02,8,27,20
2020-08-03,6,27,22
2020-08-04,8,28,19
2020-08-05,5,30,20
2020-08-06,5,33,17
2020-08-07,5,39,11
2020-08-08,5,39,11
2020-08-09,5,38,12
2020-08-10,5,33,17
2020-08-11,5,35,15
2020-08-12,5,28,22
2020-08-13,5,38,12
2020-08-14,6,30,19
2020-08-15,6,31,18
2020-08-16,6,31,18
2020-08-17,4,34,17
2020-08-18,5,32,18
2020-08-19,5,32,18
2020-08-20,5,34,16
2020-08-21,5,34,16
2020-08-22,5,34,16
2020-08-23,5,34,16
2020-08-24,3,32,20
2020-08-25,3,36,16
2020-08-26,3,35,17
2020-08-27,3,31,21
2020-08-28,3,36,16
2020-08-29,3,35,17
2020-08-30,3,35,17
2020-08-31,3,30,22
2020-09-01,2,35,18
