day,covid19,noncovid19,free
2020-03-30,20,347,403
2020-03-31,34,347,448
2020-04-01,36,371,807
2020-04-02,49,469,696
2020-04-03,47,485,678
2020-04-04,47,486,677
2020-04-05,48,446,717
2020-04-06,49,495,667
2020-04-07,45,521,645
2020-04-08,46,499,667
2020-04-09,51,466,695
2020-04-10,53,430,729
2020-04-11,52,434,726
2020-04-12,41,460,711
2020-04-13,42,467,703
2020-04-14,45,503,664
2020-04-15,37,531,644
2020-04-16,28,521,663
2020-04-17,30,519,663
2020-04-18,35,508,669
2020-04-19,34,498,680
2020-04-20,28,556,628
2020-04-21,27,566,616
2020-04-22,25,560,624
2020-04-23,21,557,637
2020-04-24,25,569,627
2020-04-25,24,559,635
2020-04-26,26,556,636
2020-04-27,29,604,588
2020-04-28,20,706,509
2020-04-29,16,779,440
2020-04-30,14,794,427
2020-05-01,14,772,448
2020-05-02,15,690,529
2020-05-03,14,602,619
2020-05-04,15,666,554
2020-05-05,13,773,449
2020-05-06,9,798,428
2020-05-07,9,800,426
2020-05-08,9,798,428
2020-05-09,8,765,462
2020-05-10,8,665,562
2020-05-11,8,663,564
2020-05-12,4,808,422
2020-05-13,5,816,414
2020-05-14,4,830,401
2020-05-15,4,831,400
2020-05-16,3,743,489
2020-05-17,3,657,575
2020-05-18,3,705,527
2020-05-19,4,832,400
2020-05-20,4,816,416
2020-05-21,4,802,430
2020-05-22,4,727,505
2020-05-23,4,759,473
2020-05-24,3,633,600
2020-05-25,2,691,543
2020-05-26,4,770,462
2020-05-27,3,802,431
2020-05-28,2,801,432
2020-05-29,2,769,464
2020-05-30,2,769,464
2020-05-31,2,769,464
2020-06-01,0,635,600
2020-06-02,0,632,603
2020-06-03,0,637,592
2020-06-04,0,803,426
2020-06-05,0,803,426
2020-06-06,0,781,448
2020-06-07,0,778,451
2020-06-08,0,777,452
2020-06-09,0,778,451
2020-06-10,0,774,455
2020-06-11,1,842,386
2020-06-12,1,842,386
2020-06-13,1,838,390
2020-06-14,1,823,405
2020-06-15,3,699,404
2020-06-16,3,702,401
2020-06-17,3,698,405
2020-06-18,1,793,312
2020-06-19,1,846,259
2020-06-20,1,845,260
2020-06-21,1,845,260
2020-06-22,3,754,349
2020-06-23,3,754,349
2020-06-24,3,752,351
2020-06-25,6,855,227
2020-06-26,6,738,184
2020-06-27,6,739,183
2020-06-28,6,739,183
2020-06-29,3,668,260
2020-06-30,3,732,356
2020-07-01,3,732,356
2020-07-02,2,839,251
2020-07-03,2,841,249
2020-07-04,2,840,250
2020-07-05,2,840,250
2020-07-06,3,793,296
