day,covid19,noncovid19,free
2020-03-30,0,54,99
2020-03-31,0,53,100
2020-04-01,2,51,100
2020-04-02,4,44,105
2020-04-03,1,45,107
2020-04-04,0,45,108
2020-04-05,0,49,104
2020-04-06,0,57,96
2020-04-07,0,55,98
2020-04-08,0,59,94
2020-04-09,3,64,86
2020-04-10,3,57,93
2020-04-11,3,69,81
2020-04-12,3,68,82
2020-04-13,3,68,82
2020-04-14,2,61,90
2020-04-15,1,59,93
2020-04-16,0,64,89
2020-04-17,0,72,81
2020-04-18,0,72,81
2020-04-19,0,68,85
2020-04-20,0,73,58
2020-04-21,0,66,65
2020-04-22,0,66,65
2020-04-23,1,56,74
2020-04-24,0,56,75
2020-04-25,0,63,68
2020-04-26,0,71,60
2020-04-27,1,71,79
2020-04-28,0,89,62
2020-04-29,1,96,54
2020-04-30,1,84,66
2020-05-01,1,94,56
2020-05-02,1,87,63
2020-05-03,1,86,64
2020-05-04,1,72,78
2020-05-05,1,66,84
2020-05-06,0,87,64
2020-05-07,0,90,61
2020-05-08,0,92,59
2020-05-09,0,89,62
2020-05-10,0,82,69
2020-05-11,0,88,63
2020-05-12,0,94,57
2020-05-13,0,87,64
2020-05-14,0,96,55
2020-05-15,5,90,56
2020-05-16,5,75,71
2020-05-17,3,75,73
2020-05-18,2,76,73
2020-05-19,6,82,63
2020-05-20,6,92,53
2020-05-21,5,87,59
2020-05-22,4,94,53
2020-05-23,4,86,61
2020-05-24,6,84,61
2020-05-25,5,80,66
2020-05-26,6,85,60
2020-05-27,5,98,48
2020-05-28,6,96,49
2020-05-29,3,115,28
2020-05-30,4,107,33
2020-05-31,4,89,51
2020-06-01,5,86,53
2020-06-02,6,90,48
2020-06-03,6,90,48
2020-06-04,4,91,57
2020-06-05,4,91,57
2020-06-06,4,91,57
2020-06-07,4,91,57
2020-06-08,5,114,35
2020-06-09,5,114,35
2020-06-10,5,114,35
2020-06-11,2,129,23
2020-06-12,2,129,23
2020-06-13,2,129,23
2020-06-14,2,129,23
2020-06-15,1,115,40
2020-06-16,1,115,40
2020-06-17,1,115,40
2020-06-18,3,117,36
2020-06-19,3,117,36
2020-06-20,3,117,36
2020-06-21,3,117,36
2020-06-22,3,109,44
2020-06-23,3,109,44
2020-06-24,3,109,44
2020-06-25,5,118,33
2020-06-26,5,118,33
2020-06-27,5,118,33
2020-06-28,5,118,33
2020-06-29,5,100,51
2020-06-30,5,100,51
2020-07-01,5,100,51
2020-07-02,3,116,37
2020-07-03,3,116,37
2020-07-04,3,116,37
2020-07-05,3,116,37
2020-07-06,2,97,57
2020-07-07,2,97,57
2020-07-08,2,97,57
2020-07-09,3,102,51
2020-07-10,3,108,45
2020-07-11,3,108,45
2020-07-12,3,108,45
2020-07-13,7,103,46
2020-07-14,4,83,69
2020-07-15,5,84,67
2020-07-16,5,88,63
2020-07-17,4,93,59
2020-07-18,4,93,59
2020-07-19,4,93,59
2020-07-20,4,89,63
2020-07-21,7,96,53
2020-07-22,5,98,53
2020-07-23,6,97,53
2020-07-24,5,92,59
2020-07-25,5,92,59
2020-07-26,5,92,59
2020-07-27,2,89,65
2020-07-28,1,101,54
2020-07-29,11,111,34
2020-07-30,11,100,47
2020-07-31,6,89,63
2020-08-01,6,89,63
2020-08-02,6,89,63
2020-08-03,8,103,45
2020-08-04,1,109,48
2020-08-05,2,98,58
2020-08-06,3,92,63
2020-08-07,4,80,74
2020-08-08,4,80,74
2020-08-09,4,80,74
2020-08-10,7,91,60
2020-08-11,3,89,67
2020-08-12,5,99,55
2020-08-13,4,90,65
2020-08-14,2,90,67
2020-08-15,3,88,69
2020-08-16,3,88,69
2020-08-17,7,102,51
2020-08-18,10,96,54
2020-08-19,9,91,59
2020-08-20,3,98,58
2020-08-21,2,90,66
2020-08-22,2,90,66
2020-08-23,2,90,66
2020-08-24,2,113,43
2020-08-25,5,113,40
2020-08-26,3,113,42
2020-08-27,2,113,43
2020-08-28,2,113,43
2020-08-29,2,113,43
2020-08-30,2,113,43
2020-08-31,2,113,43
2020-09-01,4,108,46
2020-09-02,1,113,44
2020-09-03,4,107,47
2020-09-04,1,113,44
2020-09-05,1,113,44
2020-09-06,1,113,44
2020-09-07,3,120,35
2020-09-08,5,120,32
2020-09-09,1,120,36
2020-09-10,1,121,34
2020-09-11,1,121,34
2020-09-12,1,121,34
2020-09-13,1,121,34
2020-09-14,0,122,36
2020-09-15,3,122,33
2020-09-16,3,122,33
2020-09-17,1,122,35
2020-09-18,5,122,30
2020-09-19,5,122,30
2020-09-20,5,122,30
2020-09-21,3,118,36
2020-09-22,4,118,35
2020-09-23,7,118,32
2020-09-24,3,118,36
2020-09-25,5,118,34
2020-09-26,5,118,34
2020-09-27,5,118,34
2020-09-28,3,115,39
2020-09-29,3,114,40
2020-09-30,1,115,41
2020-10-01,9,115,33
2020-10-02,4,115,38
2020-10-03,4,115,38
2020-10-04,4,115,38
2020-10-05,8,122,27
2020-10-06,6,123,28
2020-10-07,4,122,31
2020-10-08,5,123,29
2020-10-09,6,123,28
2020-10-10,6,123,28
2020-10-11,6,123,28
2020-10-12,10,122,12
2020-10-13,8,112,24
2020-10-14,8,112,23
2020-10-15,11,112,21
2020-10-16,6,112,26
2020-10-17,6,113,24
2020-10-18,6,113,24
2020-10-19,9,123,11
2020-10-20,10,124,9
2020-10-21,6,123,14
2020-10-22,5,123,15
2020-10-23,10,121,-2
2020-10-24,10,121,-2
2020-10-25,10,121,-2
2020-10-26,10,91,42
2020-10-27,11,87,45
2020-10-28,12,91,40
2020-10-29,12,91,40
2020-10-30,12,92,39
2020-10-31,12,92,39
2020-11-01,12,92,39
2020-11-02,17,99,8
2020-11-03,13,100,11
2020-11-04,15,103,-2
2020-11-05,20,98,-2
2020-11-06,23,97,-2
2020-11-07,23,97,-2
2020-11-08,23,97,-2
2020-11-09,23,78,-3
2020-11-10,21,64,13
2020-11-11,27,86,11
2020-11-12,22,93,11
2020-11-13,15,98,17
2020-11-14,15,98,17
2020-11-15,15,98,17
2020-11-16,18,99,7
2020-11-17,15,95,15
2020-11-18,16,101,7
2020-11-19,14,98,12
2020-11-20,20,88,15
2020-11-21,20,91,12
2020-11-22,19,90,14
2020-11-23,26,91,8
2020-11-24,26,80,21
2020-11-25,22,85,16
2020-11-26,23,85,15
2020-11-27,25,95,5
2020-11-28,25,95,5
2020-11-29,25,95,5
2020-11-30,26,85,16
2020-12-01,27,84,19
2020-12-02,28,92,8
2020-12-03,23,97,10
2020-12-04,25,92,14
2020-12-05,25,92,14
2020-12-06,23,91,17
2020-12-07,32,79,6
2020-12-08,32,79,6
2020-12-09,32,78,8
2020-12-10,31,83,4
