day,covid19,noncovid19,free
2020-03-30,17,198,237
2020-03-31,13,267,231
2020-04-01,15,301,251
2020-04-02,13,261,293
2020-04-03,17,302,248
2020-04-04,16,327,224
2020-04-05,16,329,224
2020-04-06,10,331,228
2020-04-07,21,314,232
2020-04-08,14,319,178
2020-04-09,14,335,162
2020-04-10,16,313,182
2020-04-11,16,305,190
2020-04-12,16,293,202
2020-04-13,16,299,196
2020-04-14,15,308,188
2020-04-15,15,291,205
2020-04-16,17,282,212
2020-04-17,17,291,203
2020-04-18,16,271,224
2020-04-19,16,293,202
2020-04-20,15,313,183
2020-04-21,14,314,183
2020-04-22,13,314,184
2020-04-23,9,335,167
2020-04-24,9,344,158
2020-04-25,6,334,171
2020-04-26,5,341,165
2020-04-27,6,399,108
2020-04-28,6,379,128
2020-04-29,7,365,141
2020-04-30,7,347,168
2020-05-01,7,336,179
2020-05-02,6,347,169
2020-05-03,6,354,162
2020-05-04,6,378,138
2020-05-05,5,379,138
2020-05-06,6,377,130
2020-05-07,6,374,133
2020-05-08,6,392,115
2020-05-09,7,385,121
2020-05-10,6,382,125
2020-05-11,7,399,107
2020-05-12,8,409,96
2020-05-13,8,415,90
2020-05-14,7,422,84
2020-05-15,3,416,94
2020-05-16,3,416,94
2020-05-17,3,407,103
2020-05-18,1,358,154
2020-05-19,1,361,151
2020-05-20,1,390,122
2020-05-21,1,394,118
2020-05-22,1,376,136
2020-05-23,1,386,126
2020-05-24,1,386,126
2020-05-25,1,374,138
2020-05-26,1,398,114
2020-05-27,1,428,84
2020-05-28,1,428,84
2020-05-29,1,423,89
2020-05-30,1,423,89
2020-05-31,1,424,88
2020-06-01,1,411,101
2020-06-02,1,411,101
2020-06-03,1,410,102
2020-06-04,0,403,110
2020-06-05,0,396,117
2020-06-06,0,396,117
2020-06-07,0,405,108
2020-06-08,0,399,114
2020-06-09,0,397,116
2020-06-10,0,397,116
2020-06-11,0,419,94
2020-06-12,0,405,108
2020-06-13,0,405,108
2020-06-14,0,402,111
2020-06-15,0,403,110
2020-06-16,0,415,98
2020-06-17,0,414,99
2020-06-18,0,401,112
2020-06-19,0,399,114
2020-06-20,0,399,114
2020-06-21,0,399,114
2020-06-22,0,385,128
2020-06-23,0,385,128
2020-06-24,0,380,133
2020-06-25,0,383,130
2020-06-26,0,382,131
2020-06-27,0,382,131
2020-06-28,0,382,131
2020-06-29,0,400,113
2020-06-30,0,396,117
2020-07-01,0,396,117
2020-07-02,0,400,113
2020-07-03,0,400,113
2020-07-04,0,400,113
2020-07-05,0,400,113
2020-07-06,0,372,141
2020-07-07,0,372,141
2020-07-08,1,386,126
2020-07-09,1,396,117
2020-07-10,1,400,98
2020-07-11,1,400,98
2020-07-12,1,400,98
2020-07-13,3,379,117
2020-07-14,5,419,90
2020-07-15,6,429,79
2020-07-16,7,434,73
2020-07-17,5,411,98
2020-07-18,5,411,98
2020-07-19,5,408,101
2020-07-20,2,329,183
2020-07-21,2,377,120
2020-07-22,1,355,158
2020-07-23,1,374,139
2020-07-24,1,382,131
2020-07-25,1,382,131
2020-07-26,1,381,132
2020-07-27,0,402,97
2020-07-28,1,399,114
2020-07-29,1,399,114
2020-07-30,1,397,116
2020-07-31,2,392,120
2020-08-01,2,383,129
2020-08-02,2,382,130
2020-08-03,3,341,155
2020-08-04,3,363,148
2020-08-05,3,388,108
2020-08-06,3,384,112
2020-08-07,5,364,130
2020-08-08,5,364,130
2020-08-09,5,364,130
2020-08-10,5,375,119
2020-08-11,5,398,96
2020-08-12,1,423,76
2020-08-13,1,400,99
2020-08-14,1,398,101
2020-08-15,1,409,90
2020-08-16,1,403,96
2020-08-17,1,404,94
2020-08-18,1,415,83
2020-08-19,3,402,94
2020-08-20,2,399,98
2020-08-21,2,417,80
2020-08-22,2,418,79
2020-08-23,2,422,75
2020-08-24,2,419,78
2020-08-25,1,433,65
2020-08-26,1,405,93
2020-08-27,0,406,93
