day,covid19,noncovid19,free
2020-03-30,2,3,4
2020-03-31,2,6,1
2020-04-01,1,3,8
2020-04-02,1,5,6
2020-04-03,3,3,6
2020-04-04,2,3,7
2020-04-05,2,5,5
2020-04-06,3,6,3
2020-04-07,2,7,3
2020-04-08,2,7,3
2020-04-09,2,7,3
2020-04-10,2,6,4
2020-04-11,2,5,5
2020-04-12,2,4,6
2020-04-13,2,4,6
2020-04-14,3,4,5
2020-04-15,3,4,5
2020-04-16,2,3,7
2020-04-17,2,7,3
2020-04-18,2,5,5
2020-04-19,2,5,5
2020-04-20,4,5,3
2020-04-21,4,2,6
2020-04-22,3,5,4
2020-04-23,3,4,5
2020-04-24,2,5,5
2020-04-25,2,5,5
2020-04-26,2,4,6
2020-04-27,2,4,6
2020-04-28,1,8,3
2020-04-29,1,8,3
2020-04-30,1,6,4
2020-05-01,1,8,2
2020-05-02,1,6,4
2020-05-03,1,6,4
2020-05-04,1,7,3
2020-05-05,1,7,3
2020-05-06,0,5,6
2020-05-07,0,4,7
2020-05-08,0,10,2
2020-05-09,0,4,7
2020-05-10,0,6,5
2020-05-11,1,6,4
2020-05-12,1,4,6
2020-05-13,0,7,4
2020-05-14,0,9,2
2020-05-15,0,8,3
2020-05-16,0,9,2
2020-05-17,0,6,5
2020-05-18,0,5,6
2020-05-19,0,8,3
2020-05-20,0,4,7
2020-05-21,0,5,6
2020-05-22,0,5,6
2020-05-23,0,5,6
2020-05-24,0,5,6
2020-05-25,0,7,4
2020-05-26,0,8,3
2020-05-27,0,10,1
2020-05-28,0,9,2
2020-05-29,0,7,4
2020-05-30,0,7,4
2020-05-31,0,7,4
2020-06-01,0,7,4
2020-06-02,0,7,4
2020-06-03,0,6,5
2020-06-04,0,10,1
2020-06-05,0,11,0
2020-06-06,0,9,2
2020-06-07,0,8,3
2020-06-08,0,11,0
2020-06-09,0,11,0
2020-06-10,0,12,0
2020-06-11,0,7,4
2020-06-12,0,7,4
2020-06-13,0,7,4
2020-06-14,0,7,4
2020-06-15,0,6,5
2020-06-16,0,6,5
2020-06-17,0,5,6
2020-06-18,0,6,5
2020-06-19,0,6,5
2020-06-20,0,6,5
2020-06-21,0,7,4
2020-06-22,0,7,4
2020-06-23,0,7,4
2020-06-24,0,8,3
2020-06-25,0,9,2
2020-06-26,0,9,2
2020-06-27,0,9,2
2020-06-28,0,9,2
2020-06-29,0,9,2
2020-06-30,0,5,6
2020-07-01,0,5,6
2020-07-02,1,6,4
2020-07-03,1,6,4
2020-07-04,1,6,4
2020-07-05,1,6,4
2020-07-06,0,8,3
2020-07-07,0,8,3
2020-07-08,0,8,3
2020-07-09,0,13,0
2020-07-10,0,11,0
2020-07-11,0,9,2
2020-07-12,1,10,0
2020-07-13,0,7,4
2020-07-14,0,8,3
2020-07-15,0,7,4
2020-07-16,0,7,4
2020-07-17,0,8,3
2020-07-18,0,8,3
2020-07-19,0,8,3
2020-07-20,0,6,5
2020-07-21,0,7,4
2020-07-22,0,9,2
2020-07-23,0,9,2
2020-07-24,0,10,1
2020-07-25,0,10,1
2020-07-26,0,10,1
2020-07-27,0,8,3
2020-07-28,2,5,4
2020-07-29,0,8,3
2020-07-30,0,5,6
2020-07-31,0,7,4
2020-08-01,0,7,4
2020-08-02,0,7,4
2020-08-03,0,7,4
2020-08-04,0,7,4
2020-08-05,0,9,3
2020-08-06,0,10,2
2020-08-07,0,6,5
2020-08-08,0,6,5
2020-08-09,0,6,5
2020-08-10,1,5,5
2020-08-11,1,7,3
2020-08-12,1,6,4
2020-08-13,1,5,5
2020-08-14,1,6,4
2020-08-15,1,6,4
2020-08-16,1,6,4
2020-08-17,0,8,3
2020-08-18,1,8,2
2020-08-19,1,7,3
2020-08-20,0,7,4
2020-08-21,1,7,3
2020-08-22,1,7,3
2020-08-23,1,7,3
2020-08-24,0,7,4
2020-08-25,0,9,2
2020-08-26,0,8,3
2020-08-27,0,8,3
2020-08-28,0,12,0
2020-08-29,0,12,0
2020-08-30,0,12,0
2020-08-31,1,10,0
2020-09-01,1,8,2
2020-09-02,1,7,3
2020-09-03,0,9,2
2020-09-04,0,8,3
2020-09-05,0,8,3
2020-09-06,0,8,3
2020-09-07,1,7,3
2020-09-08,0,9,2
2020-09-09,0,9,2
2020-09-10,0,9,2
2020-09-11,0,11,0
2020-09-12,0,11,0
2020-09-13,0,11,0
2020-09-14,1,9,1
2020-09-15,0,12,0
2020-09-16,0,10,2
2020-09-17,1,10,1
2020-09-18,0,10,1
2020-09-19,0,10,1
2020-09-20,0,10,1
2020-09-21,0,7,4
2020-09-22,2,8,1
2020-09-23,1,8,2
2020-09-24,0,11,1
2020-09-25,1,7,3
2020-09-26,1,7,3
2020-09-27,1,7,3
2020-09-28,2,8,1
2020-09-29,0,8,3
2020-09-30,0,11,0
2020-10-01,0,9,2
2020-10-02,0,6,5
2020-10-03,0,6,5
2020-10-04,0,8,3
2020-10-05,1,8,2
2020-10-06,0,7,4
2020-10-07,1,5,5
2020-10-08,1,8,2
2020-10-09,2,7,2
2020-10-10,2,7,2
2020-10-11,2,7,2
2020-10-12,2,6,3
2020-10-13,3,6,2
2020-10-14,2,5,4
2020-10-15,2,6,3
2020-10-16,3,5,3
2020-10-17,3,5,3
2020-10-18,3,5,3
2020-10-19,3,6,2
2020-10-20,3,5,3
2020-10-21,3,5,3
2020-10-22,4,5,2
2020-10-23,4,6,1
2020-10-24,4,6,1
2020-10-25,4,6,1
2020-10-26,4,5,2
2020-10-27,3,7,1
2020-10-28,2,7,2
2020-10-29,3,6,2
2020-10-30,3,7,1
2020-10-31,4,5,2
2020-11-01,3,3,5
2020-11-02,3,6,2
2020-11-03,3,5,3
2020-11-04,3,6,2
2020-11-05,3,7,1
2020-11-06,3,7,1
2020-11-07,4,4,3
2020-11-08,4,5,2
2020-11-09,4,6,1
2020-11-10,4,6,1
2020-11-11,4,5,2
2020-11-12,4,5,2
2020-11-13,3,4,4
2020-11-14,3,4,4
2020-11-15,4,4,3
2020-11-16,3,6,2
2020-11-17,3,6,2
2020-11-18,3,4,4
2020-11-19,3,4,4
2020-11-20,3,5,3
2020-11-21,2,4,5
2020-11-22,2,5,4
2020-11-23,2,6,3
2020-11-24,2,5,4
2020-11-25,2,7,2
2020-11-26,2,6,3
2020-11-27,2,8,1
2020-11-28,2,8,1
2020-11-29,2,7,2
2020-11-30,2,7,2
2020-12-01,2,6,2
2020-12-02,2,6,2
2020-12-03,3,5,2
2020-12-04,2,6,2
2020-12-05,3,3,4
2020-12-06,2,4,4
2020-12-07,3,5,2
2020-12-08,3,5,2
2020-12-09,3,6,0
2020-12-10,3,6,0
2020-12-11,2,5,2
2020-12-12,2,4,3
2020-12-13,2,6,1
2020-12-14,2,5,2
2020-12-15,3,4,2
2020-12-16,6,4,0
2020-12-17,6,2,1
2020-12-18,5,2,2
2020-12-19,5,2,2
2020-12-20,5,3,1
2020-12-21,6,2,1
2020-12-22,5,3,1
2020-12-23,5,3,1
2020-12-24,6,1,2
2020-12-25,6,1,2
2020-12-26,6,1,2
2020-12-27,6,1,2
2020-12-28,5,1,3
2020-12-29,5,1,3
2020-12-30,6,1,2
2020-12-31,6,1,2
2021-01-01,6,3,0
2021-01-02,6,1,2
2021-01-03,6,2,1
2021-01-04,6,2,1
2021-01-05,6,2,1
2021-01-06,6,3,0
2021-01-07,6,2,1
2021-01-08,7,2,1
2021-01-09,7,2,1
2021-01-10,7,1,1
2021-01-11,6,3,1
2021-01-12,4,5,1
2021-01-13,1,8,1
2021-01-14,1,9,0
2021-01-15,3,6,1
2021-01-16,4,5,1
2021-01-17,4,5,1
2021-01-18,4,5,1
2021-01-19,5,2,3
2021-01-20,5,3,2
2021-01-21,4,4,2
2021-01-22,4,5,1
2021-01-23,5,2,3
2021-01-24,4,2,4
2021-01-25,3,6,1
2021-01-26,3,6,1
2021-01-27,4,5,1
2021-01-28,5,4,1
2021-01-29,5,4,2
2021-01-30,4,6,1
2021-01-31,4,6,1
2021-02-01,5,3,3
2021-02-02,4,6,1
2021-02-03,4,7,1
2021-02-04,4,2,6
2021-02-05,4,4,4
2021-02-06,4,4,4
2021-02-07,4,3,5
2021-02-08,3,6,3
2021-02-09,4,3,5
2021-02-10,4,4,4
2021-02-11,4,3,5
2021-02-12,4,4,4
2021-02-13,4,4,4
2021-02-14,4,4,4
2021-02-15,4,5,3
2021-02-16,3,4,5
2021-02-17,3,4,5
2021-02-18,2,3,7
2021-02-19,2,4,6
2021-02-20,2,3,7
2021-02-21,2,3,7
2021-02-22,3,3,6
2021-02-23,3,4,5
2021-02-24,3,3,6
2021-02-25,3,5,4
2021-02-26,4,4,4
2021-02-27,4,3,5
2021-02-28,4,3,5
2021-03-01,4,4,4
2021-03-02,4,5,2
2021-03-03,4,4,3
2021-03-04,4,3,4
2021-03-05,4,2,5
2021-03-06,4,2,5
2021-03-07,4,4,3
2021-03-08,4,3,4
2021-03-09,4,3,4
2021-03-10,1,3,7
2021-03-11,0,5,6
2021-03-12,0,2,9
2021-03-13,0,5,6
2021-03-14,0,3,8
2021-03-15,1,5,5
2021-03-16,2,4,5
2021-03-17,2,6,3
2021-03-18,4,5,2
2021-03-19,4,3,4
2021-03-20,5,3,3
2021-03-21,5,3,3
2021-03-22,3,4,4
2021-03-23,2,4,5
2021-03-24,2,7,2
2021-03-25,2,7,2
2021-03-26,2,6,3
2021-03-27,2,4,5
2021-03-28,2,4,5
2021-03-29,3,4,4
2021-03-30,3,5,3
2021-03-31,3,3,5
2021-04-01,3,2,6
2021-04-02,3,3,5
2021-04-03,3,1,7
2021-04-04,3,1,7
2021-04-05,3,2,6
2021-04-06,3,1,7
2021-04-07,2,3,6
2021-04-08,2,3,6
2021-04-09,2,5,4
2021-04-10,2,5,4
2021-04-11,2,4,5
2021-04-12,2,7,3
2021-04-13,2,4,6
2021-04-14,2,6,4
2021-04-15,3,5,4
2021-04-16,2,5,5
2021-04-17,2,4,6
2021-04-18,4,3,5
2021-04-19,3,3,6
2021-04-20,3,3,6
2021-04-21,2,7,3
2021-04-22,3,5,4
2021-04-23,3,4,5
2021-04-24,3,4,5
2021-04-25,3,3,6
2021-04-26,4,4,4
2021-04-27,4,6,2
2021-04-28,4,1,7
2021-04-29,3,3,6
2021-04-30,3,2,7
2021-05-01,3,2,7
2021-05-02,3,2,7
2021-05-03,3,2,7
2021-05-04,3,2,7
2021-05-05,3,3,6
2021-05-06,3,3,6
2021-05-07,3,1,8
2021-05-08,3,1,8
2021-05-09,3,1,8
2021-05-10,4,2,6
2021-05-11,3,4,5
2021-05-12,3,4,5
2021-05-13,3,4,5
2021-05-14,3,4,5
