day,covid19,noncovid19,free
2020-03-30,4,-3,99
2020-03-31,3,38,59
2020-04-01,10,128,103
2020-04-02,12,159,128
2020-04-03,10,147,142
2020-04-04,12,148,139
2020-04-05,12,121,166
2020-04-06,13,123,161
2020-04-07,10,131,164
2020-04-08,8,130,167
2020-04-09,9,123,173
2020-04-10,7,102,182
2020-04-11,6,91,194
2020-04-12,7,87,197
2020-04-13,8,90,193
2020-04-14,14,104,173
2020-04-15,13,102,174
2020-04-16,16,122,151
2020-04-17,12,115,162
2020-04-18,11,111,167
2020-04-19,11,123,155
2020-04-20,11,143,151
2020-04-21,11,154,140
2020-04-22,7,156,142
2020-04-23,8,160,137
2020-04-24,6,148,151
2020-04-25,5,135,165
2020-04-26,9,121,175
2020-04-27,9,160,136
2020-04-28,9,190,106
2020-04-29,8,192,105
2020-04-30,5,202,99
2020-05-01,4,156,146
2020-05-02,3,143,160
2020-05-03,4,145,157
2020-05-04,3,162,141
2020-05-05,4,207,95
2020-05-06,2,212,92
2020-05-07,1,180,125
2020-05-08,0,172,133
2020-05-09,0,147,161
2020-05-10,0,123,185
2020-05-11,2,151,155
2020-05-12,3,165,140
2020-05-13,2,185,121
2020-05-14,1,199,108
2020-05-15,0,184,124
2020-05-16,1,158,149
2020-05-17,3,143,141
2020-05-18,3,175,109
2020-05-19,0,189,98
2020-05-20,0,175,112
2020-05-21,0,152,135
2020-05-22,1,158,128
2020-05-23,1,158,128
2020-05-24,1,158,128
2020-05-25,2,176,109
2020-05-26,1,198,88
2020-05-27,1,197,89
2020-05-28,0,197,90
2020-05-29,0,191,96
2020-05-30,0,191,96
2020-05-31,0,191,96
2020-06-01,0,156,131
2020-06-02,1,147,139
2020-06-03,1,148,138
2020-06-04,0,201,86
2020-06-05,0,203,84
2020-06-06,0,181,106
2020-06-07,0,168,119
2020-06-08,3,169,115
2020-06-09,1,181,105
2020-06-10,0,177,109
2020-06-11,0,179,108
2020-06-12,2,180,105
2020-06-13,2,180,105
2020-06-14,2,180,105
2020-06-15,0,168,119
2020-06-16,0,176,111
2020-06-17,0,181,106
2020-06-18,2,180,105
2020-06-19,1,169,117
2020-06-20,1,169,117
2020-06-21,0,160,127
2020-06-22,0,147,140
2020-06-23,0,160,127
2020-06-24,0,166,121
2020-06-25,0,206,81
2020-06-26,0,206,81
2020-06-27,0,206,81
2020-06-28,0,206,81
2020-06-29,0,195,92
2020-06-30,2,203,82
2020-07-01,2,203,82
2020-07-02,0,212,75
2020-07-03,0,212,75
2020-07-04,0,212,75
2020-07-05,0,212,75
2020-07-06,0,174,113
2020-07-07,0,174,113
2020-07-08,0,174,113
2020-07-09,3,212,70
2020-07-10,1,219,67
2020-07-11,1,198,88
2020-07-12,0,193,108
2020-07-13,0,155,146
2020-07-14,0,164,137
2020-07-15,0,189,112
2020-07-16,0,193,108
2020-07-17,1,204,96
2020-07-18,1,204,96
2020-07-19,1,204,96
2020-07-20,1,151,149
2020-07-21,2,183,116
2020-07-22,2,186,113
2020-07-23,1,178,122
2020-07-24,2,176,123
2020-07-25,2,176,123
2020-07-26,2,176,123
2020-07-27,2,163,136
2020-07-28,2,169,130
2020-07-29,2,161,138
2020-07-30,3,141,157
2020-07-31,4,137,160
2020-08-01,4,137,160
2020-08-02,4,137,160
2020-08-03,2,148,151
2020-08-04,1,163,137
2020-08-05,1,162,137
2020-08-06,0,177,123
2020-08-07,0,177,124
2020-08-08,0,177,124
2020-08-09,0,177,124
2020-08-10,1,160,140
2020-08-11,4,176,121
2020-08-12,4,196,101
2020-08-13,3,207,91
2020-08-14,3,192,106
2020-08-15,3,192,106
2020-08-16,3,192,106
2020-08-17,3,178,120
2020-08-18,3,178,120
2020-08-19,4,178,119
2020-08-20,2,187,112
2020-08-21,2,179,120
2020-08-22,2,179,120
2020-08-23,2,179,120
2020-08-24,2,185,114
2020-08-25,3,185,113
2020-08-26,0,203,98
2020-08-27,0,195,106
2020-08-28,0,183,117
2020-08-29,0,183,117
2020-08-30,0,183,117
2020-08-31,2,174,125
2020-09-01,2,192,107
