day,covid19,noncovid19,free
2020-03-30,10,8,24
2020-03-31,10,9,23
2020-04-01,10,10,22
2020-04-02,12,14,16
2020-04-03,15,14,13
2020-04-04,15,12,15
2020-04-05,15,14,13
2020-04-06,14,13,31
2020-04-07,15,14,29
2020-04-08,16,16,30
2020-04-09,16,14,32
2020-04-10,17,7,38
2020-04-11,18,8,36
2020-04-12,20,11,31
2020-04-13,18,11,33
2020-04-14,18,10,34
2020-04-15,16,12,32
2020-04-16,15,14,29
2020-04-17,14,14,30
2020-04-18,14,11,31
2020-04-19,14,13,27
2020-04-20,14,10,30
2020-04-21,11,17,24
2020-04-22,11,17,24
2020-04-23,10,13,29
2020-04-24,11,11,28
2020-04-25,11,11,28
2020-04-26,10,13,27
2020-04-27,9,13,28
2020-04-28,9,14,27
2020-04-29,9,15,26
2020-04-30,8,16,18
2020-05-01,7,19,16
2020-05-02,7,12,23
2020-05-03,7,6,29
2020-05-04,7,9,22
2020-05-05,7,14,17
2020-05-06,7,17,14
2020-05-07,5,19,14
2020-05-08,5,16,17
2020-05-09,5,18,15
2020-05-10,5,18,15
2020-05-11,5,17,16
2020-05-12,4,14,20
2020-05-13,5,22,11
2020-05-14,3,21,14
2020-05-15,4,18,16
2020-05-16,4,15,19
2020-05-17,4,15,19
2020-05-18,4,15,19
2020-05-19,4,19,15
2020-05-20,4,18,16
2020-05-21,4,23,11
2020-05-22,3,17,18
2020-05-23,2,24,12
2020-05-24,2,23,13
2020-05-25,0,21,17
2020-05-26,0,22,16
2020-05-27,0,22,16
2020-05-28,0,20,18
2020-05-29,0,18,20
2020-05-30,0,19,19
2020-05-31,0,22,16
2020-06-01,0,16,22
2020-06-02,0,16,22
2020-06-03,0,16,22
2020-06-04,1,18,19
2020-06-05,2,18,18
2020-06-06,2,18,18
2020-06-07,2,18,18
2020-06-08,1,20,17
2020-06-09,1,20,17
2020-06-10,1,21,16
2020-06-11,1,18,19
2020-06-12,1,18,19
2020-06-13,1,18,19
2020-06-14,1,18,19
2020-06-15,1,17,20
2020-06-16,1,17,20
2020-06-17,1,17,20
2020-06-18,1,21,16
2020-06-19,1,22,15
2020-06-20,1,22,15
2020-06-21,1,22,15
2020-06-22,1,22,15
2020-06-23,1,22,15
2020-06-24,1,23,14
2020-06-25,1,24,13
2020-06-26,1,24,13
2020-06-27,1,24,13
2020-06-28,1,24,13
2020-06-29,1,18,19
2020-06-30,1,18,19
2020-07-01,1,18,19
2020-07-02,0,17,21
2020-07-03,0,16,22
2020-07-04,0,16,22
2020-07-05,0,16,22
2020-07-06,1,22,15
2020-07-07,1,22,15
2020-07-08,2,21,15
2020-07-09,2,16,20
2020-07-10,2,18,18
2020-07-11,2,18,18
2020-07-12,2,18,18
2020-07-13,2,20,16
2020-07-14,2,17,19
2020-07-15,2,15,21
2020-07-16,2,15,21
2020-07-17,1,19,18
2020-07-18,1,19,18
2020-07-19,1,21,16
2020-07-20,1,15,22
2020-07-21,0,13,25
2020-07-22,0,18,20
2020-07-23,0,23,15
2020-07-24,0,23,15
