day,covid19,noncovid19,free
2020-03-30,0,10,18
2020-03-31,0,9,19
2020-04-01,0,10,18
2020-04-02,0,10,18
2020-04-03,0,13,15
2020-04-04,0,10,18
2020-04-05,0,11,17
2020-04-06,0,14,14
2020-04-07,0,13,15
2020-04-08,0,13,11
2020-04-09,0,14,10
2020-04-10,0,11,13
2020-04-11,0,11,13
2020-04-12,0,9,15
2020-04-13,0,13,11
2020-04-14,0,15,9
2020-04-15,0,15,11
2020-04-16,0,18,8
2020-04-17,0,15,9
2020-04-18,0,16,8
2020-04-19,0,15,9
2020-04-20,0,17,7
2020-04-21,0,16,8
2020-04-22,0,16,8
2020-04-23,0,19,5
2020-04-24,0,18,6
2020-04-25,0,16,8
2020-04-26,0,13,11
2020-04-27,0,15,9
2020-04-28,0,16,8
2020-04-29,0,18,6
2020-04-30,0,19,5
2020-05-01,5,13,6
2020-05-02,2,14,8
2020-05-03,2,15,37
2020-05-04,0,16,42
2020-05-05,6,26,56
2020-05-06,0,29,59
2020-05-07,1,26,61
2020-05-08,1,32,55
2020-05-09,1,25,62
2020-05-10,2,28,58
2020-05-11,2,26,60
2020-05-12,3,30,55
2020-05-13,2,25,61
2020-05-14,0,28,60
2020-05-15,0,26,62
2020-05-16,0,26,62
2020-05-17,0,26,62
2020-05-18,0,20,68
2020-05-19,0,17,71
2020-05-20,0,23,65
2020-05-21,0,24,64
2020-05-22,2,27,59
2020-05-23,0,23,65
2020-05-24,0,23,65
2020-05-25,1,23,64
2020-05-26,1,23,64
2020-05-27,1,23,64
2020-05-28,0,21,67
2020-05-29,0,19,69
2020-05-30,0,19,69
2020-05-31,0,19,69
2020-06-01,0,20,68
2020-06-02,0,14,74
2020-06-03,0,17,71
2020-06-04,0,17,71
2020-06-05,0,26,62
2020-06-06,0,26,62
2020-06-07,0,26,62
2020-06-08,0,20,68
2020-06-09,0,20,68
2020-06-10,0,20,68
2020-06-11,0,25,63
2020-06-12,0,25,63
2020-06-13,0,25,63
2020-06-14,0,25,63
2020-06-15,0,15,73
2020-06-16,0,15,73
2020-06-17,0,17,71
2020-06-18,0,17,71
2020-06-19,0,22,66
2020-06-20,0,22,66
2020-06-21,0,22,66
2020-06-22,0,22,66
2020-06-23,0,22,66
2020-06-24,0,24,64
2020-06-25,0,26,62
2020-06-26,0,25,63
2020-06-27,0,25,63
2020-06-28,0,25,63
2020-06-29,0,21,67
2020-06-30,0,21,67
2020-07-01,0,21,67
2020-07-02,0,19,69
2020-07-03,1,18,69
2020-07-04,1,18,69
2020-07-05,1,18,69
2020-07-06,0,25,63
2020-07-07,0,25,63
2020-07-08,0,26,62
2020-07-09,3,24,61
2020-07-10,3,24,61
2020-07-11,3,24,61
2020-07-12,3,24,61
2020-07-13,3,18,67
2020-07-14,3,18,67
2020-07-15,3,21,64
2020-07-16,3,21,64
2020-07-17,3,25,60
2020-07-18,3,25,60
2020-07-19,4,24,60
2020-07-20,4,22,62
2020-07-21,5,24,59
2020-07-22,1,27,60
2020-07-23,1,24,63
2020-07-24,2,25,61
2020-07-25,1,26,61
2020-07-26,2,25,61
2020-07-27,1,26,61
2020-07-28,6,21,61
2020-07-29,2,28,58
2020-07-30,2,27,59
2020-07-31,0,26,62
2020-08-01,0,26,62
2020-08-02,0,26,62
2020-08-03,1,27,60
2020-08-04,1,27,60
2020-08-05,1,29,58
2020-08-06,1,27,60
2020-08-07,1,27,60
2020-08-08,1,27,60
