day,covid19,noncovid19,free
2020-03-30,110,14,54
2020-03-31,110,17,53
2020-04-01,103,24,53
2020-04-02,62,19,51
2020-04-03,59,17,34
2020-04-04,56,24,30
2020-04-05,59,22,29
2020-04-06,59,12,39
2020-04-07,56,19,35
2020-04-08,55,22,33
2020-04-09,56,23,36
2020-04-10,55,25,27
2020-04-11,56,20,31
2020-04-12,54,18,35
2020-04-13,53,22,27
2020-04-14,53,17,23
2020-04-15,52,22,19
2020-04-16,49,19,25
2020-04-17,46,19,28
2020-04-18,45,16,32
2020-04-19,45,19,29
2020-04-20,42,23,28
2020-04-21,40,21,32
2020-04-22,35,22,36
2020-04-23,31,19,43
2020-04-24,33,22,38
2020-04-25,32,21,40
2020-04-26,32,24,37
2020-04-27,31,22,40
2020-04-28,31,20,42
2020-04-29,30,18,45
2020-04-30,30,20,43
2020-05-01,9,21,23
2020-05-02,8,12,33
2020-05-03,8,15,30
2020-05-04,7,15,32
2020-05-05,6,19,28
2020-05-06,5,20,20
2020-05-07,4,13,28
2020-05-08,4,20,21
2020-05-09,3,20,22
2020-05-10,3,17,25
2020-05-11,3,16,26
2020-05-12,2,20,23
2020-05-13,2,22,21
2020-05-14,2,23,20
2020-05-15,2,22,21
2020-05-16,2,23,20
2020-05-17,1,22,22
2020-05-18,1,24,20
2020-05-19,2,19,24
2020-05-20,2,18,25
2020-05-21,3,16,26
2020-05-22,3,18,24
2020-05-23,3,17,25
2020-05-24,2,17,26
2020-05-25,5,16,38
2020-05-26,5,25,29
2020-05-27,4,26,29
2020-05-28,4,26,29
2020-05-29,4,25,30
2020-05-30,4,26,29
2020-05-31,4,26,29
2020-06-01,1,18,26
2020-06-02,1,18,26
2020-06-03,1,18,26
2020-06-04,1,19,25
2020-06-05,1,19,25
2020-06-06,1,20,24
2020-06-07,1,20,24
2020-06-08,2,14,29
2020-06-09,1,14,30
2020-06-10,0,14,31
2020-06-11,0,18,27
2020-06-12,0,18,27
2020-06-13,0,18,27
2020-06-14,0,18,27
2020-06-15,0,20,30
2020-06-16,0,20,30
2020-06-17,0,20,30
2020-06-18,0,19,31
2020-06-19,0,18,32
2020-06-20,0,18,32
2020-06-21,0,18,32
2020-06-22,0,16,34
2020-06-23,0,14,36
2020-06-24,0,14,36
2020-06-25,0,16,34
2020-06-26,0,18,32
2020-06-27,0,18,32
2020-06-28,0,18,32
2020-06-29,0,19,32
2020-06-30,0,19,32
2020-07-01,0,20,31
2020-07-02,0,28,23
2020-07-03,0,26,25
2020-07-04,0,26,25
2020-07-05,0,26,25
2020-07-06,0,23,28
2020-07-07,0,22,29
2020-07-08,0,22,29
2020-07-09,0,24,27
2020-07-10,0,19,32
2020-07-11,0,19,32
2020-07-12,0,19,32
2020-07-13,0,20,31
2020-07-14,0,19,32
2020-07-15,1,21,37
2020-07-16,2,24,33
2020-07-17,2,24,33
2020-07-18,2,24,33
2020-07-19,2,24,33
2020-07-20,2,18,39
2020-07-21,1,19,39
2020-07-22,0,17,34
2020-07-23,0,15,36
2020-07-24,0,22,29
2020-07-25,0,22,29
2020-07-26,0,22,29
2020-07-27,0,14,37
2020-07-28,0,17,34
2020-07-29,0,18,33
2020-07-30,0,14,37
2020-07-31,0,20,31
2020-08-01,0,20,31
2020-08-02,0,20,31
2020-08-03,0,13,38
2020-08-04,0,13,38
2020-08-05,0,13,38
