day,covid19,noncovid19,free
2020-03-30,152,269,458
2020-03-31,147,252,480
2020-04-01,301,242,400
2020-04-02,331,294,359
2020-04-03,332,324,459
2020-04-04,318,313,486
2020-04-05,291,313,513
2020-04-06,292,342,481
2020-04-07,289,319,477
2020-04-08,299,332,446
2020-04-09,271,344,457
2020-04-10,199,310,571
2020-04-11,192,293,595
2020-04-12,180,267,633
2020-04-13,186,294,552
2020-04-14,185,292,495
2020-04-15,217,290,465
2020-04-16,156,344,552
2020-04-17,163,312,577
2020-04-18,153,418,481
2020-04-19,150,322,580
2020-04-20,148,345,559
2020-04-21,151,348,494
2020-04-22,128,384,481
2020-04-23,124,385,484
2020-04-24,118,393,482
2020-04-25,112,410,471
2020-04-26,113,392,488
2020-04-27,113,421,459
2020-04-28,112,419,524
2020-04-29,106,438,511
2020-04-30,98,445,445
2020-05-01,42,457,399
2020-05-02,43,444,428
2020-05-03,45,451,419
2020-05-04,46,318,482
2020-05-05,36,498,312
2020-05-06,32,499,323
2020-05-07,34,508,313
2020-05-08,24,488,343
2020-05-09,25,486,344
2020-05-10,25,482,348
2020-05-11,25,512,318
2020-05-12,25,519,311
2020-05-13,25,519,311
2020-05-14,21,525,309
2020-05-15,9,520,271
2020-05-16,9,515,276
2020-05-17,11,502,287
2020-05-18,11,515,274
2020-05-19,9,399,188
2020-05-20,7,434,153
2020-05-21,6,380,208
2020-05-22,5,390,201
2020-05-23,5,370,219
2020-05-24,6,353,235
2020-05-25,6,514,349
2020-05-26,7,545,317
2020-05-27,7,560,308
2020-05-28,6,574,310
2020-05-29,6,583,305
2020-05-30,6,549,313
2020-05-31,6,535,313
2020-06-01,5,352,215
2020-06-02,3,358,215
2020-06-03,3,379,208
2020-06-04,3,435,158
2020-06-05,4,447,152
2020-06-06,5,445,153
2020-06-07,4,446,153
2020-06-08,2,386,178
2020-06-09,2,398,177
2020-06-10,3,399,183
2020-06-11,3,393,195
2020-06-12,2,369,199
2020-06-13,2,363,199
2020-06-14,1,363,199
2020-06-15,1,389,181
2020-06-16,1,413,175
2020-06-17,1,416,175
2020-06-18,2,432,90
2020-06-19,2,425,98
2020-06-20,2,413,98
2020-06-21,2,393,98
2020-06-22,2,432,124
2020-06-23,2,439,123
2020-06-24,2,447,119
2020-06-25,2,459,111
2020-06-26,2,454,120
2020-06-27,2,442,120
2020-06-28,2,422,120
2020-06-29,2,411,125
2020-06-30,2,428,123
2020-07-01,1,439,123
2020-07-02,0,621,105
2020-07-03,0,644,105
2020-07-04,0,632,105
2020-07-05,0,628,105
2020-07-06,0,567,165
2020-07-07,0,581,167
2020-07-08,1,601,159
2020-07-09,1,593,173
2020-07-10,2,416,130
2020-07-11,1,393,130
2020-07-12,1,390,130
2020-07-13,1,414,109
2020-07-14,1,447,104
2020-07-15,4,598,134
2020-07-16,3,602,143
2020-07-17,3,597,138
2020-07-18,3,571,138
2020-07-19,3,555,138
2020-07-20,3,548,154
2020-07-21,4,560,147
2020-07-22,1,424,123
2020-07-23,1,467,89
2020-07-24,1,461,96
2020-07-25,1,448,96
2020-07-26,1,435,96
2020-07-27,1,421,112
2020-07-28,1,443,101
2020-07-29,1,441,103
2020-07-30,1,464,80
2020-07-31,1,446,89
2020-08-01,1,442,89
2020-08-02,1,443,89
2020-08-03,1,440,94
2020-08-04,1,436,103
2020-08-05,1,454,104
2020-08-06,3,624,148
2020-08-07,3,609,157
2020-08-08,3,595,157
2020-08-09,3,582,157
2020-08-10,2,587,161
2020-08-11,1,614,142
2020-08-12,1,622,146
2020-08-13,2,601,159
2020-08-14,1,606,151
2020-08-15,1,581,151
2020-08-16,1,573,151
2020-08-17,2,602,131
2020-08-18,2,625,121
2020-08-19,1,649,107
2020-08-20,2,644,107
2020-08-21,2,596,167
2020-08-22,2,581,167
2020-08-23,2,565,167
2020-08-24,2,585,159
2020-08-25,2,603,163
2020-08-26,0,606,157
2020-08-27,0,621,148
2020-08-28,0,601,157
2020-08-29,1,591,157
2020-08-30,1,580,157
2020-08-31,1,582,160
2020-09-01,1,621,146
2020-09-02,1,624,140
2020-09-03,1,639,123
2020-09-04,1,622,134
2020-09-05,0,613,134
2020-09-06,0,596,134
2020-09-07,0,594,142
2020-09-08,0,603,145
2020-09-09,0,613,139
2020-09-10,0,481,77
2020-09-11,0,473,79
2020-09-12,0,463,79
2020-09-13,0,447,79
2020-09-14,0,422,104
2020-09-15,0,481,79
2020-09-16,0,496,73
2020-09-17,0,694,81
2020-09-18,0,698,82
2020-09-19,0,686,82
2020-09-20,0,673,82
2020-09-21,0,632,112
2020-09-22,0,682,87
2020-09-23,0,670,95
2020-09-24,0,667,101
2020-09-25,1,687,90
2020-09-26,1,687,90
