day,covid19,noncovid19,free
2020-03-30,5,23,18
2020-03-31,6,20,20
2020-04-01,5,22,19
2020-04-02,1,18,27
2020-04-03,4,17,25
2020-04-04,6,11,29
2020-04-05,5,12,29
2020-04-06,4,17,25
2020-04-07,3,16,27
2020-04-08,2,22,22
2020-04-09,3,23,20
2020-04-10,5,22,19
2020-04-11,8,20,18
2020-04-12,5,21,20
2020-04-13,4,21,21
2020-04-14,1,19,26
2020-04-15,0,23,23
2020-04-16,0,24,22
2020-04-17,2,20,24
2020-04-18,1,24,21
2020-04-19,1,30,15
2020-04-20,2,31,13
2020-04-21,2,32,12
2020-04-22,3,29,14
2020-04-23,3,33,10
2020-04-24,1,33,12
2020-04-25,1,30,15
2020-04-26,0,26,20
2020-04-27,0,30,16
2020-04-28,2,32,12
2020-04-29,1,33,12
2020-04-30,2,28,16
2020-05-01,2,31,13
2020-05-02,0,30,16
2020-05-03,0,28,18
2020-05-04,1,36,9
2020-05-05,1,40,16
2020-05-06,2,40,15
2020-05-07,2,38,17
2020-05-08,1,37,19
2020-05-09,1,36,20
2020-05-10,1,30,26
2020-05-11,1,37,19
2020-05-12,1,44,12
2020-05-13,1,50,6
2020-05-14,1,45,11
2020-05-15,2,45,10
2020-05-16,2,45,10
2020-05-17,2,45,10
2020-05-18,2,41,14
2020-05-19,2,45,10
2020-05-20,2,47,8
2020-05-21,0,43,14
2020-05-22,0,51,21
2020-05-23,0,51,21
2020-05-24,0,51,21
2020-05-25,0,51,21
2020-05-26,0,57,15
2020-05-27,0,56,16
2020-05-28,0,60,12
2020-05-29,0,52,20
2020-05-30,0,52,20
2020-05-31,0,52,20
2020-06-01,0,52,20
2020-06-02,0,52,20
2020-06-03,0,52,20
2020-06-04,0,42,33
2020-06-05,0,42,33
2020-06-06,0,42,33
2020-06-07,0,42,33
2020-06-08,0,36,39
2020-06-09,0,36,39
2020-06-10,0,36,39
2020-06-11,0,46,29
2020-06-12,0,46,29
2020-06-13,0,46,29
2020-06-14,0,46,29
2020-06-15,0,48,27
2020-06-16,0,48,27
2020-06-17,0,48,27
2020-06-18,0,50,25
2020-06-19,0,50,25
2020-06-20,0,50,25
2020-06-21,0,50,25
2020-06-22,0,50,25
2020-06-23,0,50,25
2020-06-24,0,50,25
2020-06-25,0,57,18
2020-06-26,0,57,18
2020-06-27,0,57,18
2020-06-28,0,57,18
2020-06-29,0,56,19
2020-06-30,0,56,19
2020-07-01,0,56,19
2020-07-02,0,52,23
2020-07-03,0,52,23
2020-07-04,0,52,23
2020-07-05,0,52,23
2020-07-06,0,47,28
2020-07-07,0,47,28
2020-07-08,0,47,28
2020-07-09,0,54,21
2020-07-10,0,51,24
2020-07-11,0,51,24
2020-07-12,0,51,24
2020-07-13,0,45,30
2020-07-14,0,51,24
2020-07-15,0,52,23
2020-07-16,0,50,25
2020-07-17,0,44,31
2020-07-18,0,44,31
2020-07-19,0,44,31
2020-07-20,0,43,32
2020-07-21,0,45,30
2020-07-22,0,51,24
2020-07-23,1,54,20
2020-07-24,1,53,21
2020-07-25,1,53,21
2020-07-26,1,53,21
2020-07-27,1,43,31
2020-07-28,1,50,24
2020-07-29,0,51,24
2020-07-30,0,52,23
2020-07-31,0,42,33
2020-08-01,0,42,33
2020-08-02,0,42,33
2020-08-03,0,49,26
2020-08-04,0,52,23
