day,covid19,noncovid19,free
2020-03-30,66,21,69
2020-03-31,73,25,71
2020-04-01,97,22,61
2020-04-02,98,25,57
2020-04-03,82,28,63
2020-04-04,81,28,64
2020-04-05,80,32,61
2020-04-06,81,30,74
2020-04-07,84,28,62
2020-04-08,85,32,57
2020-04-09,81,32,61
2020-04-10,81,32,61
2020-04-11,81,28,63
2020-04-12,82,32,60
2020-04-13,83,31,60
2020-04-14,79,35,60
2020-04-15,72,32,62
2020-04-16,69,28,59
2020-04-17,59,27,70
2020-04-18,54,29,57
2020-04-19,51,30,59
2020-04-20,49,28,79
2020-04-21,42,35,59
2020-04-22,43,31,60
2020-04-23,40,30,64
2020-04-24,40,33,61
2020-04-25,37,36,61
2020-04-26,44,25,61
2020-04-27,35,31,59
2020-04-28,35,32,58
2020-04-29,33,34,58
2020-04-30,33,37,45
2020-05-01,28,39,46
2020-05-02,24,40,49
2020-05-03,22,45,46
2020-05-04,21,46,46
2020-05-05,18,54,30
2020-05-06,18,51,33
2020-05-07,20,49,33
2020-05-08,17,62,23
2020-05-09,13,56,33
2020-05-10,13,58,31
2020-05-11,17,55,30
2020-05-12,15,54,33
2020-05-13,12,53,37
2020-05-14,14,47,41
2020-05-15,15,50,37
2020-05-16,14,48,40
2020-05-17,14,45,43
2020-05-18,14,44,44
2020-05-19,16,49,37
2020-05-20,15,47,40
2020-05-21,14,49,35
2020-05-22,11,46,41
2020-05-23,11,45,42
2020-05-24,11,50,41
2020-05-25,12,39,51
2020-05-26,10,55,33
2020-05-27,10,61,27
2020-05-28,8,53,37
2020-05-29,8,53,37
2020-05-30,8,53,37
2020-05-31,8,56,34
2020-06-01,8,56,34
2020-06-02,10,46,37
2020-06-03,7,54,32
2020-06-04,7,43,20
2020-06-05,7,38,25
2020-06-06,7,37,26
2020-06-07,7,38,26
2020-06-08,6,43,21
2020-06-09,8,49,13
2020-06-10,8,42,25
2020-06-11,7,43,20
2020-06-12,14,34,23
2020-06-13,15,34,22
2020-06-14,15,35,21
2020-06-15,5,35,31
2020-06-16,4,48,19
2020-06-17,7,46,18
2020-06-18,6,46,19
2020-06-19,5,37,29
2020-06-20,5,40,26
2020-06-21,5,40,26
2020-06-22,5,35,31
2020-06-23,5,41,25
2020-06-24,5,53,13
2020-06-25,3,53,15
2020-06-26,3,50,18
2020-06-27,3,50,18
2020-06-28,3,50,18
2020-06-29,3,46,22
2020-06-30,5,44,22
2020-07-01,5,46,20
2020-07-02,8,45,16
2020-07-03,6,45,18
2020-07-04,6,45,18
2020-07-05,6,45,18
2020-07-06,6,39,24
2020-07-07,4,44,21
2020-07-08,5,40,24
2020-07-09,5,44,20
2020-07-10,4,42,23
2020-07-11,4,39,26
2020-07-12,4,39,26
2020-07-13,3,47,26
2020-07-14,2,57,17
2020-07-15,2,49,25
2020-07-16,2,51,23
2020-07-17,3,51,22
2020-07-18,3,51,22
2020-07-19,3,51,22
2020-07-20,4,50,22
2020-07-21,5,51,20
2020-07-22,5,51,20
2020-07-23,5,47,24
2020-07-24,5,54,31
2020-07-25,5,53,32
2020-07-26,5,53,32
2020-07-27,6,46,38
2020-07-28,5,58,27
2020-07-29,5,55,30
2020-07-30,5,53,32
2020-07-31,4,55,31
2020-08-01,4,55,31
2020-08-02,4,55,31
2020-08-03,6,47,37
2020-08-04,6,46,38
2020-08-05,6,44,40
2020-08-06,6,47,37
2020-08-07,5,44,41
2020-08-08,5,44,41
2020-08-09,5,44,41
2020-08-10,5,42,43
2020-08-11,5,53,32
2020-08-12,5,52,33
2020-08-13,6,58,26
2020-08-14,6,58,26
2020-08-15,6,55,29
2020-08-16,6,55,29
2020-08-17,5,52,33
2020-08-18,5,62,23
2020-08-19,7,66,17
2020-08-20,6,63,21
2020-08-21,6,61,22
2020-08-22,6,61,22
2020-08-23,6,61,22
2020-08-24,8,49,33
2020-08-25,8,54,28
2020-08-26,7,54,29
2020-08-27,8,52,30
2020-08-28,6,60,28
2020-08-29,6,60,28
2020-08-30,6,60,28
2020-08-31,6,54,45
2020-09-01,9,62,27
2020-09-02,10,58,30
2020-09-03,10,61,27
2020-09-04,10,65,23
2020-09-05,10,65,23
2020-09-06,10,65,23
2020-09-07,5,52,33
2020-09-08,3,60,27
2020-09-09,4,55,31
2020-09-10,3,57,30
2020-09-11,3,58,28
2020-09-12,3,58,28
2020-09-13,3,58,28
2020-09-14,3,53,33
2020-09-15,4,53,32
2020-09-16,4,63,23
2020-09-17,3,63,23
2020-09-18,3,66,20
2020-09-19,3,64,22
2020-09-20,4,64,21
2020-09-21,4,58,27
2020-09-22,6,58,29
2020-09-23,6,56,27
2020-09-24,6,57,26
2020-09-25,7,57,25
2020-09-26,5,60,24
2020-09-27,5,61,23
2020-09-28,5,62,22
2020-09-29,8,59,26
2020-09-30,8,62,23
2020-10-01,6,55,23
2020-10-02,6,58,20
2020-10-03,6,58,20
2020-10-04,6,61,17
2020-10-05,6,56,22
2020-10-06,5,62,17
2020-10-07,7,61,16
2020-10-08,8,62,14
2020-10-09,7,63,14
2020-10-10,7,61,16
2020-10-11,7,64,19
2020-10-12,6,61,23
2020-10-13,6,59,25
2020-10-14,5,55,30
2020-10-15,8,58,20
2020-10-16,8,52,26
2020-10-17,11,52,23
2020-10-18,13,48,25
2020-10-19,20,47,19
2020-10-20,21,42,17
2020-10-21,21,41,18
2020-10-22,21,35,24
2020-10-23,21,36,26
2020-10-24,23,35,25
2020-10-25,25,37,21
2020-10-26,28,35,18
2020-10-27,36,35,12
2020-10-28,33,37,22
2020-10-29,41,32,19
2020-10-30,43,34,15
2020-10-31,43,36,22
2020-11-01,48,37,21
2020-11-02,52,42,20
2020-11-03,61,40,23
2020-11-04,70,41,20
2020-11-05,78,36,30
2020-11-06,77,37,30
2020-11-07,74,38,36
2020-11-08,76,41,27
2020-11-09,77,42,25
2020-11-10,84,42,33
2020-11-11,90,35,34
2020-11-12,94,42,23
2020-11-13,88,50,21
2020-11-14,85,41,33
2020-11-15,86,44,29
2020-11-16,89,40,30
2020-11-17,93,39,27
2020-11-18,95,36,28
2020-11-19,93,37,29
2020-11-20,92,33,34
2020-11-21,91,38,30
2020-11-22,94,35,30
2020-11-23,91,41,27
2020-11-24,93,40,26
2020-11-25,90,41,28
2020-11-26,82,44,33
2020-11-27,82,42,35
2020-11-28,83,39,35
2020-11-29,88,36,33
2020-11-30,84,42,31
2020-12-01,80,42,33
2020-12-02,78,45,31
2020-12-03,77,43,34
2020-12-04,71,39,44
2020-12-05,75,44,32
2020-12-06,76,43,32
2020-12-07,71,42,38
2020-12-08,72,49,30
2020-12-09,69,48,34
2020-12-10,72,45,34
2020-12-11,75,40,30
2020-12-12,70,45,30
2020-12-13,68,44,33
2020-12-14,67,44,28
2020-12-15,72,47,26
2020-12-16,67,50,28
2020-12-17,65,50,27
2020-12-18,62,50,30
2020-12-19,57,52,31
2020-12-20,56,43,41
2020-12-21,57,40,43
2020-12-22,51,39,42
2020-12-23,53,40,39
2020-12-24,55,42,35
2020-12-25,52,40,40
2020-12-26,49,41,42
2020-12-27,51,42,39
2020-12-28,49,42,35
2020-12-29,47,44,35
2020-12-30,45,41,40
2020-12-31,46,43,37
2021-01-01,48,40,38
2021-01-02,44,38,44
2021-01-03,50,39,37
2021-01-04,50,44,32
2021-01-05,51,46,29
2021-01-06,52,43,31
2021-01-07,53,42,31
2021-01-08,48,47,25
2021-01-09,46,49,25
2021-01-10,48,45,27
2021-01-11,48,37,35
2021-01-12,47,44,37
2021-01-13,45,54,29
2021-01-14,47,54,27
2021-01-15,56,52,20
2021-01-16,58,52,18
2021-01-17,52,49,27
2021-01-18,48,53,20
2021-01-19,49,51,21
2021-01-20,50,53,18
2021-01-21,49,51,21
2021-01-22,47,48,23
2021-01-23,47,48,23
2021-01-24,45,51,23
2021-01-25,42,53,23
2021-01-26,43,48,28
2021-01-27,42,53,24
2021-01-28,43,55,21
2021-01-29,41,52,23
2021-01-30,38,47,31
2021-01-31,36,50,30
2021-02-01,43,47,26
2021-02-02,43,50,23
2021-02-03,40,48,28
2021-02-04,38,50,27
2021-02-05,41,46,28
2021-02-06,38,49,28
2021-02-07,40,44,31
2021-02-08,42,41,32
2021-02-09,44,48,23
2021-02-10,42,39,32
2021-02-11,42,36,35
2021-02-12,39,38,36
2021-02-13,41,46,26
2021-02-14,40,43,30
2021-02-15,42,45,26
2021-02-16,40,45,28
2021-02-17,42,48,23
2021-02-18,42,44,24
2021-02-19,38,45,27
2021-02-20,39,46,25
2021-02-21,42,53,15
2021-02-22,41,47,22
2021-02-23,37,49,24
2021-02-24,37,57,16
2021-02-25,37,52,21
2021-02-26,34,58,18
2021-02-27,32,58,20
2021-02-28,33,56,21
2021-03-01,33,60,18
2021-03-02,36,56,19
2021-03-03,38,55,18
2021-03-04,37,62,12
2021-03-05,37,58,17
2021-03-06,39,61,12
2021-03-07,42,52,18
2021-03-08,41,56,15
2021-03-09,37,63,12
2021-03-10,36,53,22
2021-03-11,36,53,22
2021-03-12,32,59,20
2021-03-13,32,62,17
2021-03-14,36,58,17
2021-03-15,38,59,14
2021-03-16,31,57,20
2021-03-17,29,66,13
2021-03-18,29,61,18
2021-03-19,34,61,13
2021-03-20,35,62,11
2021-03-21,36,67,6
2021-03-22,32,67,9
2021-03-23,35,63,10
2021-03-24,34,59,15
2021-03-25,34,59,16
2021-03-26,30,59,17
2021-03-27,32,59,15
2021-03-28,29,55,22
2021-03-29,29,57,20
2021-03-30,30,52,21
2021-03-31,27,55,18
2021-04-01,31,56,13
2021-04-02,27,57,16
2021-04-03,30,58,12
2021-04-04,29,55,16
2021-04-05,28,56,16
2021-04-06,30,59,17
2021-04-07,36,55,15
2021-04-08,34,50,16
2021-04-09,31,60,9
2021-04-10,32,59,9
2021-04-11,33,56,12
2021-04-12,32,50,19
2021-04-13,33,58,11
2021-04-14,33,53,16
2021-04-15,34,54,14
2021-04-16,34,56,12
2021-04-17,30,55,17
2021-04-18,29,50,23
2021-04-19,29,48,25
2021-04-20,28,51,22
2021-04-21,29,57,15
2021-04-22,32,50,19
2021-04-23,30,50,21
2021-04-24,27,48,26
2021-04-25,27,48,26
2021-04-26,24,51,26
2021-04-27,25,60,16
2021-04-28,25,53,23
2021-04-29,27,59,15
2021-04-30,28,59,14
2021-05-01,27,53,21
2021-05-02,25,52,24
2021-05-03,25,52,24
2021-05-04,22,60,17
2021-05-05,25,56,11
2021-05-06,24,57,18
2021-05-07,22,49,25
2021-05-08,18,58,20
2021-05-09,18,61,17
2021-05-10,23,55,18
2021-05-11,20,53,23
2021-05-12,17,61,18
2021-05-13,17,47,25
2021-05-14,17,49,23
2021-05-15,21,51,17
2021-05-16,19,51,19
2021-05-17,19,59,18
2021-05-18,20,60,16
2021-05-19,20,66,10
2021-05-20,16,59,11
2021-05-21,19,54,13
2021-05-22,18,52,16
2021-05-23,19,51,16
2021-05-24,17,52,17
2021-05-25,19,49,18
2021-05-26,16,56,14
2021-05-27,17,60,9
2021-05-28,16,63,7
2021-05-29,17,54,15
2021-05-30,16,54,16
2021-05-31,21,51,14
2021-06-01,21,55,10
2021-06-02,16,55,15
2021-06-03,15,57,14
2021-06-04,13,53,20
2021-06-05,14,49,23
2021-06-06,14,53,19
2021-06-07,16,50,20
2021-06-08,17,53,16
2021-06-09,16,59,11
2021-06-10,15,58,13
2021-06-11,11,64,11
2021-06-12,12,59,15
2021-06-13,13,63,10
2021-06-14,15,57,14
2021-06-15,12,62,12
2021-06-16,11,54,14
2021-06-17,13,60,13
2021-06-18,13,60,13
2021-06-19,9,63,14
2021-06-20,9,62,15
2021-06-21,10,61,15
2021-06-22,9,61,16
2021-06-23,8,64,14
2021-06-24,8,62,16
2021-06-25,8,63,15
2021-06-26,8,59,19
2021-06-27,8,62,16
2021-06-28,7,62,17
2021-06-29,5,64,17
2021-06-30,4,65,17
2021-07-01,3,66,17
2021-07-02,4,69,13
2021-07-03,5,66,15
2021-07-04,5,65,16
2021-07-05,4,66,16
2021-07-06,5,65,16
2021-07-07,5,66,15
2021-07-08,4,66,16
2021-07-09,5,62,19
2021-07-10,5,59,22
2021-07-11,5,61,20
2021-07-12,5,63,18
2021-07-13,4,62,20
2021-07-14,4,67,15
2021-07-15,3,67,16
2021-07-16,3,69,14
2021-07-17,2,67,17
