day,covid19,noncovid19,free
2020-03-30,239,637,842
2020-03-31,255,559,961
2020-04-01,240,605,944
2020-04-02,271,592,936
2020-04-03,275,577,979
2020-04-04,285,591,955
2020-04-05,276,579,976
2020-04-06,273,599,930
2020-04-07,269,631,913
2020-04-08,259,597,957
2020-04-09,236,594,961
2020-04-10,230,592,969
2020-04-11,209,584,1000
2020-04-12,208,599,984
2020-04-13,213,602,976
2020-04-14,219,618,954
2020-04-15,205,593,989
2020-04-16,194,632,926
2020-04-17,182,658,912
2020-04-18,176,654,938
2020-04-19,178,663,927
2020-04-20,178,690,884
2020-04-21,169,689,904
2020-04-22,159,691,898
2020-04-23,159,677,912
2020-04-24,147,640,961
2020-04-25,152,670,942
2020-04-26,152,710,905
2020-04-27,163,739,870
2020-04-28,155,750,867
2020-04-29,130,791,851
2020-04-30,124,773,860
2020-05-01,119,787,853
2020-05-02,105,745,863
2020-05-03,106,697,910
2020-05-04,116,747,862
2020-05-05,120,832,773
2020-05-06,94,878,753
2020-05-07,85,889,753
2020-05-08,83,872,772
2020-05-09,78,836,803
2020-05-10,80,832,805
2020-05-11,83,864,806
2020-05-12,87,939,728
2020-05-13,84,943,691
2020-05-14,79,960,679
2020-05-15,70,976,672
2020-05-16,57,845,816
2020-05-17,58,925,735
2020-05-18,55,871,705
2020-05-19,55,938,638
2020-05-20,48,974,662
2020-05-21,47,842,744
2020-05-22,45,873,715
2020-05-23,40,793,800
2020-05-24,41,785,807
2020-05-25,41,830,762
2020-05-26,45,906,693
2020-05-27,50,899,695
2020-05-28,40,912,692
2020-05-29,45,944,655
2020-05-30,45,938,661
2020-05-31,45,937,662
2020-06-01,45,945,654
2020-06-02,40,910,699
2020-06-03,37,971,641
2020-06-04,40,922,385
2020-06-05,42,917,388
2020-06-06,42,904,401
2020-06-07,42,899,405
2020-06-08,33,940,374
2020-06-09,24,929,432
2020-06-10,21,985,374
2020-06-11,22,873,490
2020-06-12,12,924,410
2020-06-13,12,920,414
2020-06-14,12,920,414
2020-06-15,25,947,369
2020-06-16,22,942,377
2020-06-17,21,898,422
2020-06-18,18,964,359
2020-06-19,15,957,369
2020-06-20,15,955,371
2020-06-21,15,955,371
2020-06-22,23,916,402
2020-06-23,23,904,414
2020-06-24,15,951,375
2020-06-25,15,980,346
2020-06-26,22,958,361
2020-06-27,22,958,361
2020-06-28,22,958,361
2020-06-29,23,936,382
2020-06-30,20,976,345
2020-07-01,20,972,349
2020-07-02,19,934,375
2020-07-03,24,923,385
2020-07-04,24,920,387
2020-07-05,24,920,387
2020-07-06,21,909,401
2020-07-07,19,968,344
2020-07-08,18,966,347
2020-07-09,18,933,380
2020-07-10,10,936,382
2020-07-11,10,941,377
2020-07-12,10,947,371
2020-07-13,14,903,415
2020-07-14,13,1005,314
2020-07-15,14,1007,340
2020-07-16,12,954,387
2020-07-17,9,954,390
2020-07-18,9,954,390
2020-07-19,9,954,390
2020-07-20,12,940,421
2020-07-21,18,1025,330
2020-07-22,16,1019,338
2020-07-23,17,1016,340
2020-07-24,14,1005,530
2020-07-25,14,1007,528
2020-07-26,14,1007,528
2020-07-27,14,1007,528
2020-07-28,12,1149,388
2020-07-29,14,1132,403
2020-07-30,19,979,551
2020-07-31,16,970,563
2020-08-01,16,970,563
2020-08-02,16,970,563
2020-08-03,14,972,563
2020-08-04,18,988,543
2020-08-05,17,1014,518
2020-08-06,13,1036,500
2020-08-07,10,969,570
2020-08-08,10,969,570
2020-08-09,10,969,570
2020-08-10,8,965,576
2020-08-11,18,964,589
2020-08-12,19,1033,519
2020-08-13,19,1046,506
2020-08-14,21,1047,503
2020-08-15,21,1026,524
2020-08-16,21,1026,524
2020-08-17,21,914,616
2020-08-18,15,998,516
2020-08-19,13,1043,474
2020-08-20,15,1029,485
2020-08-21,17,1102,411
2020-08-22,17,1102,411
2020-08-23,17,1102,411
2020-08-24,12,953,564
2020-08-25,17,919,593
2020-08-26,20,1003,506
2020-08-27,15,1053,461
2020-08-28,19,1017,491
2020-08-29,19,1017,491
2020-08-30,19,1017,491
2020-08-31,16,1029,482
2020-09-01,15,1050,464
2020-09-02,12,1063,476
2020-09-03,13,1060,478
2020-09-04,16,1014,521
2020-09-05,16,1014,521
2020-09-06,16,1014,521
2020-09-07,20,942,589
2020-09-08,27,1072,452
2020-09-09,23,1049,479
2020-09-10,21,1041,489
2020-09-11,22,904,626
2020-09-12,22,904,626
2020-09-13,22,904,626
2020-09-14,40,981,531
2020-09-15,34,1067,451
2020-09-16,35,905,611
2020-09-17,35,1016,501
2020-09-18,33,1022,497
2020-09-19,32,998,522
2020-09-20,31,1002,519
2020-09-21,37,968,547
2020-09-22,26,1007,517
2020-09-23,34,946,572
2020-09-24,28,938,586
2020-09-25,18,1030,504
2020-09-26,22,952,578
2020-09-27,22,945,585
2020-09-28,29,898,625
2020-09-29,29,999,520
2020-09-30,25,1036,489
2020-10-01,26,1018,513
2020-10-02,31,1125,419
2020-10-03,29,1119,427
2020-10-04,29,1107,439
2020-10-05,32,1011,514
2020-10-06,32,1004,521
2020-10-07,30,1147,380
2020-10-08,35,1066,456
2020-10-09,39,1031,487
2020-10-10,37,938,582
2020-10-11,40,960,551
2020-10-12,49,971,531
2020-10-13,45,990,516
2020-10-14,50,1054,447
2020-10-15,41,1060,468
2020-10-16,52,1037,480
2020-10-17,55,946,568
2020-10-18,59,966,544
2020-10-19,72,976,521
2020-10-20,83,1024,456
2020-10-21,90,943,530
2020-10-22,104,955,504
2020-10-23,104,895,562
2020-10-24,110,844,615
2020-10-25,132,840,597
2020-10-26,145,861,565
2020-10-27,171,869,529
2020-10-28,182,839,539
2020-10-29,193,884,483
2020-10-30,264,1001,422
2020-10-31,286,924,471
2020-11-01,316,952,408
2020-11-02,361,939,379
2020-11-03,349,934,388
2020-11-04,351,890,436
2020-11-05,372,871,421
2020-11-06,379,850,434
2020-11-07,380,848,431
2020-11-08,396,820,447
2020-11-09,403,850,421
2020-11-10,416,788,455
2020-11-11,425,816,448
2020-11-12,424,832,433
2020-11-13,439,802,451
2020-11-14,423,757,487
2020-11-15,451,775,441
2020-11-16,464,753,450
2020-11-17,460,747,460
2020-11-18,440,742,485
2020-11-19,430,786,451
2020-11-20,418,803,446
2020-11-21,445,746,476
2020-11-22,463,753,451
2020-11-23,468,744,455
2020-11-24,458,754,455
2020-11-25,421,741,505
2020-11-26,418,752,497
2020-11-27,404,761,517
2020-11-28,395,740,549
2020-11-29,410,690,584
2020-11-30,411,770,498
2020-12-01,394,800,487
2020-12-02,382,841,459
2020-12-03,379,858,445
2020-12-04,371,856,455
2020-12-05,376,744,557
2020-12-06,387,780,510
2020-12-07,387,830,460
2020-12-08,375,853,443
2020-12-09,370,890,409
2020-12-10,336,849,484
2020-12-11,325,834,510
2020-12-12,329,853,487
2020-12-13,336,842,491
2020-12-14,346,872,457
2020-12-15,336,859,593
2020-12-16,315,989,484
2020-12-17,305,992,494
2020-12-18,299,963,529
2020-12-19,297,911,585
2020-12-20,307,918,568
2020-12-21,305,894,589
2020-12-22,290,910,596
2020-12-23,280,871,645
2020-12-24,251,718,827
2020-12-25,251,682,863
2020-12-26,254,722,820
2020-12-27,261,773,762
2020-12-28,263,805,734
2020-12-29,276,861,665
2020-12-30,264,865,673
2020-12-31,251,844,707
2021-01-01,245,793,764
2021-01-02,255,834,713
2021-01-03,258,834,710
2021-01-04,277,906,619
2021-01-05,273,1008,521
2021-01-06,259,1059,484
2021-01-07,238,1098,466
2021-01-08,263,1008,537
2021-01-09,279,928,601
2021-01-10,289,954,565
2021-01-11,298,1017,493
2021-01-12,276,1052,472
2021-01-13,266,1094,440
2021-01-14,257,1072,471
2021-01-15,233,1074,493
2021-01-16,239,1014,547
2021-01-17,257,962,584
2021-01-18,250,1048,512
2021-01-19,247,1094,466
2021-01-20,213,1143,451
2021-01-21,216,1127,464
2021-01-22,208,1106,496
2021-01-23,220,1034,556
2021-01-24,231,1007,571
2021-01-25,230,1099,481
2021-01-26,217,1094,499
2021-01-27,210,1142,458
2021-01-28,197,1120,493
2021-01-29,192,1107,514
2021-01-30,199,998,616
2021-01-31,202,1025,586
2021-02-01,198,1134,481
2021-02-02,196,1185,432
2021-02-03,188,1197,428
2021-02-04,179,1237,397
2021-02-05,168,1156,489
2021-02-06,167,1101,545
2021-02-07,175,1105,533
2021-02-08,178,1190,445
2021-02-09,155,1194,464
2021-02-10,159,1175,481
2021-02-11,147,1182,486
2021-02-12,134,1096,585
2021-02-13,139,1044,632
2021-02-14,145,1054,616
2021-02-15,141,1124,550
2021-02-16,137,1189,489
2021-02-17,140,1237,438
2021-02-18,137,1203,478
2021-02-19,130,1191,497
2021-02-20,140,1102,576
2021-02-21,141,1128,549
2021-02-22,149,1165,502
2021-02-23,172,1160,481
2021-02-24,171,1155,487
2021-02-25,189,1134,490
2021-02-26,187,1111,515
2021-02-27,193,990,630
2021-02-28,189,988,636
2021-03-01,192,1106,514
2021-03-02,189,1145,478
2021-03-03,190,1205,417
2021-03-04,176,1206,427
2021-03-05,173,1175,461
2021-03-06,164,1098,547
2021-03-07,171,1080,558
2021-03-08,178,1158,473
2021-03-09,176,1200,433
2021-03-10,179,1225,405
2021-03-11,170,1247,392
2021-03-12,171,1189,449
2021-03-13,170,1097,542
2021-03-14,171,1101,537
2021-03-15,166,1293,350
2021-03-16,185,1197,430
2021-03-17,173,1182,457
2021-03-18,162,1199,447
2021-03-19,165,1195,448
2021-03-20,176,1115,517
2021-03-21,175,1105,527
2021-03-22,180,1157,471
2021-03-23,170,1190,448
2021-03-24,161,1210,437
2021-03-25,167,1120,520
2021-03-26,156,1139,515
2021-03-27,147,1109,554
2021-03-28,156,1096,558
2021-03-29,158,1178,474
2021-03-30,162,1167,484
2021-03-31,153,1238,425
2021-04-01,162,1152,502
2021-04-02,163,1129,524
2021-04-03,163,1022,631
2021-04-04,160,1035,621
2021-04-05,170,1059,587
2021-04-06,177,1115,518
2021-04-07,176,1149,485
2021-04-08,171,1193,452
2021-04-09,166,1198,452
2021-04-10,165,1096,555
2021-04-11,169,1100,546
2021-04-12,166,1145,504
2021-04-13,162,1103,549
2021-04-14,159,1133,522
2021-04-15,150,1149,515
2021-04-16,151,1101,562
2021-04-17,144,1090,580
2021-04-18,151,1045,618
2021-04-19,154,1111,549
2021-04-20,136,1162,517
2021-04-21,126,1220,469
2021-04-22,116,1219,480
2021-04-23,115,1209,491
2021-04-24,112,1199,504
2021-04-25,121,1182,512
2021-04-26,125,1197,493
2021-04-27,133,1255,427
2021-04-28,137,1278,400
2021-04-29,119,1273,423
2021-04-30,123,1213,479
2021-05-01,116,1076,623
2021-05-02,126,1197,492
2021-05-03,126,1197,492
2021-05-04,129,1299,389
2021-05-05,124,1257,436
2021-05-06,113,1276,428
2021-05-07,108,1278,434
2021-05-08,107,1162,551
2021-05-09,106,1150,564
2021-05-10,108,1203,509
2021-05-11,108,1256,456
2021-05-12,108,1226,486
2021-05-13,99,1198,523
2021-05-14,96,1168,556
2021-05-15,90,1116,614
2021-05-16,100,1153,567
2021-05-17,101,1256,463
2021-05-18,97,1293,430
2021-05-19,87,1322,386
2021-05-20,86,1352,367
2021-05-21,88,1298,419
2021-05-22,75,1281,449
2021-05-23,72,1201,532
2021-05-24,83,1207,515
2021-05-25,86,1264,455
2021-05-26,78,1312,415
