day,covid19,noncovid19,free
2020-03-30,22,2,18
2020-03-31,22,4,16
2020-04-01,23,4,15
2020-04-02,25,4,13
2020-04-03,26,2,14
2020-04-04,22,6,14
2020-04-05,24,4,14
2020-04-06,24,3,15
2020-04-07,23,4,20
2020-04-08,23,5,19
2020-04-09,23,1,23
2020-04-10,20,3,24
2020-04-11,20,1,26
2020-04-12,17,2,28
2020-04-13,18,2,27
2020-04-14,17,7,23
2020-04-15,14,2,31
2020-04-16,16,3,28
2020-04-17,15,5,27
2020-04-18,14,9,24
2020-04-19,15,7,25
2020-04-20,11,6,30
2020-04-21,12,6,29
2020-04-22,11,8,28
2020-04-23,10,8,29
2020-04-24,9,11,27
2020-04-25,9,12,18
2020-04-26,10,9,20
2020-04-27,12,4,15
2020-04-28,9,13,9
2020-04-29,9,11,11
2020-04-30,8,8,15
2020-05-01,6,7,18
2020-05-02,6,10,15
2020-05-03,6,11,14
2020-05-04,7,9,15
2020-05-05,7,9,15
2020-05-06,6,8,17
2020-05-07,5,10,16
2020-05-08,4,10,17
2020-05-09,4,10,17
2020-05-10,4,10,17
2020-05-11,4,14,13
2020-05-12,4,15,12
2020-05-13,4,11,16
2020-05-14,4,8,19
2020-05-15,4,8,19
2020-05-16,4,8,19
2020-05-17,4,8,19
2020-05-18,3,13,15
2020-05-19,3,17,11
2020-05-20,3,17,11
2020-05-21,3,16,12
2020-05-22,3,14,14
2020-05-23,1,18,12
2020-05-24,1,18,12
2020-05-25,0,12,15
2020-05-26,0,10,17
2020-05-27,0,10,17
2020-05-28,0,10,17
2020-05-29,0,13,14
2020-05-30,0,13,14
2020-05-31,0,13,14
2020-06-01,0,13,14
2020-06-02,0,13,14
2020-06-03,0,13,14
2020-06-04,0,11,16
2020-06-05,0,11,16
2020-06-06,0,11,16
2020-06-07,0,11,16
2020-06-08,0,14,13
2020-06-09,0,16,11
2020-06-10,0,16,11
2020-06-11,0,13,14
2020-06-12,0,13,14
2020-06-13,0,13,14
2020-06-14,0,13,14
2020-06-15,0,19,8
2020-06-16,0,19,8
2020-06-17,0,19,8
2020-06-18,0,18,9
2020-06-19,0,18,9
2020-06-20,0,18,9
2020-06-21,0,18,9
2020-06-22,0,11,16
2020-06-23,0,11,16
2020-06-24,0,11,16
2020-06-25,0,11,16
2020-06-26,0,11,16
2020-06-27,0,11,16
2020-06-28,0,15,12
2020-06-29,0,18,9
2020-06-30,0,18,9
2020-07-01,0,18,9
2020-07-02,1,15,11
2020-07-03,1,15,11
2020-07-04,1,15,11
