day,covid19,noncovid19,free
2020-03-30,2,191,172
2020-03-31,3,190,172
2020-04-01,1,195,169
2020-04-02,2,200,163
2020-04-03,3,198,164
2020-04-04,3,197,165
2020-04-05,3,194,168
2020-04-06,3,187,175
2020-04-07,3,191,166
2020-04-08,4,191,165
2020-04-09,3,197,160
2020-04-10,2,201,157
2020-04-11,3,200,157
2020-04-12,2,198,160
2020-04-13,3,195,162
2020-04-14,2,191,167
2020-04-15,2,197,161
2020-04-16,3,196,161
2020-04-17,2,202,156
2020-04-18,2,195,163
2020-04-19,2,192,166
2020-04-20,3,193,164
2020-04-21,7,194,159
2020-04-22,4,196,160
2020-04-23,7,192,161
2020-04-24,7,195,158
2020-04-25,7,191,162
2020-04-26,7,189,164
2020-04-27,10,211,141
2020-04-28,10,234,118
2020-04-29,10,248,104
2020-04-30,9,250,103
2020-05-01,10,254,98
2020-05-02,14,235,113
2020-05-03,11,221,130
2020-05-04,14,218,130
2020-05-05,12,225,125
2020-05-06,13,241,108
2020-05-07,11,245,106
2020-05-08,10,237,115
2020-05-09,10,225,127
2020-05-10,10,214,138
2020-05-11,4,221,137
2020-05-12,4,229,129
2020-05-13,9,229,124
2020-05-14,9,237,116
2020-05-15,5,242,115
2020-05-16,4,243,115
2020-05-17,4,220,138
2020-05-18,2,226,134
2020-05-19,2,231,129
2020-05-20,2,235,125
2020-05-21,1,225,136
2020-05-22,2,225,135
2020-05-23,2,220,140
2020-05-24,2,208,152
2020-05-25,2,216,144
2020-05-26,2,266,81
2020-05-27,2,270,77
2020-05-28,2,265,82
2020-05-29,1,280,68
2020-05-30,1,280,68
2020-05-31,1,280,68
2020-06-01,1,280,68
2020-06-02,1,280,68
2020-06-03,1,278,70
2020-06-04,1,284,64
2020-06-05,1,251,43
2020-06-06,1,251,43
2020-06-07,1,251,43
2020-06-08,0,249,46
2020-06-09,0,247,44
2020-06-10,0,247,44
2020-06-11,0,250,41
2020-06-12,0,250,41
2020-06-13,0,250,41
2020-06-14,0,250,41
2020-06-15,0,242,49
2020-06-16,0,242,49
2020-06-17,0,242,49
2020-06-18,0,245,46
2020-06-19,0,245,46
2020-06-20,0,245,46
2020-06-21,0,245,46
2020-06-22,0,245,46
2020-06-23,0,245,46
2020-06-24,0,245,46
2020-06-25,0,245,46
2020-06-26,0,245,46
2020-06-27,0,245,46
2020-06-28,0,241,50
2020-06-29,0,245,46
2020-06-30,0,245,46
2020-07-01,0,245,46
2020-07-02,0,244,47
2020-07-03,0,244,47
2020-07-04,0,244,47
2020-07-05,0,244,47
2020-07-06,0,241,50
2020-07-07,0,241,50
2020-07-08,0,241,50
2020-07-09,0,9,3
2020-07-10,2,243,46
2020-07-11,2,243,46
2020-07-12,2,243,46
2020-07-13,0,248,43
2020-07-14,1,247,43
2020-07-15,1,247,43
2020-07-16,0,277,68
2020-07-17,0,277,68
2020-07-18,0,277,68
2020-07-19,0,277,68
2020-07-20,1,255,89
2020-07-21,2,254,89
2020-07-22,1,255,89
2020-07-23,0,261,84
2020-07-24,1,261,83
2020-07-25,1,261,83
2020-07-26,1,261,83
2020-07-27,1,261,83
2020-07-28,1,261,83
2020-07-29,0,261,84
2020-07-30,0,258,87
2020-07-31,0,258,87
2020-08-01,0,258,87
2020-08-02,0,258,87
2020-08-03,0,259,86
2020-08-04,0,259,86
2020-08-05,0,259,86
2020-08-06,0,258,87
2020-08-07,0,258,87
2020-08-08,0,258,87
2020-08-09,0,21,45
2020-08-10,0,21,45
2020-08-11,0,21,45
2020-08-12,2,19,45
2020-08-13,1,28,37
2020-08-14,1,28,37
2020-08-15,1,28,37
2020-08-16,1,28,37
2020-08-17,2,17,47
2020-08-18,2,17,47
2020-08-19,2,17,47
2020-08-20,2,35,29
2020-08-21,2,35,29
2020-08-22,2,35,29
2020-08-23,2,35,29
2020-08-24,0,265,80
2020-08-25,0,265,80
2020-08-26,0,265,80
2020-08-27,0,280,65
2020-08-28,0,280,65
2020-08-29,0,280,65
2020-08-30,0,280,65
2020-08-31,0,23,43
2020-09-01,0,23,43
2020-09-02,0,23,43
2020-09-03,0,41,25
2020-09-04,0,41,25
2020-09-05,0,277,68
2020-09-06,0,277,68
2020-09-07,0,265,80
2020-09-08,0,265,80
2020-09-09,0,265,80
2020-09-10,0,281,64
2020-09-11,0,281,64
2020-09-12,0,45,21
2020-09-13,0,45,21
2020-09-14,1,31,34
2020-09-15,0,268,77
2020-09-16,0,268,77
2020-09-17,0,283,62
2020-09-18,0,283,62
2020-09-19,0,283,62
2020-09-20,0,283,62
2020-09-21,0,267,78
2020-09-22,0,267,78
2020-09-23,0,267,78
2020-09-24,0,271,74
2020-09-25,0,271,74
2020-09-26,0,271,74
2020-09-27,0,271,74
2020-09-28,0,254,91
2020-09-29,0,254,91
2020-09-30,0,254,91
2020-10-01,0,281,64
2020-10-02,0,281,64
2020-10-03,0,281,64
2020-10-04,0,281,64
2020-10-05,0,30,36
2020-10-06,0,30,36
2020-10-07,0,30,36
2020-10-08,0,29,37
2020-10-09,0,29,37
2020-10-10,0,29,37
2020-10-11,0,29,37
2020-10-12,3,262,80
2020-10-13,3,262,80
2020-10-14,2,263,80
2020-10-15,2,278,65
2020-10-16,4,276,65
2020-10-17,4,276,65
2020-10-18,4,276,65
2020-10-19,8,259,84
2020-10-20,8,259,84
2020-10-21,7,262,84
2020-10-22,9,263,81
2020-10-23,10,262,81
2020-10-24,11,260,82
2020-10-25,11,261,81
2020-10-26,15,251,87
2020-10-27,143,574,225
2020-10-28,148,535,247
2020-10-29,149,514,267
2020-10-30,153,508,269
2020-10-31,157,502,265
2020-11-01,179,491,254
2020-11-02,191,632,197
2020-11-03,213,625,182
2020-11-04,229,630,161
2020-11-05,229,504,211
2020-11-06,222,508,214
2020-11-07,228,448,266
2020-11-08,249,410,263
2020-11-09,238,421,263
2020-11-10,234,446,266
2020-11-11,231,439,276
2020-11-12,221,441,283
2020-11-13,214,444,287
2020-11-14,199,445,275
2020-11-15,197,446,276
2020-11-16,196,439,305
