day,covid19,noncovid19,free
2020-03-30,8,80,100
2020-03-31,7,78,103
2020-04-01,7,67,154
2020-04-02,7,65,156
2020-04-03,6,59,163
2020-04-04,6,62,160
2020-04-05,7,65,156
2020-04-06,6,68,154
2020-04-07,6,71,148
2020-04-08,5,71,148
2020-04-09,6,72,145
2020-04-10,5,76,142
2020-04-11,5,85,137
2020-04-12,4,79,145
2020-04-13,5,84,139
2020-04-14,4,93,136
2020-04-15,3,96,125
2020-04-16,2,83,139
2020-04-17,4,76,98
2020-04-18,5,70,107
2020-04-19,6,66,111
2020-04-20,5,91,84
2020-04-21,4,94,80
2020-04-22,2,80,94
2020-04-23,2,71,104
2020-04-24,2,69,103
2020-04-25,2,58,112
2020-04-26,3,59,110
2020-04-27,3,74,87
2020-04-28,3,85,76
2020-04-29,3,95,57
2020-04-30,3,97,51
2020-05-01,3,104,46
2020-05-02,2,97,54
2020-05-03,3,95,62
2020-05-04,3,112,48
2020-05-05,2,120,40
2020-05-06,2,121,32
2020-05-07,0,101,44
2020-05-08,0,103,40
2020-05-09,0,104,42
2020-05-10,0,100,50
2020-05-11,0,113,47
2020-05-12,0,132,26
2020-05-13,0,144,38
2020-05-14,0,138,40
2020-05-15,0,123,60
2020-05-16,0,123,60
2020-05-17,0,123,60
2020-05-18,0,127,72
2020-05-19,0,135,49
2020-05-20,0,136,41
2020-05-21,0,116,63
2020-05-22,0,118,62
2020-05-23,0,118,65
2020-05-24,0,118,79
2020-05-25,1,120,67
2020-05-26,1,133,49
2020-05-27,0,132,41
2020-05-28,0,138,37
2020-05-29,0,121,52
2020-05-30,0,121,52
2020-05-31,0,121,52
2020-06-01,0,106,84
2020-06-02,0,106,84
2020-06-03,0,106,84
2020-06-04,0,133,43
2020-06-05,0,133,39
2020-06-06,0,133,39
2020-06-07,0,133,39
2020-06-08,0,129,63
2020-06-09,0,129,63
2020-06-10,0,129,63
2020-06-11,1,123,68
2020-06-12,1,123,68
2020-06-13,1,123,68
2020-06-14,1,123,68
2020-06-15,1,112,82
2020-06-16,1,112,82
2020-06-17,1,112,82
2020-06-18,0,130,64
2020-06-19,0,130,64
2020-06-20,0,130,64
2020-06-21,0,130,64
2020-06-22,0,126,62
2020-06-23,0,126,62
2020-06-24,0,126,62
2020-06-25,0,124,60
2020-06-26,0,124,60
2020-06-27,0,124,60
2020-06-28,0,124,60
2020-06-29,0,149,42
2020-06-30,0,149,42
2020-07-01,0,149,42
2020-07-02,0,139,41
2020-07-03,0,139,41
2020-07-04,0,139,41
2020-07-05,0,139,41
2020-07-06,1,129,51
2020-07-07,1,129,51
2020-07-08,1,129,51
2020-07-09,2,145,34
2020-07-10,1,133,47
2020-07-11,1,133,47
2020-07-12,1,133,47
2020-07-13,3,137,52
2020-07-14,3,126,63
2020-07-15,3,129,60
2020-07-16,3,127,62
2020-07-17,4,118,70
2020-07-18,4,118,70
2020-07-19,4,118,70
2020-07-20,2,115,79
2020-07-21,1,118,77
2020-07-22,1,123,72
2020-07-23,1,133,47
2020-07-24,1,134,46
2020-07-25,1,134,46
2020-07-26,1,134,46
2020-07-27,0,124,72
2020-07-28,0,119,77
2020-07-29,0,124,72
2020-07-30,0,135,58
2020-07-31,1,128,68
2020-08-01,1,128,68
2020-08-02,1,128,68
2020-08-03,1,102,100
2020-08-04,2,117,75
2020-08-05,0,125,69
2020-08-06,1,115,75
2020-08-07,0,122,69
2020-08-08,0,122,69
2020-08-09,0,122,69
2020-08-10,0,119,83
2020-08-11,0,120,68
2020-08-12,0,122,66
2020-08-13,0,126,56
2020-08-14,2,120,60
2020-08-15,2,120,60
2020-08-16,2,120,60
2020-08-17,1,119,63
2020-08-18,1,134,48
2020-08-19,0,132,51
2020-08-20,0,137,43
2020-08-21,0,125,55
2020-08-22,0,125,55
2020-08-23,0,125,55
2020-08-24,3,133,50
2020-08-25,3,135,48
2020-08-26,2,135,49
2020-08-27,2,123,53
2020-08-28,2,117,59
2020-08-29,2,117,59
2020-08-30,2,117,59
2020-08-31,3,114,63
2020-09-01,3,124,53
2020-09-02,2,133,45
2020-09-03,0,125,53
2020-09-04,1,133,44
2020-09-05,1,133,44
2020-09-06,1,133,44
2020-09-07,0,123,66
2020-09-08,0,122,67
2020-09-09,0,131,58
2020-09-10,0,139,50
2020-09-11,0,139,50
2020-09-12,0,139,50
2020-09-13,0,139,50
2020-09-14,0,142,37
2020-09-15,1,143,35
2020-09-16,1,147,31
2020-09-17,0,135,44
2020-09-18,0,137,42
2020-09-19,0,137,42
2020-09-20,0,137,42
2020-09-21,0,121,61
2020-09-22,0,121,61
2020-09-23,0,125,57
2020-09-24,1,128,43
2020-09-25,3,129,40
2020-09-26,3,129,40
2020-09-27,3,129,40
2020-09-28,2,114,71
2020-09-29,2,112,73
2020-09-30,4,119,64
2020-10-01,1,94,137
2020-10-02,0,139,93
2020-10-03,0,139,93
2020-10-04,0,139,93
2020-10-05,2,137,93
2020-10-06,2,156,74
2020-10-07,3,168,61
2020-10-08,6,170,56
2020-10-09,6,165,61
2020-10-10,5,157,70
2020-10-11,5,157,70
2020-10-12,7,148,44
2020-10-13,8,153,38
2020-10-14,8,141,50
2020-10-15,7,161,47
2020-10-16,10,169,53
2020-10-17,10,169,53
2020-10-18,10,169,53
2020-10-19,9,156,67
2020-10-20,9,168,55
2020-10-21,13,169,50
2020-10-22,16,167,49
2020-10-23,15,155,62
2020-10-24,15,155,62
2020-10-25,15,155,62
2020-10-26,12,158,62
2020-10-27,21,179,32
2020-10-28,17,163,52
2020-10-29,23,165,48
2020-10-30,30,134,68
2020-10-31,25,133,74
2020-11-01,27,129,76
2020-11-02,31,141,60
2020-11-03,26,156,50
2020-11-04,26,176,30
