day,covid19,noncovid19,free
2020-03-30,23,45,64
2020-03-31,28,39,68
2020-04-01,39,36,86
2020-04-02,44,51,76
2020-04-03,48,49,76
2020-04-04,48,46,79
2020-04-05,51,40,82
2020-04-06,66,99,95
2020-04-07,69,125,169
2020-04-08,56,100,149
2020-04-09,64,136,151
2020-04-10,56,112,177
2020-04-11,51,124,217
2020-04-12,51,109,185
2020-04-13,50,156,163
2020-04-14,51,110,189
2020-04-15,51,116,183
2020-04-16,51,111,188
2020-04-17,46,160,222
2020-04-18,45,163,219
2020-04-19,46,139,242
2020-04-20,46,155,227
2020-04-21,45,152,220
2020-04-22,46,148,228
2020-04-23,44,156,213
2020-04-24,46,145,225
2020-04-25,44,154,218
2020-04-26,33,179,204
2020-04-27,34,185,188
2020-04-28,25,176,199
2020-04-29,25,186,168
2020-04-30,21,182,178
2020-05-01,20,158,191
2020-05-02,19,164,186
2020-05-03,19,156,195
2020-05-04,17,173,155
2020-05-05,16,176,151
2020-05-06,14,173,151
2020-05-07,10,183,147
2020-05-08,8,177,155
2020-05-09,8,173,159
2020-05-10,10,166,164
2020-05-11,10,167,163
2020-05-12,9,174,159
2020-05-13,11,183,141
2020-05-14,12,173,150
2020-05-15,12,167,154
2020-05-16,12,172,149
2020-05-17,12,171,151
2020-05-18,12,168,154
2020-05-19,8,179,147
2020-05-20,7,170,153
2020-05-21,6,170,154
2020-05-22,9,164,154
2020-05-23,7,172,147
2020-05-24,7,175,144
2020-05-25,8,158,160
2020-05-26,5,182,139
2020-05-27,4,167,150
2020-05-28,2,169,145
2020-05-29,0,173,147
2020-05-30,0,170,147
2020-05-31,3,167,147
2020-06-01,3,158,158
2020-06-02,1,158,160
2020-06-03,5,174,148
2020-06-04,5,176,146
2020-06-05,1,198,128
2020-06-06,1,195,133
2020-06-07,1,162,166
2020-06-08,1,163,170
2020-06-09,1,178,152
2020-06-10,1,181,149
2020-06-11,1,181,147
2020-06-12,0,192,137
2020-06-13,0,192,137
2020-06-14,0,192,137
2020-06-15,0,192,137
2020-06-16,0,214,114
2020-06-17,0,214,114
2020-06-18,0,214,114
2020-06-19,0,153,166
2020-06-20,0,153,166
2020-06-21,0,153,166
2020-06-22,0,153,166
2020-06-23,0,202,118
2020-06-24,0,202,118
2020-06-25,0,202,118
2020-06-26,4,189,127
2020-06-27,4,189,127
2020-06-28,4,189,127
2020-06-29,4,191,124
2020-06-30,7,192,120
2020-07-01,7,192,120
2020-07-02,7,192,120
2020-07-03,7,192,120
2020-07-04,7,192,120
2020-07-05,7,192,120
2020-07-06,2,174,142
2020-07-07,2,174,142
2020-07-08,2,174,142
2020-07-09,3,174,140
2020-07-10,4,185,130
2020-07-11,4,185,130
2020-07-12,4,185,130
2020-07-13,8,183,128
2020-07-14,8,179,132
2020-07-15,9,174,136
2020-07-16,9,174,136
2020-07-17,7,185,129
2020-07-18,7,185,126
2020-07-19,7,185,125
2020-07-20,6,157,154
2020-07-21,3,162,154
2020-07-22,3,178,140
2020-07-23,3,190,125
2020-07-24,4,184,130
2020-07-25,4,184,130
2020-07-26,4,184,130
2020-07-27,5,185,135
2020-07-28,5,186,136
2020-07-29,5,202,106
2020-07-30,10,192,118
