day,covid19,noncovid19,free
2020-03-30,55,392,315
2020-03-31,97,438,346
2020-04-01,93,627,582
2020-04-02,106,734,661
2020-04-03,104,884,798
2020-04-04,104,849,837
2020-04-05,111,839,839
2020-04-06,121,922,1407
2020-04-07,119,1386,1628
2020-04-08,108,1561,1741
2020-04-09,111,2178,1157
2020-04-10,94,1496,1870
2020-04-11,98,1834,1307
2020-04-12,100,1855,1331
2020-04-13,92,1422,1736
2020-04-14,84,1468,1715
2020-04-15,85,1462,1732
2020-04-16,84,1471,1712
2020-04-17,74,2095,1108
2020-04-18,67,2003,1150
2020-04-19,68,1984,1168
2020-04-20,75,1923,1223
2020-04-21,64,2098,1078
2020-04-22,62,2023,1106
2020-04-23,51,2172,977
2020-04-24,36,2125,1089
2020-04-25,32,2136,1082
2020-04-26,41,2105,1104
2020-04-27,38,2200,1103
2020-04-28,55,2415,917
2020-04-29,50,2528,835
2020-04-30,41,2523,847
2020-05-01,21,2337,1063
2020-05-02,22,2273,1126
2020-05-03,24,2294,1102
2020-05-04,33,2419,1026
2020-05-05,38,2594,861
2020-05-06,38,2693,757
2020-05-07,38,2755,693
2020-05-08,34,2564,900
2020-05-09,29,2435,1034
2020-05-10,30,2355,1109
2020-05-11,32,2554,914
2020-05-12,35,2798,727
2020-05-13,29,2920,656
2020-05-14,25,3048,532
2020-05-15,21,2991,595
2020-05-16,20,2760,820
2020-05-17,21,2723,855
2020-05-18,20,2773,828
2020-05-19,21,2861,767
2020-05-20,21,2886,732
2020-05-21,18,2770,841
2020-05-22,22,2621,981
2020-05-23,18,2535,1072
2020-05-24,18,2523,1084
2020-05-25,15,2785,836
2020-05-26,13,2917,735
2020-05-27,12,2946,711
2020-05-28,16,2951,707
2020-05-29,12,2840,788
2020-05-30,10,2788,847
2020-05-31,8,2754,883
2020-06-01,8,2701,934
2020-06-02,9,2818,817
2020-06-03,5,2930,711
2020-06-04,5,3060,581
2020-06-05,7,2885,754
2020-06-06,6,2846,792
2020-06-07,6,2823,820
2020-06-08,6,2842,829
2020-06-09,6,2895,790
2020-06-10,6,3063,622
2020-06-11,6,3067,620
2020-06-12,8,3186,499
2020-06-13,8,3186,499
2020-06-14,8,3186,499
2020-06-15,8,3186,499
2020-06-16,8,3039,631
2020-06-17,8,3039,631
2020-06-18,8,3032,638
2020-06-19,10,3148,529
2020-06-20,10,3148,529
2020-06-21,10,3148,529
2020-06-22,10,3148,529
2020-06-23,12,3032,634
2020-06-24,12,3032,634
2020-06-25,11,3033,634
2020-06-26,8,3131,538
2020-06-27,8,3131,538
2020-06-28,8,3131,538
2020-06-29,9,3141,528
2020-06-30,7,3068,592
2020-07-01,7,3068,592
2020-07-02,6,3065,596
2020-07-03,6,3065,596
2020-07-04,6,3065,596
2020-07-05,6,3065,596
2020-07-06,11,2983,681
2020-07-07,11,2983,681
2020-07-08,11,2983,681
2020-07-09,10,2992,674
2020-07-10,8,3128,539
2020-07-11,8,3128,539
2020-07-12,8,3128,539
2020-07-13,4,2350,1321
2020-07-14,4,2353,1318
2020-07-15,18,3070,586
2020-07-16,18,3051,605
2020-07-17,19,2967,665
2020-07-18,19,2972,663
2020-07-19,19,2959,677
2020-07-20,20,2821,814
2020-07-21,27,2949,651
2020-07-22,19,2984,622
2020-07-23,22,2931,642
2020-07-24,20,2982,593
2020-07-25,20,2982,593
2020-07-26,20,2982,593
2020-07-27,23,2852,713
2020-07-28,21,2878,687
2020-07-29,26,2946,628
2020-07-30,20,2958,615
2020-07-31,25,2904,664
2020-08-01,25,2904,664
2020-08-02,25,2904,664
2020-08-03,30,2813,749
2020-08-04,31,2833,742
2020-08-05,32,2930,650
2020-08-06,25,2912,675
2020-08-07,24,2794,794
2020-08-08,24,2794,794
2020-08-09,24,2794,794
2020-08-10,21,2834,752
2020-08-11,26,2851,739
2020-08-12,22,2990,604
2020-08-13,26,3038,551
2020-08-14,21,2956,635
2020-08-15,21,2956,635
2020-08-16,21,2956,635
2020-08-17,23,2790,816
2020-08-18,24,2984,603
2020-08-19,22,3122,476
2020-08-20,21,3158,467
2020-08-21,20,3086,580
2020-08-22,20,3086,580
2020-08-23,20,3086,580
2020-08-24,18,2922,747
2020-08-25,18,3050,619
2020-08-26,12,3092,581
2020-08-27,13,3070,542
2020-08-28,13,3023,590
2020-08-29,13,3023,590
2020-08-30,13,3023,590
2020-08-31,14,2792,819
2020-09-01,17,2921,740
2020-09-02,18,2974,682
2020-09-03,20,3010,637
2020-09-04,20,3014,633
2020-09-05,20,3014,633
2020-09-06,20,3014,633
2020-09-07,20,2928,723
2020-09-08,18,3060,616
2020-09-09,18,3075,600
2020-09-10,16,3179,499
2020-09-11,19,3185,489
2020-09-12,19,3185,489
2020-09-13,19,3185,489
2020-09-14,24,2881,784
2020-09-15,26,2880,783
2020-09-16,18,3078,593
2020-09-17,16,3091,584
2020-09-18,17,3113,565
2020-09-19,17,3113,565
2020-09-20,17,3113,565
2020-09-21,18,2837,838
2020-09-22,16,2987,694
2020-09-23,15,3059,622
2020-09-24,20,3212,465
2020-09-25,21,3160,516
2020-09-26,21,3160,516
2020-09-27,21,3160,516
2020-09-28,21,2919,757
2020-09-29,20,3135,521
2020-09-30,20,3206,449
2020-10-01,21,3175,479
2020-10-02,21,3191,463
2020-10-03,21,3191,463
2020-10-04,21,3191,463
2020-10-05,25,2936,714
2020-10-06,25,2926,724
2020-10-07,20,3029,626
2020-10-08,19,3147,509
2020-10-09,20,3124,550
2020-10-10,20,3124,550
2020-10-11,20,3124,550
2020-10-12,41,2883,762
2020-10-13,40,3050,604
2020-10-14,41,3122,531
2020-10-15,42,3087,582
2020-10-16,39,3042,630
2020-10-17,39,3042,630
2020-10-18,39,3042,630
2020-10-19,39,3026,646
2020-10-20,39,3024,648
2020-10-21,78,3110,489
2020-10-22,86,3106,473
2020-10-23,87,3073,502
2020-10-24,87,3073,502
2020-10-25,87,3073,502
2020-10-26,154,2781,602
2020-10-27,170,2987,391
2020-10-28,177,3063,323
2020-10-29,186,3063,301
2020-10-30,200,3095,221
