date,new_cases,new_vaccinations,new_deaths
2021-W01,237,41,399.0
2021-W02,207,135,359.0
2021-W03,173,155,336.0
2021-W04,154,77,303.0
2021-W05,150,154,291.0
2021-W06,153,185,199.0
2021-W07,189,163,175.0
2021-W08,223,202,175.0
2021-W09,248,267,152.0
2021-W10,293,408,160.0
2021-W11,327,377,201.0
2021-W12,354,391,182.0
2021-W13,354,353,193.0
2021-W14,290,557,238.0
2021-W15,260,590,211.0
2021-W16,247,555,189.0
2021-W17,208,563,158.0
2021-W18,142,712,137.0
2021-W19,96,668,92.0
2021-W20,68,852,72.0
2021-W21,51,770,50.0
2021-W22,35,911,43.0
2021-W23,29,995,22.0
2021-W24,15,933,19.0
2021-W25,11,962,20.0
2021-W26,8,975,9.0
2021-W27,14,779,14.0
2021-W28,34,660,6.0
2021-W29,40,578,2.0
2021-W30,51,477,7.0
2021-W31,57,410,12.0
2021-W32,90,263,6.0
2021-W33,86,229,1.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
