date,new_cases,new_vaccinations,new_deaths
2021-W01,424,56,520.0
2021-W02,285,91,415.0
2021-W03,232,165,383.0
2021-W04,199,184,316.0
2021-W05,174,165,232.0
2021-W06,146,220,152.0
2021-W07,116,215,122.0
2021-W08,118,227,79.0
2021-W09,121,249,82.0
2021-W10,138,250,64.0
2021-W11,164,248,101.0
2021-W12,192,299,87.0
2021-W13,217,287,53.0
2021-W14,201,346,100.0
2021-W15,245,484,55.0
2021-W16,233,602,62.0
2021-W17,222,637,64.0
2021-W18,176,743,72.0
2021-W19,147,771,25.0
2021-W20,129,936,45.0
2021-W21,94,913,30.0
2021-W22,70,1042,26.0
2021-W23,46,1057,27.0
2021-W24,26,991,9.0
2021-W25,15,852,14.0
2021-W26,14,736,12.0
2021-W27,27,678,4.0
2021-W28,50,598,4.0
2021-W29,77,483,0
2021-W30,82,306,9.0
2021-W31,104,222,10.0
2021-W32,188,215,10.0
2021-W33,645,0,4.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
