date,new_cases,new_vaccinations,new_deaths
2021-W01,248,64,6145.0
2021-W02,206,92,5965.0
2021-W03,166,115,5395.0
2021-W04,133,110,4867.0
2021-W05,113,143,4545.0
2021-W06,85,148,3399.0
2021-W07,90,155,2839.0
2021-W08,95,197,2206.0
2021-W09,100,261,1832.0
2021-W10,120,307,1479.0
2021-W11,155,248,1293.0
2021-W12,195,357,1203.0
2021-W13,190,332,1101.0
2021-W14,197,555,1440.0
2021-W15,244,628,1552.0
2021-W16,258,602,1619.0
2021-W17,215,800,1621.0
2021-W18,167,859,1552.0
2021-W19,123,846,1322.0
2021-W20,93,867,1263.0
2021-W21,51,818,1002.0
2021-W22,36,843,818.0
2021-W23,25,1034,600.0
2021-W24,12,1013,551.0
2021-W25,7,971,368.0
2021-W26,7,863,271.0
2021-W27,9,765,202.0
2021-W28,14,699,129.0
2021-W29,18,555,164.0
2021-W30,26,502,132.0
2021-W31,33,436,125.0
2021-W32,52,413,87.0
2021-W33,42,298,27.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
