date,new_cases,new_vaccinations,new_deaths
2021-W01,881,0,6430.0
2021-W02,683,387,7862.0
2021-W03,531,532,8700.0
2021-W04,358,578,8238.0
2021-W05,271,635,6314.0
2021-W06,195,638,4706.0
2021-W07,163,528,3423.0
2021-W08,129,577,2273.0
2021-W09,89,511,1653.0
2021-W10,85,535,1017.0
2021-W11,81,887,640.0
2021-W12,77,809,441.0
2021-W13,56,608,244.0
2021-W14,23,596,253.0
2021-W15,39,681,187.0
2021-W16,37,750,163.0
2021-W17,32,726,115.0
2021-W18,31,680,69.0
2021-W19,34,771,76.0
2021-W20,25,836,42.0
2021-W21,45,833,60.0
2021-W22,69,728,60.0
2021-W23,103,692,65.0
2021-W24,135,611,72.0
2021-W25,216,518,124.0
2021-W26,361,429,122.0
2021-W27,461,361,205.0
2021-W28,665,340,297.0
2021-W29,564,308,458.0
2021-W30,388,295,568.0
2021-W31,401,281,616.0
2021-W32,419,300,639.0
2021-W33,418,0,27.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
