date,new_cases,new_vaccinations,new_deaths
2021-W01,13,0,1511.0
2021-W02,11,2,1259.0
2021-W03,10,14,1051.0
2021-W04,9,22,922.0
2021-W05,8,21,688.0
2021-W06,8,23,652.0
2021-W07,9,27,653.0
2021-W08,11,33,772.0
2021-W09,12,69,696.0
2021-W10,16,92,872.0
2021-W11,27,157,1242.0
2021-W12,41,160,1876.0
2021-W13,57,192,3258.0
2021-W14,97,263,5078.0
2021-W15,159,200,8590.0
2021-W16,233,66,16354.0
2021-W17,270,156,23836.0
2021-W18,283,146,27157.0
2021-W19,238,144,28274.0
2021-W20,185,67,29330.0
2021-W21,134,175,25380.0
2021-W22,89,201,20086.0
2021-W23,62,221,25119.0
2021-W24,44,257,13830.0
2021-W25,36,453,8595.0
2021-W26,32,304,5998.0
2021-W27,30,237,6036.0
2021-W28,28,285,5344.0
2021-W29,28,242,6859.0
2021-W30,29,272,3806.0
2021-W31,28,242,3536.0
2021-W32,26,235,3333.0
2021-W33,18,0,437.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
