date,new_cases,new_vaccinations,new_deaths
2021-W01,57,0,0
2021-W02,28,0,0
2021-W03,10,0,0
2021-W04,9,0,0
2021-W05,8,0,0
2021-W06,5,0,0
2021-W07,5,246,0
2021-W08,2,37,0
2021-W09,4,30,0
2021-W10,5,34,0
2021-W11,10,97,0
2021-W12,28,308,0
2021-W13,26,0,0
2021-W14,14,278,0
2021-W15,12,0,0
2021-W16,44,0,0
2021-W17,34,993,0
2021-W18,14,1133,0
2021-W19,13,430,0
2021-W20,8,816,0
2021-W21,8,246,1.0
2021-W22,12,612,0
2021-W23,5,0,0
2021-W24,5,1180,0
2021-W25,4,1251,0
2021-W26,7,1863,0
2021-W27,9,328,0
2021-W28,18,235,0
2021-W29,216,0,0
2021-W30,342,0,0
2021-W31,311,0,0
2021-W32,305,0,0
2021-W33,164,0,0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
