date,new_cases,new_vaccinations,new_deaths
2021-W01,822,1073,255.0
2021-W02,996,1004,334.0
2021-W03,754,2087,414.0
2021-W04,760,1894,377.0
2021-W05,803,1137,325.0
2021-W06,533,1369,267.0
2021-W07,424,1484,189.0
2021-W08,425,1230,175.0
2021-W09,425,1050,139.0
2021-W10,287,919,120.0
2021-W11,145,737,81.0
2021-W12,69,323,93.0
2021-W13,38,276,58.0
2021-W14,28,237,53.0
2021-W15,18,112,39.0
2021-W16,16,118,17.0
2021-W17,9,102,14.0
2021-W18,6,70,11.0
2021-W19,4,45,5.0
2021-W20,3,47,22.0
2021-W21,2,38,7.0
2021-W22,2,31,7.0
2021-W23,2,41,12.0
2021-W24,3,36,0
2021-W25,17,108,2.0
2021-W26,34,185,0
2021-W27,52,166,10.0
2021-W28,92,95,11.0
2021-W29,147,151,11.0
2021-W30,250,229,17.0
2021-W31,407,822,65.0
2021-W32,642,852,126.0
2021-W33,1005,1160,19.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
