date,new_cases,new_vaccinations,new_deaths
2021-W01,743,92,23101.0
2021-W02,660,142,23752.0
2021-W03,513,265,21926.0
2021-W04,450,400,22257.0
2021-W05,356,435,20922.0
2021-W06,276,504,17482.0
2021-W07,201,340,13319.0
2021-W08,205,524,13896.0
2021-W09,180,652,11875.0
2021-W10,162,721,8830.0
2021-W11,165,752,7155.0
2021-W12,191,819,6978.0
2021-W13,192,932,5744.0
2021-W14,211,949,6894.0
2021-W15,204,965,5084.0
2021-W16,176,831,4990.0
2021-W17,149,731,4795.0
2021-W18,124,610,4606.0
2021-W19,100,570,4067.0
2021-W20,76,552,3833.0
2021-W21,61,397,4452.0
2021-W22,44,226,3064.0
2021-W23,43,332,2603.0
2021-W24,34,373,2027.0
2021-W25,36,231,2055.0
2021-W26,40,314,1628.0
2021-W27,59,127,1626.0
2021-W28,98,155,1833.0
2021-W29,157,176,1866.0
2021-W30,242,200,2544.0
2021-W31,328,213,3547.0
2021-W32,395,217,4750.0
2021-W33,635,259,686.0
2021-W34,0,0,0
2021-W35,0,0,0
2021-W36,0,0,0
2021-W37,0,0,0
2021-W38,0,0,0
2021-W39,0,0,0
2021-W40,0,0,0
2021-W41,0,0,0
2021-W42,0,0,0
2021-W43,0,0,0
2021-W44,0,0,0
2021-W45,0,0,0
2021-W46,0,0,0
2021-W47,0,0,0
2021-W48,0,0,0
2021-W49,0,0,0
2021-W50,0,0,0
2021-W51,0,0,0
2021-W52,0,0,0
2021-W53,0,0,0
