week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,0,0,2,1,2,5,5,2,9,32,48,51,83,138,216,281,384,625
2,8,3,1,3,2,3,7,7,5,13,30,40,71,93,120,200,261,382,532
3,4,0,0,2,2,2,4,5,10,11,18,51,64,87,97,190,249,379,579
4,6,0,0,0,2,1,4,3,6,16,23,47,64,77,119,201,239,310,484
5,8,1,0,5,2,5,3,6,10,14,21,30,60,87,116,150,201,280,428
6,4,2,0,4,4,3,4,1,11,12,26,32,71,85,92,168,209,255,419
7,1,1,1,1,1,1,3,5,7,6,14,35,56,75,92,168,192,246,388
8,4,1,2,1,4,6,3,2,11,16,19,29,50,78,112,151,189,246,377
9,9,2,1,0,2,4,4,6,2,8,17,44,60,69,100,153,171,244,373
10,3,0,1,1,0,1,2,2,8,13,26,40,52,64,133,157,189,252,335
11,8,1,0,2,1,5,4,6,5,10,25,31,53,76,116,127,177,241,328
12,6,1,1,1,4,3,4,6,7,12,29,30,49,61,92,165,172,235,381
13,7,0,0,2,3,6,5,6,8,11,15,38,46,72,106,151,172,244,338
14,8,0,0,3,3,0,3,5,6,14,29,39,52,80,106,132,193,233,341
15,8,1,0,1,2,3,4,3,9,16,13,42,55,82,94,155,166,228,353
16,3,1,0,1,3,5,7,3,5,10,27,28,73,70,113,166,169,230,319
17,2,0,0,4,3,2,5,2,7,8,24,34,69,75,94,156,191,243,333
18,10,0,1,1,4,9,6,7,8,13,24,32,50,64,101,167,177,216,302
19,8,0,0,2,1,2,7,2,8,17,23,45,58,63,100,158,182,211,354
20,6,3,0,0,2,3,2,2,12,12,24,41,45,64,110,141,171,213,313
21,5,1,4,2,2,4,6,3,6,15,23,46,47,86,93,135,158,238,310
22,5,0,0,1,0,3,2,7,6,9,20,39,58,75,112,127,179,227,322
23,6,1,0,4,4,3,3,1,9,10,23,35,56,42,112,144,149,173,303
24,2,0,1,0,2,7,3,5,4,6,17,45,53,62,112,136,173,220,317
25,7,0,0,1,2,8,1,9,12,10,28,41,46,54,101,146,164,190,317
26,4,0,1,0,3,4,8,5,6,7,22,30,51,63,96,130,163,227,309
27,3,0,1,0,2,2,2,7,8,13,25,18,59,75,89,129,155,230,289
28,5,0,1,1,0,3,5,5,4,7,20,33,49,69,104,126,153,211,306
29,9,0,0,2,4,1,2,5,8,13,19,36,33,59,105,137,167,217,302
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
